,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.221228096052527,0,0.078954719899094,0,0,0,0.0503294594706002,0.0495322788905675,0,0.0566721307089368,0.0197210861978253,0,0.00696539024922484,0,0,0,0,0,0
ETH,0,0,0,0.114237734765549,0.0117253165067482,0,0,0.0666379833425565,0.190086596971378,0.154845759593361,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0521719906476745,0,0.136802704057352,0,0,0.0208820986408095,0.208252899657333,0.0989154957878947,0.056311930897607,0.0348169419476158,0.0136140699908267,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.160151899174665,0,0,0.0504150903444531,0.233117250614726,0.0544543463760587,0.0504068555810365,0,0,0,0.17416407682647,0,0,0,0,0
EOS,0,0,0,0.298711461115658,0,0,0,0.398797991792947,0,0.124993442181787,0,0,0,0.10292690486487,0,0,0,0,0,0
LTC,0,0,0,0.340110742793394,0.0313534597489881,0,0.0497639839347463,0.0281756572704803,0.0622763758655391,0,0,0,0,0,0.00694334068420164,0,0,0,0,0
XLM,0,0,0,0.0741815959638315,0.149888688502822,0,0,0.285358680807092,0.0559550590509723,0.0537314910393678,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.265380667710021,0.108180696213282,0,0,0,0.11035992881391,0.117563045145774,0,0,0,0.0475785181533727,0.0165834426656278,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.203212763149643,0.351547780273995,0,0,0.103077815010793,0,0,0,0.0822534854861751,0,0,0,0,0
TRX,0,0,0,0.136130346738457,0.29004902559307,0,0.185628360972038,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.11106884761104,5.42101086242752e-20,0,0.135934807759233,0.249578918353325,0.137618016708386,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0.0323999687627597,0.159649335023589,0.0159000074279103,0,0,0.198841505780501,0.119940533586999,0.0142725075522439,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0528704870047958,0,0,0.111977572951264,0,0.1125482023863,0,0.120856904698621,0.133001390112017,0,0,0.0501311090280269,0,0,0,0,0
BNB,0,0.0679964176255944,0,0,0.0258699333565228,0,0,0.180486812930799,0.192546910760208,0,0,0,0,0,0.0451837758885159,0,0,0,0,0
ETC,0,0,0,0.211325192889897,0,0,0,0.222322572732195,0.0469752917210505,0.0898314550226965,0.016207884318993,0,0,0.0387122805988433,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0705494557363052
CVIX.Index,0,0,0.11133090100381,0.053249025986135,0,0,0,-0.149838874054862,0.0566557257033866,0,0.0470140115172414,0,-0.142271279445434,0,0,0,0,0,0,0.0302797219511262
DXY.Curncy,0,0,0,0,0.00555630853277997,0,0,0,0,0,0,0,-0.00304159418092392,0,0.00707855848256707,0,0.010970687432536,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565072197632947
VIX.Index,0,0,0,-0.157321436134644,-0.272936398978126,0,-0.188210091247066,0,0.151674335527938,0,0.466232927669539,0,0,-0.0233961498379033,0.0194895276740612,-0.637894501322919,0,0,0,0
