,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.0740173820459706,0,0,0,0,0.0486039720667807,0,0.0549895325275194,0,0,0,0,0
ETH,0,0,0.0854458423027944,0,0,0.0160575004509579,0.0290856896678219,0.0865628694486621,0,-1.73472347597681e-18,0,0.105464290280232,0.0708327835959851,0,0.118127022654013,0,0,0,0,0
XRP,0,0.153173108209955,0,0,0,0,0,0.0501027964002336,0,0,0,0,0.0368975391034556,0.0844782744665962,0.0606051782087383,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,-0.129645506287891,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0760097535438085,0,0,0.200046884518548,0,0.0880472920441279,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.104769797354156,0.0184554477094745,0,0.036676086370337,0,0,0.122241277880562,0.120475360829782,0.171353522829037,0,0,0,0,0
DASH,0,0.141702669080209,0,0,0,0.0826953026453827,0,0.0938835928514509,0,0.00332100302264618,0,6.93889390390723e-18,0.0550727490862526,0.0309478667797321,0.0849779411821115,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0615966119404625,0,0,0,0.199724016965827,0,0.441985341907377,0,0,0.0218334868503195,0,0,0,0,0
XMR,0,0,0.168554576378497,0.0199061774068248,0,0.0343972786445111,0.0480863503606009,0.0934338968511795,0,0.00209034853185766,0,0.0405845222276959,0.0471393856784649,0.206944538380328,0,0,0,0,0,0
NEO,0,0,0,0,0,0.265626550129216,0,0.185014314062088,8.67361737988404e-19,0,0,0,0.0527221394302547,0.037688874322422,0,0,0,0,0,-0.0638644569262645
ETC,0,0.294588527468041,0,0,0,0,0,0,0.0640068065779991,0,0,0,0.0117617470385757,0,0.0369975796031458,0,0,0,0,0
ZEC,0,0.303053091520499,0,0.0117508643541731,0,0,0.121870885053411,0.0883037951570556,0,0,0,0,0.0470640168034408,0.165678191615905,0,0,0,0,0,0
EOS,0,0.115590172900923,0,0,0,0,0,0.143192788934853,0,0.107081673517636,0,0.108786291015954,0,0.195908624392235,0.00475803948665413,0,0,0,0,0
XLM,0,0,0.223384134250316,0,0,0.00229572351487966,0,0,0.348472804887142,0,0,0,0.08161113410589,0,0.133639627820246,0,0,0,0,0
BAT,0,0.034091999674575,0,0,0,0.0426253328209581,0,0.0706181982848175,0,0.17734634967283,0,0.174989154247245,0,0.125599479662203,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0254315348426667,0.0091901554510731,0,0,0.0169153484692469,-0.0279481092385609,0,0.0235806072715437,0.00302469150362123,-0.0392482735801091,0.0233796946427667,0,0,0,0,-0.0245258830138662
CVIX.Index,0,0,0,0,0,0,0,0.0105638542244934,0,0,0,-0.0262715031937303,0.00796792544850635,-0.0205696892281236,0.0228083645421401,0,0,0,0,0.044783859032986
DXY.Curncy,0,0,0.00510530155033436,0,0.0221220924625447,0,0,0.00746184520056939,0.00141019772772516,0,-0.00812503402608833,0,0,-0.00818098257389208,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.00112224200697235,0,-0.00444775181515641,0.0010668712430686,0,0,0.000239381416854135,0,0,0,0,0,0,-0.0433612569020459
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
