,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,BNB,ETC,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0331087376597912,0,0.0829326361131047,0.0798563911946374,0,0.0466134702645233,0,0.0781545787441978,0.0517526560600854,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.219811889263315,0,0,0.186876050027132,0,0.0902769439382101,0,0.0579115670652972,0,0.112420974964311,0.0355134616253157,0,0,0,0,0
XRP,0,0,0,0,0.231953477252265,0,0,0.172443625419212,0,0.211510593317411,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.280029811671289,0,0,0.0798114580112752,0,0.0698854932066721,0,0,0,0,0,0,0,0,0,0
EOS,0,0.251365737686197,0.0158883133544285,0,0,0,0,0,0,0.176437670782988,0,0,0,0,0.242897214762351,0,0,0,0,0
XLM,0,0,0.0138686487019734,0,0,0,0,0.147712576833831,0,0.0938857167617632,0,0,0,0,0.17281668788119,0,0,0,0,0
LTC,0,0.167325303342656,0,0.105574712097616,0.0660415532117602,0,0,0.133929688221449,0,0.164647086172958,0.0324600729191724,0,0,0,0,0,0,0,0,0
ADA,0,0.123433035214266,0.213724867994706,0.0186591710047537,0.139802172749298,0,0,0,0.0894577757916369,0,0,0,0,0,0.188342096496134,0,0,0,0,0
XMR,0,0,0.0231003528291223,0.0646754684170941,0.0852674213193747,0,0,0.0886911640247766,0,0.146021185449367,0,0,0,0,0.140035373973029,0,0,0,0,0
MIOTA,0,0,0.0557145150887686,0,0,0,0,0,0,0,0,0.559218712064185,0,0,0.35281784128558,0,0,0,0,0
DASH,0,0,0.0160668992666349,0,0.144512236669938,0,0,0.0402406310078758,0,0.0611509010363784,0,0,0,0,0.24151984996214,0,0,0,0,0
TRX,0,0,0,0,0.0698766391493727,0,0,0,0,0.239225525854799,0,0,0,0,0.256916594080299,0,0,0,0,0
BNB,0,0.0578724515426648,0,0,0.0974445705524302,0,0,0.0551055813231175,0,0.0776960996651212,0.0608866402231589,0,0,0,0.173369636750513,0,0,0,0,0
ETC,0,0.229718144611508,0,0,0.108152155721604,0,0,0,0,0.264134968979224,0,0,0,0,0,0,0,0,0,0
NEO,0,0.0532577253161095,0.0639762765473017,0,0.0119167384424945,0,0,0,0.0740461245904441,0.34181455046042,0,0.23491634105482,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00798646281232033
CVIX.Index,0,-0.137326212698371,0.0348412618378775,0,0,0.0357605218839716,0,0,0,0.0221364446232381,0,0,0,0.0339041156936851,0.0264446516003179,0,0,0,0,0.0575187000007382
DXY.Curncy,0,0,-0.00184424874428607,0,0,-0.000614872565814071,-0.0013774820935898,0,0,0,0.00196885595847217,-0.0239240405754669,0,0.00191431960060036,0.0131994096324312,0,0.0859034598176358,0,0,0
SPX.Index,0,0,-0.00765328268522315,-0.00288611935318606,0.00735720984445988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436686426440454
VIX.Index,0,0,-0.180475581850167,0.164666778617776,0,0,0,0,0,0.245782736762058,0,0,0,0,-0.277742805157374,-0.441076798939949,0.268280642000377,0,-3.89286833704847,0
