,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,XMR,TRX,DASH,ETC,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.219075754782013,0,0,0,0,0,0.17743054780024,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.119851754261144,0,0,0.141479340775401,0.00534563630296936,0,0,0,0.1228318722564,0.198371919969219,0.000426480393770624,0,0,0,0,0
XRP,0,0,0,0,0.331502358827999,0,0,0,0.150118030869047,0,0,0,0.0307292807972518,0.0914126855500211,0,0,0,0,0,0
BCH,0,0,0,0,0.151867099755041,0,0.0487601798135707,0.253992752004874,0.0852433701287631,0.0494739947845375,0,0,0,0.0421879747542242,0,0,0,0,0,0
EOS,0,0,0.0665470783865854,0.0373074869842788,0,0,0,0.152224821402906,0.139169326219215,0,0.120776518710591,0.0418781856863671,0,0.0962017151407693,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.222909852990008,0.0759920150236056,0.141566430139904,0,0,0,0.108905333773277,0,0,0,0,0,0
LTC,0.0754125260802061,0,0,0.503488454430546,0.0595257120086356,0,0,0,0.143113328175636,0,0,0,0.0251366605338839,0,0,0,0,0,0,0
ADA,0,0,0,0.115057880591657,0.00521795200832781,0.187017788128005,0,0,0.0451542926434859,0,0.257764929145786,0.117795983343998,0,0.0496980313173173,0,0,0,0,0,0
MIOTA,0,0,0.163449326293536,0,0,0,0,0,0,0,0.180438004743679,0.0955934705888352,0,0.541720929277564,-3.46944695195361e-18,0,0,0,0,0
XMR,0,0,0,0.374529704424324,0,0,0,0.0969492715343509,0.0470420784683673,0,0,0,0,0.119100765487372,0,0,0,0,0,0
TRX,0,0,0,0,0.062113119437298,0,0,0,0.143398568597952,0,0,0,0,0.329672194918883,0,0,0,0,0,0
DASH,0,0,0,0,0.0453707180774068,0,0,0.20259638968968,0.0553071661916755,0,0,0,0,0.182731586959561,0,0,0,0,0,0
ETC,0,0.154240484029411,0,0,0.0976226458216887,0,0,0.0763906244291586,0.187103080753619,0,0.0547504410588743,0,0,0,0,0,0,0,0,0
NEO,0,0.296072567173126,0,0,0.100734965580222,0,0,0.052196783453516,0.299762552690572,0.0134342460606031,0.241991628480527,0,0,0,0,0,0,0,0,0
BNB,0,0,0.135519264642011,0,0.029726435616597,0,0,0.129332200110327,0.11157563183652,0.0101652039099783,0,0.0999881220101957,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565382168514206
CVIX.Index,0,0,0,0,0,0.0232682240981248,0,0,0.0286869933283021,0,0,0,0,0,0,0,0,0,0,0.0867500559115303
DXY.Curncy,0,0,0,0,0,0.00437103084874715,0,0,-0.0161553819478122,0.0163273036078714,0,0.00164410011253333,0.000781661741132239,0,0,0,0.0953806334071138,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0620586674417589
VIX.Index,0.0996313929811912,0,-0.045109586203201,0,0,-0.0978928394106068,0,0,0.312305839590233,0,0,-0.241892390264837,-0.0347349268275563,-0.388605972349607,0.302454536665134,0,0.417066091539748,0,-1.26648981156535,0
