,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.168908815621059,0,0,0,0.0478550692189893,0,0.042976427750274,0.140255621168831,0.0506529076918169,0.0287986984691155,0.0486887354127905,0.0556342798787252,0,0,0,0,0
ETH,0,0,0,0.0314907916597076,0.0522461946656794,0,0.0553100893929143,0,0.292258318757692,0,0,0,0.0204184453814336,0,0.0731683484674411,0,0,0,0,0
XRP,0,0,0,0,0.0460384547272824,0,0,0,0.218845904278776,0,0.0842791121133492,0,0.0529659725362013,0.103839345616913,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.0274269129871766,0.188585066890534,0,0.00489882686099383,0.0310949031520688,0,0.172348095610709,0,0,0,0,0
LTC,0,0.0283834477972704,0,0.25122557365633,0,0,0,0.124011963997973,0.194095757635166,0,0,0,0,0.0387849267327137,0,0,0,0,0,0
EOS,0,0,0,0,0.0878984050657768,0,0,0,0.293086097688138,0.0365903822833424,0.0658781392181881,0,0,0.0781800606341642,0.0408783062349669,0,0,0,0,0
ADA,0,0,0.214787155260257,0,0.0188993164465442,0,0,0.323780907169029,0.129186887238294,0,0,0,0,0.154093766263223,0,0,0,0,0,0
XLM,0,0,0.244969256619126,0,0,0,0,0,-8.67361737988404e-19,0,0.268308190867628,0,0,0.196636825889246,0,0,0,0,0,0
NEO,0,0,0,0,0.163977846050066,0,0,0.0767405529682971,0,0.0605569018885393,0.0825933236201885,0,0,0,0.0763304443312979,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.204680750568454,0,0.147121654980971,0.202673922773151,0.0591953319701909,0.0346426232665423,0.0788687745587022,0,0,0,0,0
XMR,0,0,0,0,0.334206157288089,0,0,0,0.0939604665315352,0.0015289262062641,0,0.135293599482558,0.137452753991342,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.063286816261639,0.13819964282677,0.0867218744488086,0,0.0959389752385502,0,0.140566134075228,0.0335367257690806,0,0,0,0,0,0
TRX,0,0,0,0.0739524162854121,0,0.0642621995750512,0,0,0,0.275413086317634,0.0437792760457185,0.186722508083859,0,0.0275366968243388,0.101926433332336,0,0,0,0,0
XEM,0,0,0,0,0,0,0.226159125733138,0.207255219980368,0.260533562364621,0,0,0,0.139465558634447,0,0,0,0,0,0,0
BNB,0,0,0,0.0442776650557785,0,0,0,0,0.176498807545753,0.267001827734135,0.102675533886272,0,0.0275356386523892,0,0,0,0,0,0,0
BV010082.Index,0,-0.064660277109866,-0.0190938051906697,0.00932036380842386,0,0.0234406400166703,-0.00888980915664779,0,0,-0.00174414603012462,0,0.0557474226823464,-0.0197571221181711,0,0,0,0,0,0,-0.0385757602250566
CVIX.Index,0,0,0,0,0,2.71050543121376e-20,0.0168979779538388,0,0,0,-0.0368146285237956,0.0639406335570289,0,0,-0.0485082687275811,0,0,0,0,0.0306459504365901
DXY.Curncy,0,0.0136861387819673,0.0017795441094147,0,-0.0232521359074591,0.0195283635515595,0,-0.0330983905890695,0,0.00547763405060565,0,0.0297740017133235,-0.0159272606111542,0,-0.0053380127326431,0,0,0,0,0.00729561292597395
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171162095908563,0,0,0,0,0,0,-0.0775761130450236
VIX.Index,0,0,0,-0.108765712441054,-0.0133167873794703,0,0,0,0.242663348911781,0,0,0,0.0135489139417766,0.0598112773718778,0,0,0,0,-4.68352519943877,0
