,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0332871708723232,0.143546442462322,0.119781960893702,0,0,0,0.0261058039691873,0.0978697342146131,0.02149758377544,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0337071063488932,0,0.0684839264437103,0.036299456762603,0.0388211413686997,0.135198825730834,0.0162589181932034,0.0247409906077412,0.0291411635524665,0.114050716660004,0,0,0,0,0
XRP,0,0,0,0,0,0.0416429560814807,0,0.152332400669498,0.100408138323334,0,0,0.0392447318090478,0,0.024008509041953,0.199789307867456,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.164453412909508,0,0,0.0829236416528333,0.0586686877281422,0.0734921877411993,0,0,0.0977375972181158,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.0229715322289065,0.030239200874047,0.136724979682303,0.119488268841291,0,0.0971750116249303,0.0352944450953853,0,0,0,0,0
ETC,0,0.0915019270264546,0,0,0.122990068374966,0,0,0.0778473092420985,0,0,0.148467115397039,0,0,0,0,0,0,0,0,0
DASH,0,0.0362630498000068,0,0,0,0.0557888601591229,0,0,0.00980097034983387,0.0732596221592319,0.124244690120355,0.0508363071889125,0,0.115758695695843,0,0,0,0,0,0
MIOTA,0,0.219498373532643,0,0,0,0.170961366816333,0,0,0,0.0762447214768841,0,0,0,0.0865911189227219,0.0845038358520978,0,0,0,0,0
NEO,0,0.019754863898049,0,0,0,0.116008761145906,0,0.0649642824018118,0,0,0.00431856640728875,0.0222874345427966,0.428211204344502,0.113575584473865,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0293710892239537,0,0.199696494723386,0.0186295846861883,0,0,0.0516154159906711,0,0.252912292516919,0.163246291967946,0,0,0,0,0
EOS,0,0.133919295463407,0,0,0,0,0,0,0.187889974878235,0.0366009035006788,0,0,0.163469629216357,0.0870465026385691,0.123805487434416,0,0,0,0,0
ZEC,0,0.203344501514496,0,0,0,0,0,0,0.0662553368668115,0.0150320183783098,0.221030360356349,0.0180279502561551,0,0.0872795267236973,0,0,0,0,0,0
XLM,0,0,0,0,0,0.124416902505872,0,0,0.0194222158777378,0.0543120163364853,0.514274310221734,0.0675490393758538,0,0,0.060983796226102,0,0,0,0,0
DOGE,0,0,0.16496141805518,0,0.0618428872254085,0.171613355641704,0.0898568738247553,0,0.0375749995307808,0,0.180308736454655,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0.0238503112295652,0,0.0165416451692576,0,0,-0.0327314061702898,0,0,-0.0068686834167631,0,0,0.0184514345944975,0,0.0102724305461578,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0245350342335257,0.0112012578039093,0,0,0,-0.00839339691930313,-0.00541039426708012,0,0,0,0,0.00161947121130802,0.00815001147023994,-0.0126786732039841,-0.00689946411089714,0,0,0,0,-0.0127975559431122
SPX.Index,0,0,0,0.00082825881718709,0,0,-0.00242694844212957,0,-0.00133683353686126,0,0,0,0,0,0,0,0,0,0,-0.0519413790639844
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310440192687917,0,0,0,0,0,0
