,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.277478988719893,0,0.0321671374616712,0,0.0600494362186003,-6.93889390390723e-18,0.020755655858862,0,0.0622778628886694,0,0.00367424590620502,0.0442779713690515,0,0,0,0,0
ETH,0,0,0.0435167721032224,0.043851898419065,0,0.096642340448598,0,0,0,0.138785276629983,0,0,0,0,0.155773890859689,0,0,0,0,0
XRP,0,0,0,0,0,0,0.113172383996503,0,0,0,0,0,0.05372498649645,0.37944231105049,0.0690645952377988,0,0,0,0,0
BCH,0,0,0.0474079623757124,0,0,0.104951165603802,0,0,0.100791316346956,0,0.274861674865458,3.46944695195361e-18,0.0638255377957504,0.00907486619814167,0.0625656462347288,0,0,0,0,0
LTC,0,0,0,0.145830215138669,0,0,0.0454101325501721,0,0.099074514810774,0.0983864683163786,0,0.0314931796082545,0,0.0306917402199599,0.0962072734032294,0,0,0,0,0
NEO,0,0.0689959395313945,0,0.0647102323590442,0,0,0,0.100315432956003,0,0.13636080136561,0,0.0967674318311992,0,0,0.260767841891202,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.558057539128877,0.0564480736468376,0,0,0,0,0.0114614495654786,0.101192866810244,0,0,0,0,0
ADA,0,0,0,0,0,0,0.0283079665507759,0,0.0913802013951657,0.217772437974047,0,0.0272495998810796,0,0.0731186560554477,0.0265745667226282,0,0,0,0,0
EOS,0,0,0,0.0736039602845817,0,0,0.0869182221173212,0.0234522105559488,0,0.0801377066923418,0,0,0.0826405483653609,0.0533894975565913,0.294242023179057,0,0,0,0,0
XMR,0,0,0,0,0,0.141457303192429,0,0,0.0584968090852058,0,0.342874918596483,0.111530044902872,0,0.0271438134090429,0,0,0,0,0,0
DASH,0,0,0.0768378746654485,0.0502490395730978,0,0,0,0,0.113492155165815,0.172500654693372,0,0,-2.16840434497101e-19,0.115414640323689,0.0863351299584599,0,0,0,0,0
MIOTA,0,0,0.07693640635345,0.13653870461544,0,0.0346581388657702,0,0,0.165367023277514,0.121962100488585,0,0,0.0404348761639466,0.161571212837519,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0788007234380652,0.0448978357658242,0.14435068829568,0,0.0901011448870552,0,0,0,0.123388992043372,0.0652000624012781,0,0,0,0,0
TRX,0,0,0.5593453488794,0.172661723617567,0,0,0,0,0,0,0,0,0.205236821598875,0,0,0,0,0,0,0
ETC,0,0,0.248620172686438,0,0,0.282630100098195,0,0,0.136759058645802,0,0,0,0,0.0857775156614787,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430504810348026
CVIX.Index,0,0,0,-0.0339883311547866,0,0,0,0.0839859834622528,0,-0.0404374129133866,0,0,0.0559407214635832,0,-0.0545977334825758,0,0,0,0,0.0314173953391967
DXY.Curncy,0,0,0,0,-0.0068127521094291,0,-0.00208279462833483,0,0,0,0,0,0,-0.0102166652221946,0.00752556173902547,0,0,0,0,0.0112940485773344
SPX.Index,0,0,0,0,0,0.0050121261543519,0,0,0.00703152792605443,0,0,0,0,-0.015083309066127,0,0,0,0,0,-0.0602172384820732
VIX.Index,0,0,-0.0372249132586872,0,0,0,0,0,-0.0949534690314324,0.12693743059244,0,-0.00158219299079012,0,0.0601372113164663,-0.0126980084605018,-1.56389441571132,0.149835088041714,0,-2.74588756732645,0
