,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,DASH,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0169658905974246,0,0.0637237891019116,0.166497394741167,0,0,0,0.0359246724547727,0.0705684216071896,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.213308383574476,0,0,4.33680868994202e-19,0,0.0671490927002512,0.265228124239102,0,0,0.0704693427768769,0,0,0,0,0,0
XRP,0,0,0,0,0.241647927674862,0,0,0.155770633611474,0,0.206676676254914,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.190998546157325,0,0,0.244210690698453,0,0.0376966945221426,0,0.0995868465711479,0,0,0,0,0,0,0,0
EOS,0,0.189525101394156,0.0457335811205261,0.139104386145961,0,0,0,0,0,0.135139607049698,0.0110411471101659,0.0632609754621723,0,0.234896751199718,0,0,0,0,0,0
XLM,0,0,0.10338031245699,0,0,0,0,0.0720713259963079,0,0.0636839518560526,0.0932763939555115,0.0683021457673614,0,0.110381709527653,0,0,0,0,0,0
LTC,0,0.162046155123953,0,0.102484109398467,0.0749647096059128,0,0,0.139040898042094,0,0.145702194269378,0,0.0414578538841586,0,0,0,0,0,0,0,0
ADA,0,0.127005060616546,0.0627132100884147,0,0.125892308819116,0,0,0,0,0,0.249267181976228,0,0,0.19810363190045,0,0,0,0,0,0
XMR,0,0.34272537692904,0,0.0867416938033017,0.0287346890051612,0,0,0,0,0.109656281152212,0,0,0,0.109168788666185,0.0461773368282499,0,0,0,0,0
MIOTA,0,0,0.0718109554644187,0,0,0,0,0,0,0,0.508855762875154,0,0,0.338806024406678,0,0,0,0,0,0
TRX,0,0,0,0,0.0665159876879432,0,0,0.0669648589641743,0,0.366018120468343,0,0,0,0.147751922621363,0,0,0,0,0,0
DASH,0,0,0,0,0.139403586663563,0,0,0.113799176017685,0,0.0802627028753576,0,0,0,0.218795090796311,0,0,0,0,0,0
BNB,0,0,0.0406203889118164,0,0.063895884583541,0,0,0.108148943276048,0,0.0598953073917276,0,0.104707504396633,0,0.15868232252683,0,0,0,0,0,0
NEO,0,0.0798790206034855,0,0,0.0104228647298531,0,0,0,0,0.478723431688384,0.176687478881821,0.0358191436956363,0,0,0,0,0,0,0,0
ETC,0,0.273684953373085,0,0,0.122985414421272,0,0,0,0,0.12937068448804,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00798646281232029
CVIX.Index,0,-0.130927788279998,0.0413631448639297,0,0,0.0382424700805194,0,0,0,0.0409501899583512,0,0,0,0.0125940158035557,0,0,0,0,0,0.0644134476597168
DXY.Curncy,0,-0.00196308162640641,-0.00154297819668261,0,0,-0.00157870613921933,0,0,0,0,-0.0206831285675748,0.00194483519333273,0,0.0112602380507651,0.00175431467972832,0,0.0864890741211302,0,0,0
SPX.Index,0,0,-0.00329471457307456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376530568733797
VIX.Index,-0.0911011977317108,0,-0.19464839663746,0.247269745628298,0,0,0,0,0,0.300329148529707,0,0.00740929099603873,0,-0.423265174607462,0,-0.895930592889771,0.712975400685764,0,0,0
