,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0784990051226675,0.129286012511893,0,0.0546710663286775,0,0,0.0802806982294518,0,0,0,0,0,0.0690962172510757,0,0,0,0,0
ETH,0,0,0,0,0.166777390128875,0.115371776525217,0.0689929766567032,0,0.00293138772024131,0.0192762793587629,0.189034292382718,0,0.0529739943285949,0,0,0,0,0,0,0
XRP,0,-0.0953382826561161,0,0,-0.150977868093307,0,0.302825348556615,0.0466832620276565,2.16840434497101e-19,0.0245949025175927,0,0.0470056996501768,0,0.400286998317157,-0.0186731922548509,0,0,0,0,0
LTC,0,0,0,0,0,0.128491465032398,0,0,0.0145787523561974,0,0,0.15847865765248,0,0,0,0,0,0,0,0
ETC,0,0.357495000238455,-0.0695704587781738,0.235523739123284,0,0,0.110996150273882,0,0,0,0,0,0,0,-0.0368479119196898,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.0599015541873017,0.0603535886614554,0,0.0312263790166503,0.195937661490591,0.204156023724481,0,0,0,0,0,0
DASH,0,0,0,0,0.110248387799274,0,0,0,0.216278039711739,0,0,0.0782155197977021,0,0.00876981221840297,0.0442375667079333,0,0,0,0,0
MIOTA,0,0.0971182913792594,0,0.0306025604147384,0,0.0835361874886538,0,0,0,0.0105973295693364,0.0814559090187517,0.0763614514437921,0,0,0.0683304732384552,0,0,0,0,0
XMR,0,0,0.116877411150426,0,0,0.0979075501293495,0.342020283565981,0,0,0.0353144177754757,0,0,0,0.043596316667757,0.058763364847409,0,0,0,0,0
EOS,0,0.180743861714919,0.0577168412056145,0,0,0.0559227001985607,0,0.214413874460586,0,0,0.0429329769381077,0.0362282048642415,0,0,0.0470949466717402,0,0,0,0,0
ZEC,0,0.180835927287393,0,0,0,0,0,0,0.0883352332585599,0,0,0.0521057230713399,0.178901912255629,0,0,0,0,0,0,0
NEO,0,0.11760655189103,0,0.556994212020438,0.0344020113401488,0,0,0,0,0,0.237541369678214,0,0,0,0.00406977531512581,0,0,0,0,-0.0740452044962716
DOGE,0,0,0,0.0331559030388395,0.167933158995569,0.28525374008049,0.0975057616317621,0,0,0,0,0,0,0,0.164035217387136,0,0,0,0,0
XLM,0,0,0.473330538120478,0,0,0,0,0,0.235643670404529,0,0,0.0328895167040419,0,0,0.115129856247351,0,0,0,0,0
DGB,0,0,0,0,-0.0662218785417351,0,0,0.138915136733417,0.02024061038155,0.0967357217067991,0,0,0.397194190783596,0.509175253195916,0,0,0,0,0,0
BV010082.Index,0,0.0106170362694977,0.0354550127260418,0,0,-0.0241328226215622,0,0,0,0,0.00417847738754759,0.00116324041202077,0.0112651661352466,-0.00932265795030419,-0.00140337264266096,0,0,0,0,-0.0326355729897907
CVIX.Index,0,0.0141754607081915,0.0143109205079827,0,0,0.0422148921495582,-0.045425851664169,-0.0138390552295159,0,0.00526942178466886,0,0.0116861129098382,0.0165301459011641,-0.0325630327435519,-0.00774893923435039,0,0,0,0,5.3660905392851e-05
DXY.Curncy,0.0217228989437997,0.0118024645686924,0,0,0,-0.00224877114452939,0.00363926755170452,0,-0.00278260376496976,0.00019999290494249,0,0.00113444318538261,-0.0164712596926028,0,-0.00510548965073578,0,0,0,0,-0.00539876809504268
SPX.Index,0,0,0,0,0,0,0,-0.00120720394518914,0,0,0,0,0,0,0,0,0,0,0,-0.0469131710130829
VIX.Index,0,0,0.0597530061615534,0,0,0.0746718609255444,0,-0.0575918161547337,0,0.0196154905344826,0,0,0.0560575846435643,0,-0.062519237716153,0,0,0,0,0
