,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.166771419664991,0.0344690685743257,0,0.00205678019558495,0,0.0752668148286561,0.112689543303771,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.137510949113783,0.076881276658487,0,0,0,0.154711425376758,0,0.141873984014813,0,0,0.0174507643739717,0.0658623621383626,0,0,0,0,0
XRP,0,0,0,0.150186510923046,0.0710876239427987,0,0,0.0269931515236163,0.0039364875275001,0,0.147022310744995,0,0,0,0.236106219538866,0,0,0,0,0
BCH,0,0,0,0,0.415249969601104,0,0,0,0.0766852215825411,0,0.000460511033402174,0,0,0.0685894817454525,0.122195204813975,0,0,0,0,0
EOS,0,0,0,0.353961936798035,0,0,0.311102211936481,0,0.185377848622028,0,0.0762946307464233,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.282113603642841,0.102241778648685,0,0,0,0.0199575523344507,0,0,0,0,0,0.10229745267986,0,0,0,0,0
ADA,0,0,0,0.258511957755285,0.0948069422966926,0,0,0,0.0938272180336891,0,0.17415757102499,0,0,0,0.0567910748421154,0,0,0,0,0
XLM,0,0,0,0.122359974300993,0.105117317370206,0,0.112208982726187,0,0.0904815957662471,0,0.0562212519349807,0,0,0,0.158976355109912,0,0,0,0,0
MIOTA,0,0,0,0,0.292772990295853,0,0,0.230562640831404,0,0.0308432911310808,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.121532398897833,0.0482420762439031,0,0.0318625940006584,0,0.0616562586213464,0,0.168163705985383,0,0,0,0.360892534784354,0,0,0,0,0
TRX,0,0.0529030158438904,0,0.0907137752651246,0.25032572164381,0,0,0.198295900039452,0.0351261635524632,0,0,0.0724460984402984,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0271351482595236,0.225379467505708,0,0.172211948776458,0,0,0.148260277619387,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.10238822028375,0,0,0,0,0,0.10527225149697,0,0,0,0,0.325624783427648,0,0,0,0,-0.0166076895736572
ETC,0,0,0,0.269516165464055,0.0573782278152818,0,0,0,0.191174708375532,0,0.0825012391041543,0,0,0,0.118518333153412,0,0,0,0,0
XEM,0,0.0436153511668205,0,0,0.0789962029168172,0,0,0.227849152349203,0,0.358468862855932,0.0586089388045255,0,0,0.101150646678038,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100580777689256
CVIX.Index,0,0,0.0984716676377495,0,0.045897182346668,0,0,0,0,0,0,-0.0437059827844633,-0.146756024326282,0,0,0,0,0,0,0
DXY.Curncy,0,-0.00278386441270023,0,0,0.0192274825966459,0,0,0,-0.00332563168106573,-0.0146989973753395,0,0,-0.00103595906021184,0.0088351031798066,0,-0.0204553438374694,0.0332838057048929,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0562242313885109
VIX.Index,0,0,0.618505159485304,-0.149496733373352,-0.475079915126279,0,0,-0.369946813232441,0.0675360250144712,0,0.203827265817195,0,0,0.13154634636522,0,-0.870717650830913,0,0,0,0
