,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.139505106592082,0.0388518882903224,0,0.00819757620482138,0,0.0905898111831311,0,0.145622214222859,0.0716961730864371,0.0539692600606538,0.0178423509906888,0,0,0,0,0,0
ETH,0,0,0.0368710335983612,0.0789765007914711,0,0.0248236869655989,0,0.052396691841035,0.00190762304778722,0.285586886798866,0.0424993943062259,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0539437629632147,0.0707561434313062,0,0.0571323443550021,0.174340221323649,0,0.172941015877455,0.0471151866461303,0,0,0,0.0483717785964452,0,0,0,0,0
BCH,0,0,0,0,0.0927084916475893,0,0,0.0255535213519257,0.34564016033832,0,0,0,0,0.0523282205730351,0,0,0,0,0,0
EOS,0,0,0.414171272586852,0.0198770971483846,0,0,0,0,0,0,0.0453713370844028,0,0.0334130639689631,0,0.113647404669693,0,0,0,0,0
LTC,0,0,0.0877359659899362,0.230961201350753,0,0,0.0735590387569202,0.0868210053540212,0.0416696543518267,0.0793297566478117,0,0,0,0,0.0227938152103042,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.224805360984877,0,0.28109154115978,0,0,0.192323025540324,0,0,0,0,0,0,0
XLM,0,0,0.0210495793808763,0,0,0,0.130112396925949,0,0,0.120617203369733,0.254754603364504,0,0.172811629718584,0,0,0,0,0,0,0
MIOTA,0,0,0,0.368921750977334,0,0,0.102955172454501,0,0,0.17593171055138,0.0741072070023022,0,0.0297468207606929,0.0827040757198596,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0122711681864738,0.0194167740937093,0.103337624423772,0.191822045602844,0,0.176102951291331,0,0,0,0.151316704607706,0,0,0,0,0
XMR,0,0,0,0.176369480614197,0,0.0657914305454147,0,0.0950795509009464,0.23578825286021,0.0653504447555409,0,0,0,0.0808214706040315,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.173812571897078,0,0.0960592892041957,0.0766662937824061,0,0,0.142294380267343,0,0,0,0,0,0
XEM,0,0.153260868490583,0,0,0,0,0.125313195722794,0.306947769122524,0,0.197503674430411,0,0,0,0.11322754296247,0,0,0,0,0,0
TRX,0,0,0,0.301353904484481,0,0,0,0,0.274772992431556,0,0,0.131145620262954,0.0511570373051377,0,0,0,0,0,0,0
ETC,0,0,0.036362715136922,0,0.167648751042621,0,0.0744279711088165,0.0642519777078621,0.251758760648101,0.0271468207708376,0,0,0.0371400555361254,0.0592489911967383,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242583008841695,0,0,0,0,0,-0.0247304771893821
CVIX.Index,0,0,0,0,-0.0090499326862328,0,0,0,0,0,0,0.026651788375756,0,-0.0283976052707796,0,0,0,0,0,0.0168671199571512
DXY.Curncy,0,0,0,0,0,0,0,-0.0184608787075436,0,0,0,0.0332880389971885,0,-0.00905195423504022,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101449789177384,0,0,0,0,0,-0.081387766911411
VIX.Index,0,0,0,0,0,0,0,0,0,0.0230773902216014,0,0,0.0311900234736318,0.0399649576517401,0,0,0,0,-2.35381773334855,0
