,BTC,ETH,XRP,XMR,LTC,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0663240343494909,0,0.0699342496631545,0.308909827468262,0.0253480733816825,0,0,0,0.0162933910457569,0,0,-0.0549708758302089,0,0,0,0,0.00858380056887705
ETH,0,0,0.318673596446873,0.0941908096795114,0,0,0.213771481006871,0,0,0.0341141253176718,0,0.104489084095305,0.129705108796639,0,0,0,0,-0.0394452491598654
XRP,0,0.059940825722108,0,0,0,0.0252049620892741,0.0250784202312482,0,0,-0.0261210136561109,0.0336019336814094,0.00329990498995418,0.125907621989077,0,0,0,0,0
XMR,0.13975437610167,0,0,0,0,0,0.497312298600484,0,0,0,-0.015757237075219,0.0820200489444382,-0.0899394441949929,0,0,0,0,0
LTC,0.493671756024095,0,0,0,0,0,0,0,0,0,0,-0.0198387528841063,0,0,0,0,0,0
ETC,0,0,0,0.101228146137132,0,0,0.348469560025534,0.0483795661029796,0,0.0199508921699837,-0.0616060895776016,0.0783309293742299,0.272968994734725,0.309560493734019,0,0,0,0
DASH,0,0.0353367785438519,0,0.0838327350064086,0.0175796621658657,0.170905449786473,0,0.0434221337280498,0,-0.00428359034448405,0.0218597850954596,-0.0526740858090679,-0.137974623963123,0,0,0,0,0
XEM,0,0,0,0,0,0.117176622876408,0.0830675711345866,0,0,0.0246434671360643,0,-0.108445108738515,0,0,0,0,0,0
DOGE,0,0,0,-0.0226477588046006,0.149414943373487,0.0428924462047798,0,0.0178882069419404,0,-0.0141925564283665,-0.00304157545963008,0.0391927480036764,0,0,0,0,0,0
ZEC,0,0.693865201012211,-0.568945304233638,0,0,0.267253127176197,0,-0.251350144959304,0,0,0,0,0.159866530281256,0,-0.78196938997927,0,0,0.216263833083445
XLM,0,0.0974589547641054,0,0,0,0.106704907504279,0.0513549838668989,0,0,0,0,0.0111360742867737,0,0,0,0,0,0
NEO,0,0.139581364273,0.247204193793629,2.16840434497101e-19,-0.280199732749681,-0.152860461080823,0.139801484152151,0,0,-0.0458603209415126,-0.0721418267355433,0,-0.0945592970968425,0,0.195908606765609,0,0,0
DGB,0,0.132632419359425,0,0.0947504276299063,0,0.233374078762512,-0.135450432652752,0,0,-0.0104925480892718,-0.0116490192541341,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0158779337282035,0,0,0.0322458045769518,0,0,-0.000767273524465645,0.00187401255703454,0,0,0,0,0,0,-0.070142797117669
CVIX.Index,0,0,0,0.0530178217942474,0.0995964836049586,0.0312185763617227,0,0,0,-0.0558005726108182,0,0.0183546561265065,0,0,0,0,0,0.177950929109681
DXY.Curncy,0.023853470466077,0,-0.00738051139989553,0,0.00920251872973301,0.00782480336206855,0,0.0110903408941845,0,-0.00174197965766926,0,0.00645291095524504,0,0,0,0,0,-0.0156061049334065
SPX.Index,0,0,0,0,0,0,0.00468225149965478,0,0,0,0,0.00529627072916206,0,0,0,0,0,-0.0423774691474632
VIX.Index,0,-0.318168543059738,0,0.117312980022487,0.0604361989575172,0.137543516734742,0,0,0,0.00889441758999483,-0.0548075290138003,0.0811707902237851,0.0578463565935083,0,0.407233413821895,0,-1.12746293346179,0
