,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,ETC,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.137061060401243,-1.73472347597681e-18,0,0.0279586846344516,0,0.124657781301904,0,0,0.153118021387403,0,0,0,0,0,0,0,0
ETH,0,0,0,0.145380234626936,0.18989537016293,0,0,0,0,0,0.106975137517492,0.0257941985886607,0.124971260273656,0.0867452761811003,0,0,0,0,0,0
XRP,0,0,0,0,0.328297740720205,0,0,0,0,0,0.215828294714394,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.224844462357014,0,0,0.226336143056964,0,0,0.0782870100081331,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0535179455081172,0,0.102963732574459,0.162236476589691,0.085951335241417,0,0.214161808839864,0,0,0,0,0,0
XLM,0,0,0,0,0.00774560126050061,0,0,0.0636693170637364,0.141480277983327,0,0.0431145879094279,0,0,0.19738312084388,0,0,0,0,0,0
LTC,0,0.0550442034226404,0,0.312952610862148,0.0529779507845612,0,0,0,0,0.0302500292440328,0.204594852114411,0,0,0,0,0,0,0,0,0
ADA,0,0,0.161410555205149,0.132099943172133,0.0241906121466053,0.12468013399867,0,0,0.0195181398957845,0.0494335491286138,0,0.284249391544153,0,0.126210353888916,0,0,0,0,0,0
XMR,0,0,0,0.213590839224102,0.0796075223560171,0,0,0.0837667639378119,0,0.0549657407392569,0.0768730332647838,0,0,0.119894172479937,0,0,0,0,0,0
DASH,0,0,0,0,0.0965865174172635,0,0,0.283158043128068,0,0,0.0758418112393061,0,0,0.187958915771411,0,0,0,0,0,0
MIOTA,0,0,0.353873760496157,0,0,0,0,0,0,0,0,0.235827152202103,0,0.374562288390147,0,0,0,0,0,0
TRX,0,0,0,0,0.0589911706808485,0,0,0,0,0,0.154346054895917,0,0,0.316821028939021,0,0,0,0,0,0
ETC,0,0.219610182262637,0,0,0.161713682994277,0.0138766204722953,0,0,0,0,0.255236303276127,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0453550164700083,0,0,0,0.13231867579693,0,0.366977405998173,0.238969155478245,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0.0898554954375616,0,0.0895299048178365,0.100170413959396,0,0,0.243341751712543,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0650850176556796
CVIX.Index,0,0,0,0,0,0.0317220836319813,0,0,0,0,0,0,0.0613073451006924,0.0006499007801972,0,0,0,0,0,0.0783961497441459
DXY.Curncy,0,0,0,0,0,0.00289614763648458,0,0,0.00226806304722708,0.00982390884044567,-0.0118041400497537,0,0,0.00553548702417734,-0.00895326519924111,0,0.0879835436820166,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00189149842956453,0,0,0,0,-0.0567812314760068
VIX.Index,0.36486635580102,0,0,0,0,-0.124093439215855,0.151462976467558,-0.138815657234028,0,-0.0956312778730546,0.218937376381766,-0.120933036076856,-6.04021903704275e-05,-0.374414682340885,0.284566455550454,0,0.53270421892701,0,-1.38318885622709,0
