,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.125660224212882,0.152371824792756,0,0,0.0728829088491725,0,0.0713692467695635,0,0.000921596234488771,0,0,0.0106644173958256,0.0156784839342686,0,0,0,0,0
ETH,0,0,0,0,0,0.154312029994979,0.162360490268868,0,0,0.0106486480856615,0,0.0271925976188847,0,0.065472603937461,0.203410948873385,0,0,0,0,0
XRP,0,0,0,0,0,-0.0518242450973202,0.331363562931095,0.0664409080817549,0,0.0378427071906995,-0.010684969938658,0,0.353521940305235,0,0.0817112512796686,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0430227827207282,0,0.167126785139864,0,0.00667947320727419,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0424841091665427,0,0,0.0324434327894175,0,0.0415429779017343,0,0.271051765753939,0.161825430972761,0,0,0,0,0,0
ETC,0,0.344708052847343,0,0.0100857247217739,0,0,0,0,0,0,0.051022863428833,0,0,0.0984743042199114,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0830132220610781,0,0,0.229735145586463,0,0.0794368857688467,0,0.035544674169996,0,0,0,0,0,0,0
MIOTA,0,0.291458176374732,0.0758197771705735,0.0265783572489629,0.141505661433429,0,0.103268470602657,0,0,0,0.0656244261604082,0.00871410450677095,0.0308396598613794,0,0.0478614760971431,0,0,0,0,0
XMR,0,0,0.135835991572714,0,0.0668469909354946,0,0.311159701659346,0,0,0.0465167557093357,0,0,0.0701230378808928,0,0.0659907134956814,0,0,0,0,0
EOS,0,0.172461154379087,0.0882164292498233,0,0,0,0,0.113417894146081,0,0,0.0284719403494302,0.0236987888666444,0,0,0.0167630094104866,0,0,0,0,0
NEO,0,0,0,0.533485586620568,0,0.169828804622709,0,0.035162329183522,0,0,0,0.239405212079845,0,0,0,0,0,0,0,0
ZEC,0,0.248782109671216,0,0,0,0,0,0.0148758830440176,0.122427944955803,0.0064412494006735,0.0501656674655718,0,0,0.0576661163170515,0,0,0,0,0,0
XLM,0,0,0.623314917896285,0.0440276037687402,0.0796153546716411,0,0,0,0.228111391068613,0.0411514898160832,0.063634630448128,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0,0.491244794588875,0.116352342190893,0.0606456864541242,0,0,0,0.015302635408142,0.0391279028306887,0,0,0,0,0,0,0,0
BAT,0,0.283118571382212,0.16533824174615,0,0,0,0,0.163454484621657,0,0,-0.0317981101113769,0,-1.73472347597681e-18,0.0189632137510013,0,0,0,0,0,0
BV010082.Index,0,0.0102959427541379,0,0.0181859952811437,0,0,0,0,0,0,0,0.00350389584223854,0,0.00105980608429174,0,0,0,0,0,0
CVIX.Index,0,0.0167730547668525,0,-0.0215474119419448,0,0,0,0,0,0.00678754936488489,0.010136890554032,0,-0.0102617438900424,0.00438971309832902,0,0,0,0,0,0
DXY.Curncy,0.0246265590707812,0.0116013412894889,6.07141864107698e-05,0,0,0,0,-0.00420613580831535,-0.000942609266883179,0.0010927681882211,-2.71050543121376e-20,-0.00286177304561108,-0.00831670886783958,-0.00430112047245888,0,0,-0.0165112268423245,0,0,0
SPX.Index,0,0,0,0,0,0,0.000931082756953952,-0.00133795746768888,0,0,0,0.000421661450471645,0,0,-0.000704577355583077,0,0,0,0,-0.0454312529278913
VIX.Index,0.0748949297182508,0.109167081899322,0.0971167325558221,-0.0931340879965833,0,0,0,-0.120384319606826,-0.0412841805573552,0.0208882341026458,1.0842021724855e-19,0,0,0,0.024426141785749,0,0,0,0,0
