,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,DASH,ETC,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.324019926318283,0,0,0,0,0.160657628461241,0,0,0,0.0166097167088691,0.0144221426231617,0,0,0,0,0,0
ETH,0,0,0,0.0800009592681703,0.269576516328944,0,0,0,0,0.147998533425461,0.0090999211582015,0,0.057479013588555,0.0527627631570547,0,0,0,0,0,0
XRP,0,0,0,0,0.104431701638718,0,0,0,0.0333377820196513,0.202875466342101,0.113860006677912,0,0.0465635284454176,0.0852449908205388,0,0,0,0,0,0
BCH,0,0,0,0,0.14549191406477,0,0,0,0.22147906855463,0.0730798129557221,0.212609634847621,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.171964712751603,0,0,0,0.109563978637013,0.0743630575383476,0.295599345217084,0.098898944793276,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.0394518193062005,0,0,0.328705186509263,0.164470922706501,0.137778453923027,0,0,0,0.0955901611852671,0,0,0,0,0,0
LTC,0,0,0,0.460582866167437,0.0906681925727151,0,0,0,0,0.0669878350483137,0,0,0.0655582468039752,0,0,0,0,0,0,0
ADA,0,0,0,0,0.220202923437305,0.207881775602244,0,0,0.0679630051915819,0,0.188081760174012,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.178528834631371,0.225231301324009,0,0,0.0240052052915419,0,0.0180242689550465,0,0,0,0.141083489710811,0,0,0,0,0,0
MIOTA,0,0,0.203857352073375,0,0.244787899814536,0,0,0,0,0,0.106964202895186,0,0,0.404802341140223,0,0,0,0,0,0
TRX,0,0,0,0.120039922318139,0.252714416489119,0.00203258724049211,0,0.0895301463346835,0,0.156556250684113,0,0,0,0.0707401253436947,0,0,0,0,0,0
DASH,0,0,0,0,0.0412596011148654,0,0,8.67361737988404e-19,0.0160351662493264,0.118875606754098,0.0203089659431907,0,0.0628821493686001,0.0940368789609516,0,0,0,0,0,0
ETC,0,0,0,0,0.12085325718655,0,0,0.0190906163126078,0,0.542620535576161,3.46944695195361e-18,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.172413702440551,0,0,0,0,0.213545883309628,0.30712300711541,0,0,0,0,0,0,0,0,0
BNB,0,0.0458376267980971,0,0,0.203274126327599,0,0,0.0591036161726852,0,0,0,0,0.0517936278402638,0.0605735390174802,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0367028044227023
CVIX.Index,0,0,0,0,0.0691376666960958,0,0,0.0100331010439034,0,0,0.0359495555483887,-0.176712607857252,0.0248254630023757,0.0220290233459506,0,-0.392292560419144,0,0,0,0.0411811750406126
DXY.Curncy,0,-0.0134459175200466,0,0,0,0,0,0,0,0,3.3881317890172e-21,-2.16840434497101e-19,0.00805222784327762,0,0,0,0.0563589077500392,0,0,-0.00900991306690084
SPX.Index,0,0,0,0,0,0,0,0,0,-0.00481338118793493,0,0,0,0,0,0,0,0,0,-0.0580959412158225
VIX.Index,0.249031758114669,0,0,0,-0.0155261929925548,-0.116095927594881,0,0,-0.0877957953432797,-0.0130235555864495,0,0,0,0,0,0,0.307305175218259,0,-5.19633033311142,0
