,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.151174169618491,0,0.109886159666923,0,0,0.0213620624474427,0,0.090822953425965,0,0.0186883177087882,0,0,0,0,0
ETH,0,0,0.0528128991549029,0,0,0.100894542541423,0,0.124600795778045,0,0,0.0368096102518913,0.0865183881038519,0.0605346014752385,0,0.0925483627532527,0,0,0,0,0
BCH,0,0,0,0,0.132576581215821,0.277401140777565,0.349359498700845,0,0,0,-0.0918818973194743,0,0,0.0756752275751411,0,0,0,0,0,0
XRP,0,0.0881559531763161,0.0234398877069359,0,0,0,0,0.0195598995179559,0,0,0.0283626085896684,0,0.0172343155417507,0,0.165665819251541,0,0,0,0,0
DASH,0,0,0.0288075141945009,0,0,0,0.0434233359478756,0.101261794080799,0,0,0.0213104710444492,0.169359606019661,0.0718220422568878,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.661318550130888,0,0,0,0.0683045634991518,0.100668182805035,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.0930321772789697,0,0.00997027173744233,0,0.0851858922512054,0.116630793931832,0.0540207467121852,0.0209496364341146,0,0,0,0,0
MIOTA,0,0.000880386536102229,0,0,0,0,0.13198768625979,0,0.044099980045253,0,0.137987579115328,0.211714070756571,0,0.235959593922544,0,0,0,0,0,0
XMR,0,0,0.0295710609372336,0,0,0,0,0.063768359959665,0,0,0.0250825956702063,0.139976184839525,0,0.0677427668649659,0.288559795933068,0,0,0,0,0
ETC,0,0,0,0,0,0.465505502106952,0,0.0980991830055226,0.0257119484522523,0,0,0.00980253443263855,0.0110608197337111,0,0.0255153828152532,0,0,0,0,0
NEO,0,0,0,0,0,0.120186415118878,0.223834307357933,0.0566961333511338,0,0,0,0,0,0.264983645378709,0,0,0,0,0,0
ZEC,0,0.227676146306067,0.0309398649740924,0,0,0,0.0685670034544122,0.0914765559938604,0.00523994606573183,0,0,0,0,0.0725157350385992,0.203175196133682,0,0,0,0,0
BAT,0,0,0,0,0.0603667523146201,0,0.0508096423401712,0.0771558562450537,0,0.0421475043363055,0.0251446190311946,0.120538450089645,0,0.0459607063107376,0.214904931666404,0,0,0,0,0
EOS,0,0.0481274608859689,0,0,0,0.102811735633996,0,0.0959797286365453,0,-3.46944695195361e-18,0.0797155919646466,0.123435005880506,0.0529334918228184,0,0.178512251695788,0,0,0,0,0
XLM,0,0.14418165021265,0,0.0531712432152713,0,0,0.000840323492816408,0,0.317990949889043,0.294805329370045,0,0,0.0578127033378543,0.0131986079644533,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0.00649376607153588,0,-0.00332869033287355,0.0193902684540394,0,0,0.00797038117498101,0,0,-0.0396415772143306,0,0,0,0,-0.0552634202305468
CVIX.Index,0,0,0,0.0251566815015629,0,-0.0145957521853352,0.0245376236377156,0.0260569043292545,0,0,0,-0.120902947895544,0.0240161809693577,0,0,0,0,0,0,0.048870827362087
DXY.Curncy,0,0,0,0,-0.0157048971045216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0.0018742613358764,0,0,0,-0.00455501850802292,0,0,0,-0.00205141004495428,0,0,0,0.00222395823649485,0,0,0,0,0,0,-0.039547979166573
VIX.Index,0,0,0,0,-0.277141916324965,0,0.0445617487697074,0.168737922300241,0,0,-0.0143665729404817,0,0.0346960314812537,-0.0366731088180894,0,0,0,0,0,0
