,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,TRX,XLM,ADA,MIN,LEO,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-8.67361737988404e-19,0,0.162564015331401,0.179465536848,-8.67361737988404e-19,0.0267586130718437,0.0635530668929257,0,0,0.0041126184502802,0,0,0,0,0,0,0
ETH,0,0,0,0,0.456996376608855,0.0480624738034761,0.0523229178586301,0,0,0.0126440140635075,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.155934454469239,0.067679755664648,0,0.0238549365450094,0.110505218808302,0,0.103521901997507,0,0,0.00670779012230682,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.108556470580685,0,0.119019850189846,0,0.251192160031358,0,0,-0.00482302122219615,0,0,0,0,0,0,0
LTC,0,0,0,0.141369312665129,0,0.524301768677986,0,0.0177889246460955,0,0.0794521380520654,0,0.0704920641696961,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.544683494975731,0,0.024327359789701,0,0,0.14179363462782,0,0,0,0,0,0,0,0,0,0
BNB,0,0.0725587991484483,0,0.274716762947784,0.0760095781375543,0.0275929409137001,0,0,0.0256967278486271,0.0232432369860785,0.056093297046467,0.108799853069092,0,0,0.179909161476413,0,0,0,0,-0.0349259267192934
BSV,0.0346637392778578,0,0,0.251782652174829,0,0.135575768133003,0,0,0.0299594683250998,0,0,0.476281512454939,0,0,0,0,0,0,0,0
XTZ,0,0,0.302272506240747,0,0,0,0,0.265389433721429,0,0,0,0,0.0204419626386906,0,0,0,0,0,0,-0.0292598967610908
TRX,0,0,0,0.494071633467081,0,0.211167383147765,0,0,0,0,0,0.107418621848906,0.010491123958605,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0.00386189537980526,0.0484164869557906,0.0489385030334468,0,0.290263937192736,0,0.125044347412277,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.29543035882751,0.0578296065319647,0.107410259516604,0.00222484632622284,0.165233700990458,0.0982599936279866,0,0.0117349569447698,0,0,0,0,0,0,0
MIN,1.90672883411392,0,0,-2.2816166424945,0,0,0,0,0.487501125803766,1.1870763313882,1.68058863004015,-1.45837392999891,0,0,0,0.962288538474843,-2.03465745640551,0,0,-0.131068355626555
LEO,0.208751980405632,0,0,0,0,-0.0694532471246269,0,0,0.0389710128418913,0.0360896924219676,0,0,-0.00140943840757298,0,-0.0413176199927838,0,0,0,0,0
XMR,0,0,0,0.248758092272696,0,0.181404787585898,0.0587414578829484,0,0.0404723825357105,0.00518356574874918,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0766527952887896,0,0,0,0,-0.0382809543161266,0.035465234248262,0,0,0.00448458092562534,0,-0.0956363325937123,0,-0.0676517889631496,0,0,-0.0379005468326617
CVIX.Index,0,0,0,0,0,0,0,0.0346265439148135,0.00783460639389351,0,0,0,-0.00543213003222901,0,0.00174065449290814,-0.372901913332395,0,0,0,0
DXY.Curncy,0,0,0,0,0.00200131783181341,0,0,0.00487550115212609,0,0,0,0,0.00121165414085171,0,0,0.0479035032329898,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0.000624944606895106,0,0,-0.000291469540105256,0,0,0,0,0,0,-0.0404799001304453
VIX.Index,-0.136379573461738,0,0,0,0,0,0,-0.032548083144366,-0.0906869639585147,0.0319281943067917,0,0,0.0237577756669692,-0.584702891704712,0,-0.201223173795164,0,0,-0.64627610660985,0
