,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XEM,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.334969847581656,0,0.131490241602067,0,0,0,0,0,0,0.0675916210169524,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0360527490893301,0.126034972964718,0,0.00760506042622569,0,0,0.141273332621184,0,0.0648824277344724,0.126307783164579,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.163596411688872,0.0658097558345097,0,0,0.190219069915562,0,0.146109648055753,0.0602123554337734,0,0,0,0,0
BCH,0,0,0,0,0.133225669340104,0,0.0125320584246418,0,0,0,0.310803716088205,0,0.240188745264211,0,0.127220568100985,0,0,0,0,0
LTC,0.21790463205773,0,0,0,0,0,0,0,0.106033937078023,0,0,0,0,0.00166029440591679,0.188052098791621,0,0,0,0,0
ADA,0,0,0.0721782613204283,0,0,0,0,0.120801448339007,0.0684717324595336,0.105447941955031,0,0.104959578563639,0,0.0539676496819054,0,0,0,0,0,0
NEO,0,0.0726959322871885,0,0.0915685603217607,0,0,0,0.0872763224048135,0,0,0,0.160376378209061,0.201342253205737,0,0.169112505105817,0,0,0,0,0
XLM,0,0,0.151593743346739,0,0,0.344931457327965,0.0741393285221965,0,2.16840434497101e-19,0,0,0.0509252320114879,0.0518705017957278,0,0.047720365049738,0,0,0,0,0
EOS,0,0,0,0.0778421994739822,0,0.0488042269536913,0,0,0,0,0,0.119850137699728,0,0.0894104781948658,0.328043604752166,0,0,0,0,0
MIOTA,0,0,0.0690307575304437,0.023263575492081,0.263168306573588,0,0,0,0.198079733386637,0,0,0.10399561351936,0,0.0164481784318034,0.162626050323005,0,0,0,0,0
DASH,0,0,0.0072492438120329,0.119405500895075,0,0,8.67361737988404e-19,0,0.0567220914085482,0,0,0,0.175346252500139,0.10990635932014,0.122224742015897,0,0,0,0,0
XEM,0,0,0.00959253085189604,0.0278179876768863,0,0,0.0396181389853683,0.17220948132314,0.0538960743158541,0.139727711673457,0,0,0.0730290525493945,0.00645298504513655,0.0536459138804723,0,0,0,0,0
XMR,0,0,0,0.192212115472579,0,0,0.184680712770357,0.0206787115816675,0,0,0.167704249515277,0,0,0.0490027620353554,0.0726992173790066,0,0,0,0,0
TRX,0,0,0.212044333763494,0.371070640465428,0,0.0794290117128657,0,0,0.0859469402924399,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0851584247072848,0.214992227215756,0,0,0.0887877700444581,0,0.0377858428888638,0.0299811850970979,0,0,0.153167093911927,0.0319351336540981,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0,0,0.0257919654314329,-0.0357171794598076,0,0.00928850573169315,0,0,0,0,0,0.0177032772961383,0,-0.0254843012221729,0,0,0,0,0,0.0445574112907202
DXY.Curncy,0,0,0,0,0,-0.00730516170381673,0,0,0,0,-0.00384281374923872,0,0,0,0,0,0,0,0,0.0103029093014948
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054465122131703
VIX.Index,0,0,-0.0141791975197728,0.0511578917064782,0,0,0.00266476872391193,-0.0541303763296726,0,0,0,-8.67361737988404e-19,0.0242460752899005,-0.0163931881603273,0,-1.40109190661421,0,0,0,0
