,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.072199991906564,0.0586597040047127,0.0801568218898746,0.142059755041892,-0.0319610119239788,0,0.0462734010670794,0,0.0583356368614196,0,0,0,0,0
ETH,0,0,-0.0282872610836763,0,0,0.0376878427695122,0,0.512157006615203,0,0,0.101597304770291,0,0,0,0,0,0,0
XRP,0,0.0478424623136157,0,0,0,0,0,0,0,0,0.425383144928439,0,-0.0827211309492153,0,0,0,0,0
LTC,0,0,0,0,0.0646107967556393,0,-0.0845123570831015,0.100021886965319,0,0.0960592959353943,0.0824874158094172,0,-0.0275315996465875,0,0,0,0,0
ETC,0,0.376655656096371,-0.00218477815079091,0.0642911339266491,0,0.0827719329870153,0,0,0.0527625594957216,0,0,0,0,0,0,0,0,0
DASH,0,0,-0.135073939558604,0.0380184274407108,0,0,0.0871870273327011,0,0.0871599693517722,0,0,0,0,0,0,0,0,0
XEM,0,0,1.73472347597681e-18,0,0,0,0,0.0789365794783193,0.0966137507651668,-0.293188428645287,0.119162660577854,0.124339557138625,0.254216957222899,0,0,0,0,0
XMR,0,0.391672062909272,0,0,0,0,0.0164895703785672,0,0.108940433470243,0,-0.0642687565160717,0,0.00800181733720756,0,0,0,0,0
ZEC,0,0,0,-0.0627264611138637,0,0.207889445635865,0.0800546202259182,0.0986411121460126,0,0.200808262958722,0,0,0,0,0,0,0,-0.0663552753528313
DOGE,0,0.142935271946835,0.174008450378197,0.112911815146333,0.124917736134315,0,-0.0352798980584658,0,0.205535064334302,0,0,0,0.0668866417209521,0,0,0,0,0
XLM,0,0.106614245849095,0.404202106084581,0.137870456225453,0,0,0,0,0,0.130388968623724,0,0,0.0613341212118587,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.281879847678843,0.0254494210929808,-0.111356866348197,-0.0499415837691379,0,0.0676126184489625,0.0779994796947095,0,0,0,0.235031693441978,0.0535462492676206,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.00791710235244373,-0.0149855480277728,-1.35525271560688e-20,0,0,-0.0266960335823435,0,0,0,0.0146407916509842,0,0,0,0,-0.0879784140114485
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0159799919433363,0,0.000869357160212841,0,0.00890157190123383,-0.00647325371135572,-0.00116803457829971,0,-0.000992835998451633,0,0,0,0.00437667362460715,0.0911796820964331,0.0161006735546323,0,0,0.0272572917182084
SPX.Index,0.00840377470141,0,0.00046934963140774,0.00521065431248681,-0.00276089093833016,-0.00268553119522902,0,0.00771299824384059,0,0,0,-0.00108976989733248,0,0,0,0,0,-0.0257106774162821
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
