,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.112717106345045,0,0.109271166418305,0,0,0,0.0866016177854341,0.143386185794919,0.0300130142622752,0.0740570165450387,0.0422553772950545,0,0,0,0,0,0
ETH,0,0,0,0.129979918387213,0,0,0.0987005151081363,0,0,0,0.0483227500689136,0.0643629991647368,0.0205807961573813,0,0.122462772523751,0,0,0,0,0
XRP,0,0,0,0.0466461714657158,0,0.148411692723567,0,0,0.0212777333898055,0,0.0133298787728372,0.159273815886407,0,0.0431645503702426,0.0580544842824499,0,0,0,0,0
BCH,0,0,0,0,0,0.0983477596509069,0,0.0958484210900691,0.026376732064235,0.095733451181075,1.73472347597681e-18,0.0342866939121801,0.205463701889694,0,0,0,0,0,0,0
LTC,0,0,0,0.103107236351291,0,0.0308583011748584,0.0349726216478186,0,0.0451499231497716,0,0.137181877296062,0,0,0.0341910424401398,0.221568653305866,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0790596956281356,0,0,0.0496885714281907,0.104614409323889,0,0,0.112155016069045,0.285759514228021,0,0,0,0,0
ADA,0,0,0,0,0,0.116401005507452,0,0.126319864606827,0.0621661190762795,0,0.0800461975455388,0,0,0.15671986798477,0,0,0,0,0,0
XLM,0,0,0.224006003808838,0,0,0,0.214795137817481,0,0,0,0,0.116292616710982,0.104273957518086,0.0643257752221228,0.08716541796107,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0278387288998812,0,0,0.183881517824971,0.150342580489207,0.0158507471312893,0,0,0.198002639193748,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0245874542579882,0,0,0.111826823170543,0,0.158137005227827,0.192031476193911,0,0.0659820486569005,0.178154814459104,0,0,0,0,0
XMR,0,0,0,0,0,0.0499755637566053,0,0,0.152524529193399,0.0348021521584379,0,0.0865537626520835,0.371589728813044,0,0,0,0,0,0,0
TRX,0,0,0,0.0775536850745194,0,0.187850296559248,0,0,0.011006493459186,0.391175673337961,0,0,0.0478792755755768,0.132442121115484,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0101912384571139,0.0688450024597265,0.142937202024853,0.0245510296978916,0,0.116178136369765,0.139173137866949,0,0.0475829095709118,0.012259801522959,0,0,0,0,0
XEM,0,0,0,0,0,0,0.138655300831117,0.285051755783128,0,0,0,0.281788247408237,0,0,0.0759740241589317,0,0,0,0,0
ETC,0,0,0,0,0,0.21861250778404,0,0.0177983102690817,0.179253611660382,0.132343804949745,0,0.121472840583778,0,0.0680543855828353,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199346638389839
CVIX.Index,0,0,0,0,-1.73472347597681e-18,-0.0311209951640498,0.0567085581392662,0,0,0.0251843358148898,-0.0369405102437994,0,0,0,0,0,0,0,0,0.0313407281512839
DXY.Curncy,0,0,0,0,0,0,0,-0.00388507253781469,0,0,0,-0.014127945444925,0,-0.00258576985370043,0.00856102631603551,0,0,0,0,0.0116203845956041
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,-0.0107078442160835,0,0,0,0,0,0,0,-0.0625256917299581
VIX.Index,0,0,0,0,0,0,0,0,0.185131385338111,0,0,0.00340967012375867,0,0.0651169416001231,0,-0.261083339836381,0,0,-4.43112805961163,0
