,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.106100511974424,0.0424483208563556,0,0,0,0,0,0,0.0426763323862309,0.327371406410379,0,0,0,0,0,0,0
XRP,0,0,0,0.100606497669239,0.163954019588008,0.134591920403432,0,0,0,0.0266448187016287,0,0,0,0.0340275139395828,0,0,0,0,0,0
ETH,0,0,0,0.158997618797608,0.115156528533542,0,0,0,0.00104072722915284,0.0627665013761782,0.0752791573666017,0,0,0.193354204613568,0,0,0,0,0,0
BCH,0,0,0,0,0.235086363508276,0.219604512983909,0,0,0.0477528213918024,0.362768517382279,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.001489663986649,0,0,0,0.198180497777933,0,0,0.485916759790163,0,0,0,0.138790896299552,0,0,0,0,0,0
XLM,0,0,0,0.20372211450418,0.236860447789456,0,0,0,0,0,0.0274841343357111,0.0921120138207344,0,0.0332457021347797,0,0,0,0,0,0
LTC,0,0,0.1717010487732,0.0662762998468183,0.163226307481959,0,0,0,0.0116065480436217,0,0.0260857044355238,-1.73472347597681e-18,0.103028487999593,0.0239709371203849,0,0,0,0,0,0
TRX,0,0,0.189826576227298,0.0247541471351663,0,0,0.105386918538419,0,0,0.429343498420302,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.680152783760154,0,0,0,0,0,0,0,0.0183348972749641,0,0,0,0,0,0,0,-0.0825493768741031
ADA,0,0,0,0.162433360826271,0.276556534933042,0,0,0.162976190628929,0,0,0.00356450863878305,0,0.200730171519635,0,0,0,0,0,0,0
MIOTA,0,0,0.0361403759110181,0.195358515319206,0.124428594528122,0,0,0,0.0327294463929284,0,0,0,0.191204737153013,0.105267920546368,0,0,0,0,0,0
BNB,0,0,0.0483778481643401,0.00326709193068252,0.0981415012240796,0,0.198839880085124,0,0.00827073374071265,0.254655241838335,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0.170854383484488,0.0439706729507205,0,0,0.0436792493357369,0,0,0.196168337016872,0,0,0,0.234237728893673,0,0,0,0,0,0
DASH,0,0,0.155156874674934,1.73472347597681e-18,0.124905569138498,0,0,0,0.00840100987303533,0,0,0,0.425523546027289,0,0,0,0,0,0,0
XEM,0,0,0,0.098219884550448,0,0,0,0.0215319852230708,0,0.266647064459319,0,0,0.127703443617125,0.0568961269343935,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0514236171295907,0,0,0,0,0,0,0.0222721233277103,0.0463266781541169,0,0,0.0392485826162667,0,0,0,0,-0.0760273878335241
CVIX.Index,0,0,0.0911918287771034,0.0284994422643863,-0.0503334911503134,0.0185061149934277,0,0,0.0095979634918075,0,0.0262975147036041,-0.0887830782755386,-0.0832282156536494,0.0269306010421945,0,0,0,0,0,0.0761146841205151
DXY.Curncy,0,0,0,0,0,0,0,-0.0299767892853947,0.00420245979789251,0.00860796273595004,0,0,0,0.00549680330265762,0.0053963499554049,0,0,0,0,-0.00899486969539275
SPX.Index,0,0,0,-0.00237971036500348,0,0,0,0,0,0,0.00524460717829828,0,0,-0.00961496377325083,0,0.040287885968968,0,0,0,-0.127394838056605
VIX.Index,0,0,0,0,0.108823822150186,0,0,0.173155962700218,0,0,0.0784752926653257,0.0211043279876461,-0.379032648912854,0,0,-0.513516997095287,0,0,-2.86254922084446,0
