,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0.0239190691579926,0,0,0,0.0152178349553925,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.111576547590762,0.391459544397936,0,0,0,-0.0830389912834802,0,0,0,0,0
ETH,0,0,0,-4.33680868994202e-19,0,0,0.0824814642249788,0.190711469103875,-0.0529864411609735,0.0367725006841806,-0.0972343433066525,0,0.0153552186037924,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.128741559259159,0,0,0,0,0,0,0,0,0
XEM,0,0,0,-0.0129986941889539,0,0,0,0,0.0531744869894899,-0.237489966136531,0.119745127047266,0.0857531199356197,0.197455305024998,0,0,0,0,0
DASH,0,-0.098214133117774,0,0,0.0305886673915735,0,0,0,0.03919702600937,0,0.106014515336044,0,0.062288759137119,0,0,0,0,0
ETC,0,-0.0111403264574534,0.298415476758612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,-0.0202818772954766,0.38148142711765,0,0,0.0974529735860255,0,0,0.0554122999707413,-0.0456248055432052,0.0754198838919327,0.0106308499477975,0,0,0.0751417516546075,0,0,0
XLM,0,0.387400049542933,0,0.0620503601511603,0,0,0.147621312012668,0,0,0.263574621464489,0,0,0.0784747124214279,0,0,0,0,0
DOGE,0,0.159601832186006,0,0.17434882125786,0,0,0,0,0.142098728582385,0,0.0974596103063999,0,0.153375710239577,0,0,0,0,0
ZEC,0,0,0,-0.0563084613296217,0.126843130621543,0.167618134184204,0,0.0545527295954766,0,0.176676725666301,0,0,0,0,0,0,0,0
NEO,-0.343080435408039,5.42101086242752e-20,-0.0526006421151374,0.00156267197613586,0,0.070963698088251,0,0,0.0275571737628336,0,0.345403388572313,0,0.0577290292805512,0,0,0,0,0
DGB,0,-0.0462546028743876,0,0,0.034103430449969,0,0,0,0,0,0,0.146059515236352,0,0,0,0,0,0
BV010082.Index,0.0297306951254178,-0.007554318401594,0.00450542093403331,-0.0124723389458905,0,-0.00421587355355903,-0.0308830424449247,0,0.0127462788817931,0,-0.0111227892090163,0,0.0163880816549566,0,0,0,0,-0.0939571452286777
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.00218817156304718,0.00113166036146061,0,0,0,-0.00145558595503073,0.00763213013205525,-0.000740777634479315,-0.00174138161821846,0.00295161644247514,-0.000327984848937693,-0.0091861167893489,0,0.053107440861959,0.0162874725355018,0,0,0.0252050953810589
SPX.Index,0,0.000649678545145966,0,0,0,0,0,0.0020235447126843,0.000693682545634434,0,0,-0.00176581666413221,0.00230023925616827,0,0,0,0,-0.0247893219087319
VIX.Index,0,-0.0128635728434187,0,-0.0217553160482994,0,0,0.0813132236222329,0,0,0.112985072729638,0,0,0,0,0,0,0,0
