,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.079091248888425,0,0,0,0.0689324370637968,0.03702992377763,0.112537181828564,0,0,0.00994382597842044,0.0604769199156396,0.0369421878365336,0,0,0,0,0
ETH,0,0,0.231566284111133,0,0,0.102337516451524,0,0,0,0.138287970133889,0.0577894036523983,0,0.0324400996537059,0.0434433826689918,0,0,0,0,0,0
XRP,0,0.072592950299459,0,0,0.0760853420815684,0,0.0594300962706011,0.145687199719692,0,0.0762405085443878,0,0.0179931035347171,0,0.265848294040139,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0745999083702027,0.125277506209793,0,0.246432243185122,0.163314674602417,0,0,0,0,0,0,0,0,0
EOS,0,0,0.273916131213883,0.273224735247157,0,0,0.0328667594830535,0,0,-0.184534915587916,0.194854584885505,0,0,0,0,0,0,0,0,-0.148145119903079
LTC,0,0.107263727700641,0,0.0961764260691912,0,0,0.0867832326823661,0,0,0.0476121245192682,0.126322741123344,0.0314904422044303,0,0.147621066783742,0,0,0,0,0,0
ADA,0,0,0,0,0.0431569185788917,0,0,0.434300766544643,0,0.12751250032407,0.0350424093208183,0,0,0.00763241766692613,0,0,0,0,0,0
XLM,0,0,0,0.0531911922612943,0,0,0.102380282622351,0,0,0.069774407888569,0,0,0,0.35470449688692,0,0,0,0,0,0
TRX,0,0,0,0.164148516848614,0.0531702183428966,0,0,0.393647518269924,0,0,0,0,0,0,0.116539330058796,0,0,0,0,-1.0842021724855e-19
MIOTA,0,0,0,0.363398239278142,0,0,0.100332586898273,0,0.0243016578592679,0,0.0344083837633031,0,0.0384738285272649,0.316580848130817,0,0,0,0,0,0
NEO,0,0,0,0,0.0275447167568772,2.16840434497101e-19,0,0.25167689775545,0,0.136209059495537,0,0,0.12546598287084,0.102951917051231,0.0401885826510697,0,0,0,0,0
XMR,0,0,0,0.1058766167051,0.0416526657943134,0,0.0142302327833662,0.214060422898093,0,0,0,0,0,0.109475453881165,0.0692228123909316,0,0,0,0,0
DASH,0,0,0,0.104090552019173,0,0,0,0.233687373912092,0.0626762315037707,0.159435195263875,0.0368476967800566,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0284425390019391,0.0643702501363405,0,0,0.0272007816715395,0.295062353400733,0.0196712602259828,0.0989550637895023,0.0580101204877239,0,0,0,0.176996839497149,0,0,0,0,0
ETC,0,0,0.12863181360676,0,0.0964435761822283,0.104413222205031,0.0583715203028135,0,0.0114802316727867,0.0673406142809798,0.0295115456691194,0,0.0749444806180944,0.168432914617955,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238290035459676
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221015429766032
DXY.Curncy,0,0,0,0,0,0,0,0,0,0.00393318666954157,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.00920800688998229,0,0,0,0,0,0,0,0,0,0,0,0,-0.112506707970325
VIX.Index,0,0,0,0,-0.0759435180418735,0,-0.100133040030475,-0.183191477109478,0.026576395420902,0.0147527104297585,0.233500085656007,0,0.122917745040261,0,0,0,0,0,-4.07757570441561,0
