,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.046879858483026,0,0,0,0,0.0709723984215764,0.0180931491923552,0,0,0,0.222098242123376,0.0896080865001254,0,0,0,0,0
ETH,0,0,0,0.115053316924089,0.0423990223683619,0,0,0.0231531695408254,0.139473077985872,0.0556158080170124,0,0,0,0.0884599681062594,0,0,0,0,0,0
XRP,0,0,0,0.00909479334361666,0.0609320316291548,0,0.0375385022139648,0.0867596377062351,0.0701033202950174,0,0.0116737187196806,0.055399777232116,0,0.359078766114396,0,0,0,0,0,0
BCH,0,0,0.0204807379915925,0,0.0200469026932085,0,0.148000857320967,0,0.174422102396607,0,0.138199077515634,0.11746733992275,0,0.0667870190156659,0,0,0,0,0,0
EOS,0,0,0,0.234854774222891,0,0,0.0819849572245708,0,0,0.036068006122728,0.313349509277666,0,0,0,0.199959790283858,0,0,0,0,0
LTC,0,0,0,0.239443214886568,0,0,0,0.0509276632878392,0.0876258106781531,0,0.0645152826755058,0,0,0.0583221014548471,0,0,0,0,0,0
ADA,0,0.00246797775182017,0.0707312491911907,0.0972662685307163,0.132053770311687,0,0,0.293272651243798,0.146051855483455,0,0.00381560727563462,0,0,0,0,0,0,0,0,0
XLM,0,0,0.113362905045659,0.0939955803906332,0.145651350786082,0,0.103437615330862,0,0.0810159302127277,0,0,0,0,0.151214465666414,0,0,0,0,0,0
MIOTA,0,0,0.163977136703738,0,0,0,0.13867399232065,0.296136553829843,0,0,0.0234452509913322,0,0,0.277597177606573,0,0,0,0,0,0
TRX,0,0,0,0.188453457497383,3.46944695195361e-18,0,0,0.381152307385036,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0546979694740183,0,0.134669320226627,0,0,0.122163744013606,0.0715233471521248,0,0,0,0.0305399678062494,0.333884593150893,0,0,0,0,0,0
XMR,0,0,0.199827229613,0.0207849413526075,0,0,0.0763114141007315,0,0,0.0182206452042938,0,0,0.321477685006491,0.157035187667188,0,0,0,0,0,0
DASH,0,0,0,0.112704266463586,0,0,0,0.199727030024612,0.142685533835528,0.0504799807013311,0.0291637805608632,0.0246844139345616,0,0.0180793851433023,0,0,0,0,0,0
XEM,0,0.339088819003394,0.0362776816889809,0.0285737069824521,1.73472347597681e-18,0,0.0586879735552807,0.176838234542773,0,0.0565433930594351,0.0875282490279825,0,0,0,0,0,0,0,0,0
BNB,0,0.267464230777482,0,0.0503998863318541,0.0785870922470836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-6.30698533468614e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0950067464550714
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0.00179203251487377,0,0,0.00384402665785097,0,0,0.00316520842914437,0,0,0,0,0,0,0.0279937900855199,0,0,0.00260526391983397
SPX.Index,0,0,0,0,0,0,-0.00688496442282235,0,0,0,0,0,0,0,0,0,0,0,0,-0.102370825355055
VIX.Index,0,0,0,-0.0900003046361311,-0.136264347314945,0,0,-0.200010204106001,0.155047947155733,0,0.231371479361837,0,0,0,-0.0717068881377395,-1.29046223399308,0,0,0,0
