,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.244547817148841,0,0.0933684999690015,0,0,0.0621171193331128,0,0,0.0367449310289713,0.0387083958031454,0,0.0269361197169383,0,0,0,0,0
ETH,0,0,0,0.0600357694472359,0,0.112729479196434,0,0,0,0,0,0,0.171089388650656,0.123362504365789,0.0602395229661356,0,0,0,0,0
XRP,0,0,0,0,0,0,0.098730334900822,0.108545741366804,0,0,0,0,0.234442507743465,0.101932262198032,0.127199268957331,0,0,0,0,0
BCH,0,0,0.0054753233655205,0,0.171177334180962,0.10572219588884,0,0,0,0,0.0515111800736878,0.110386808442556,0,0.201681174593735,0,0,0,0,0,0
LTC,0,0,0.00830802680750826,0.235626455209161,0,0,0,0,0.114270889503972,0,0,0,0,0.144084447502455,0.0259195553302838,0,0,0,0,0
NEO,0,0.0774634189126771,0,0.104987997339066,0,0,0.101852219018396,0.108570616526671,0,0,0,0,0.16581243626755,0.163220779431371,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.125305765354706,0.0549056766454273,0,0,0,0.144552898488218,0,0.1230947710466,0,0,0,0,0
XLM,0,0,0.292796136528776,0,0,0.100932060313172,0.300718960310224,0,0.0206899680434803,0,0,0.141063496839747,0,0,0,0,0,0,0,0
EOS,0,0,0,0.108898716691382,0,0,0.0568877815843593,0,0,0,0,0.161797308229636,0.069638270838992,0.215535265107027,0.08789490433467,0,0,0,0,0
MIOTA,0,0,0.0203834153754144,0.128842910054171,0,0,0,0,0.0675399985686077,0,0.17536619863364,0,0.14646396007296,0.189560298202608,0.0272518302020745,0,0,0,0,0
DASH,0,0,0.0674873627945581,0.0646687136332841,0,0,0,0,0.0975730421267706,0,0,0.226387737978816,0,0.0586191186087475,0.0957909495156303,0,0,0,0,0
XMR,0,0,0,0.098448295526326,0,0.0834332571018496,0,0,0,0.155217363808986,0.235127918853769,0,0.0547581852784172,0.170433164072549,0.0100965606014367,0,0,0,0,0
XEM,0,0,0.064749159178612,0,0,0.0388648889136851,0,0.182937302505649,0.0193492097701964,0,0,0.236980188559133,0,6.93889390390723e-18,0.0136786732550915,0,0,0,0,0
ETC,0,0,0.0914140420344795,0.121796873856026,0,0.0680141057606532,0,0,0.0858097010743106,0,0,0.234303675250937,0,0,0.0695046963109735,0,0,0,0,0
TRX,0,0,0.429905176324605,0,0,0,0,0,0.15416087151955,0,0.223902488812142,0,0.181228998314607,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0,0,0.0279286627369136,-0.0530185834018185,0.0536621103994222,0.0311179162832598,0,0,0,0.0287874493266469,0,-0.0324680683080421,0.0189870701442635,-0.057674610502273,-0.0187680990121099,0,0,0,0,0.0431253450254617
DXY.Curncy,0,0,0,0,0,0,-0.00856567457917472,0,-0.00597513064410998,0,0,0,0,0.00302063454525222,0,0,0,0,0,0.0100803020618228
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651130347073
VIX.Index,0,0,-0.0798915416938477,0,0.0193089443346077,0.0719543462188946,0,0,-0.00771955078031721,0,0,0.0726589215031425,0,0,-0.00998582790511203,-1.38586523090206,0.643313237482189,0,-0.797748002161257,0
