,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.175885826769489,-0.0323011908432713,0.0271853646292654,-0.0135285002349723,0,0,0,0.00233786573436396,0,-0.00383902169786769,0,0,0,0,0.00157419186234276
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.201523906070095,-0.0447699629151164,-0.0313448141108044,0,0,0,0,0,-0.096365065358299
LTC,0.482848617834252,0,0,0,-0.00544185075299498,0,0,-0.0139635860976937,0,-0.0125655715214925,-0.000895359367727552,-0.00256762622894117,-0.0152800846760234,0,9.68191414681622e-05,0,0,-0.00283694886067698
XMR,-0.618792885875033,0,0,-0.151404232415167,0,0.0792911032645969,0.0968496285585899,0.292263658960255,0,0.0905121633966213,-0.0824035960662996,-0.014683146647759,0,0,0,0,0,0
ETC,0,0.126752074579502,0.103191354180394,0,0.044692084580554,0,0,0,0,0.00174906689915579,0,-0.00827806705783405,0,0,0,0,0,-0.119838929775062
DASH,0,0,0,0,0.0744422638729688,0,0,0.0416916921953938,0,0.0586995957462971,-0.040868472694705,-0.0292209493274534,0,0,0,0,0,0
XEM,0,0.00169096508461376,0.162614343454553,0,0.109977457987717,0.154049559622481,0,0,0,-0.0244265436581943,0,-0.0199772611948057,0,0,-0.263173896461557,0,0,0
DOGE,0,0,0,0,-0.0382857300594051,0,0,0,0,0.0399163592625447,0.00990547769487029,-0.00884780801018947,-0.0241451187500422,0,0,0,0,0.0159848495039654
XLM,0,0,0.129632882950634,0,0.142036584535143,0.16209058448387,0,-0.044544888548934,0,0,0.0156714412382758,-0.0169013346607963,0.0813549316990461,0,0,0,0,0
NEO,0,0,-0.634837527308104,0,-0.316680434398155,-0.352330648592621,-0.606137420477086,0,0.865012205946698,0,0,-0.0464996493327903,-0.626467002965286,0,-0.241262161768104,0,0,0
ZEC,0,0,0,0,-0.29202150757646,0,-0.896025174770654,-0.67584981047472,0,0,0,0,0,0,-0.436023245970669,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0.0508923691951204,-0.0684940407590521,0.00346780943224066,0,0,0,0,0,0
BV010082.Index,0,0.00489177646115803,-0.0847615938304413,0,0,0,0.0398728737297618,0,0,0,0.0134251155962759,0.00347560884630439,0.0105193939625604,0,0,0,0,-0.0836694164628987
CVIX.Index,0,0,0,0,0,0,0,-0.0817326681617065,0,0.0269389477753235,0.00945473520982,-0.00842760486165737,0,0,0,0,0,0.111911794890159
DXY.Curncy,0,0,0,0,0,0,0,0,0,0.000735472205666991,0.00122975273975164,-5.83359541743489e-05,0,0.0241573683351255,0,0,0,-0.012849418313174
SPX.Index,0,0,0,0.0374244214758251,0,0,0,0,0,0.0106322490684666,0.00123293461172427,0.000989587564882935,-0.0141496288608399,0,0,0,0,-0.0480436648986426
VIX.Index,0,0,0,0,-0.00861231595165451,-0.0364447689593448,0,0.143731619395487,0,-0.142469914017691,0.0547724252653359,-0.0230346104992584,-0.0416293468899397,-1.17293773869452,0.625515287070796,0,-0.566097290904388,0
