,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.042002978147474,0.0933395410501022,0,0.0815546171249849,0,0,0,0,0,0.201218067293134,0.119824625309375,0,0,0,0,0,0
XRP,0,0,0,0.0818954071622064,0.157730415563019,0.0865763999989245,0,0,0,0.0475121370633617,0,0.0112113445083803,0,0.0686166195910422,0,0,0,0,0,0
ETH,0,0,0,0.122629887193948,0.121289015999281,0,0.0803263136028036,0,0,0.0800844807359295,0,0.0274762674945485,0,0.223431897967119,0,0,0,0,0,0
BCH,0,0,0,0,0.288350042597071,0.221910277520563,0,0,0.0973190260230829,0.122083825529669,0,0,0.0873540633466646,0,0.125946522521286,0,0,0,0,0
EOS,0,0,0,0,0,0,0.17215177774741,0,0,0.490134264315498,0,0,0,0.148301560790396,0,0,0,0,0,0
XLM,0,0,0.0516812971608465,0.103954626294907,0.237984729214467,0,0,0,0,0,0.0424899244742751,0,0.186997931776853,0.0403738265705711,0,0,0,0,0,0
LTC,0,0,0.247878278839911,0.0507196380958685,0.143220288710595,0,0,0,0.0173292680730374,0,0,0.0836830921494474,0,0.103457849827165,0,0,0,0,0,0
TRX,0,0,0.188728037642518,0.0955174498138552,0,0,0,0,0,0.395521301244978,0,0,0,0,0,0,0,0,0,0.0357539536433634
BSV,0,0,0,0.320350636363417,0,0,0,0,0,0.20119990907758,0,0,0,0.092067664642459,0,0,0,0,0,0
ADA,0,0,0.1962459748165,0.092484744876003,0.337646843610551,0,0,0.154401039415032,0,0,0,0,0.0926226820988014,0,0,0,0,0,0,0
BNB,0,0,0,0,0.288577561249578,0.060960112045321,0.21387480970468,0.07886084460739,0,0,0,0,0,0.0201425918126668,0,0,0,0,0,0
MIOTA,0,0,0,0,0.23449128285039,0,0.0189911231414509,0,0,0,0,0,0.190299821369197,0.153368238387817,0,0,0,0,0,0
XMR,0,0,0.0945003164129575,0.0719296198274024,0.0187656177776388,0,0.0706193760211889,0,0,0.137181412262549,0,0,0,0.23331824315716,0,0,0,0,0,0
DASH,0,0,0,0.00177106832954727,0.207082483338234,0,0.0914421410820929,0,0,0.114037616661375,0,0,0.352959297667668,0,0,0,0,0,0,0
XEM,0,0,0,0.177393627768633,0,0.0421874653952728,0,0,0,0.132193388997689,0,0,0.116816758367554,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.060318860992455,-0.0506410860895919,0,-0.0617352510438006,0.0646296060126832,0,0.0181299336656351,0,0.0680814133766679,0.0310312685949857,0,0,0.0686937707107391,0,-0.028912766096416,0,0,-0.0756311879047156
CVIX.Index,0,0,0,0.0554588046089872,-0.0173325916948372,0.066699657436409,0,0,0.0106033660844916,0,-0.11072279284714,0.0417261515226135,-0.0924248523546748,0,0,0,0,0,0,0.0574254342599867
DXY.Curncy,0,0,0,0,0.00739502962177574,0,0,-0.0255795393723516,0.00216922452357231,0,0,-0.00619236687897757,0,0.0126014805430872,0,0,0,0,0,-0.00717063028363874
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133983012086905
VIX.Index,0,0,0,0,0,0,0,0.188330105553354,0.0555773174182657,0,0,0.0913901241023633,-0.293186050380585,0,0,-0.511920460651051,0,0,-2.80663200261092,0
