,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,LINK,ADA,XLM,LEO,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0223158021606192,0.0398594242701649,0.150471609222106,0.0425989716061284,0,0,-9.30446577121601e-05,0,0,0,0,0.0734523074478251,0,0,0,0,0
ETH,0,0,0,0.177560953848018,0,0,0.135084803746928,0,0,-0.000963232760284429,0,0,0.0164385554214956,0,0.221314883801541,0,0,0,0,0
XRP,0,0,0,0.153424293510499,0,0.0746076653695603,0.0757744275412287,0,0,9.52542756333616e-05,0,0,0,0,0.238049526693001,0,0,0,0,0
BCH,0,0,0,0,0.250275537864344,0,0,0,0,0.00160309797430905,0,0,0,0,0.132928629722934,0,0,0,0,0
BSV,0,0,0,0.624478770281028,0,0,0.296737132856316,0,0,-0.0140918382745888,0,0,0,0,0,0,0,0,0,-0.0259979093329593
LTC,0,0,0,0.307284624181584,0,0,0.173532063499953,0,0,-0.00115683303638732,0,0,0,0,0.111504532344013,0,0,0,0,0
EOS,0,0,0,0.161866030516331,0.13972875935778,0.107088684346461,0,0,0,0.00281099168078761,0,0.171795185295939,0,0,0.107080230398016,0,0,0,0,0
BNB,0,0.1219139982826,0,0.185401292275173,0,0,0,0,0,-0.00112180634034729,0,0.0113770105990414,0,0,0.23878747328482,0,0,0,0,-0.00358180684251334
XTZ,0,0.0463808124214649,0,0,0,0,0.0988051685502774,0.265577315871814,0,-0.0058637336806551,0.170612700875213,0,0,0,0,0,0,0,0,-0.00738908354326258
INNBCL,0,0,0,0,-1.11022302462516e-16,0,0,0,-4.2342054298739,0,-0.101210519291431,-4.31347370211001,0,0,0,0,0,0,0,-2.07477147167294
LINK,0,0,0,0,0,0.136681552120033,0,0,0.251278881076601,-0.00590168367533006,0,0,0,0,0.256071268889347,0,0,0,0,-0.0104192322504502
ADA,0,0,0,0.0450765045956116,0,0.216621205354618,0.209054197586365,0,0.0224139120317025,-0.000650527693730491,0.0331595114031047,0,0,0,0.194535991011273,0,0,0,0,0
XLM,0,0,0.0757963219885782,0.0519277014491324,0,0,-6.93889390390723e-18,0,0.156381656743035,0.00468848910992957,0,0.119387625345462,0,0,0.229531083566462,0,0,0,0,-0.00421905110350236
LEO,0,-0.0331507719933714,0,0,0.00359068007531251,-0.122891770046367,0,0.261472001214728,0.00811608783200535,0.00414714547726499,0.0957235614032255,0,0,0,0,-0.00515312973384974,0.034366847375542,0,0,0
TRX,0,0,0,0.218042370393946,0,0.0610239677467329,0.28127230288293,0,0,-0.00314556892285867,0,0.0788450451002842,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.00200101677655059,0,0,0.0375700005821036,0,0,0,-0.129842487509052,0,0,-0.130690665548567
CVIX.Index,0,0,0,0,0,0,0,0,0,-0.00286170556817997,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,7.0733020986346e-05,0,0,0,-0.000498385097781656,0,0,0,0,0,0,0.0195674646189366,-0.0283529849384484,0,0,-0.00506608103139927
SPX.Index,0,0,0,0,0.00157724161078995,0,0,0,0,-0.000191137686218241,0,0,0,0,0,0.0333686392137653,0,0,0,-0.090920881064941
VIX.Index,0,0,0,0,0,0,0,0,0,-0.00387307092324038,0,0,-0.0089678942779856,0,0,0,0,0,-3.68874827487598,0
