,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.164268549460014,0,0.071279921182437,0.0256019957910495,0,0,0.149645168633287,0.0516106158415829,0,0.0536567234224267,0.0518752074418208,0,0,0,0,0,0
ETH,0,0,0,0.220437317216651,0,0,0.133986668394506,0,0,0.0754440455949703,0,0,0.0195201551034064,0,0.055084813654675,0,0,0,0,0
XRP,0,0,0,0,0,0.131703824316788,0,0,0.00802555096536427,0.0360917102948207,0,0,0.160769942536968,0.0450633572039381,0.073617558792507,0,0,0,0,0
BCH,0,0,0,0,0,0.118990398971918,0,0.0544097311932226,0,0,0.179079702430003,0.167156217832897,0.0213815970130624,0.0146748722771875,-8.67361737988404e-19,0,0,0,0,0
LTC,0.0165464029823902,0,0,0.205296732047929,0,0,0,0.0859418671253543,0,0.0945086429868887,0,0,0,0.0691412651830108,0.134123140010423,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0790596956281356,0,0,0.104614409323889,0.0496885714281908,0,0,0.112155016069045,0.285759514228021,0,0,0,0,0
ADA,0,0,0,0,0,0.10262510949085,0,0.118161495528705,0.0704240980607433,0.0561682537652021,0,0,1.73472347597681e-18,0.206389678582135,0,0,0,0,0,0
XLM,0,0,0.377068862834462,0,0,0,0,0,0,0.111160646810222,0,0,0.129055845022174,0.152126583177418,0.0102170997855175,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0560877217598517,0,0,0.119664825579775,0.254921906908456,0,0.00254378176205509,0.0144257932077742,0.216669353856759,0,0,0,0,0
XMR,0,0,0,0,0.171913148346369,0.0730234584905358,0,0.0396982793017522,0.121800512547127,0,0,0,0.170091166873841,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0958133848822964,0,0.0480106445387394,0.146906556322226,0.139927330284695,0,0,0.196790515559856,0,0.125364546468065,0,0,0,0,0
DASH,0,0,0,0,0,0,0.101161246372438,0.0909373535147595,0.0151104711043702,0.115164491658143,0,0,0.142268452920273,0.0409551542659785,0.0391427173329572,0,0,0,0,0
TRX,0,0,0,0.254142081087606,0,0.223723432058994,0,0,0,0,0.345220296783316,0.00352370520468345,0,0.0671934848157228,0.0349048777348767,0,0,0,0,0.107311712135491
XEM,0,0,0,0,0,0,0.154048416506473,0.271132104415422,0,0,0,0,0.272057981130149,0,0.0833583468260547,0,0,0,0,0
ETC,0,0,0,0,0,0.213468751820212,0,0.0302775521289653,0.120484924820685,0,0.0573371435253232,0,0.137457670484429,0.0387187412835624,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299416953753248,0,0,0,0,0,0,-0.0258440638388827
CVIX.Index,0,0,0,0,0.0110444828062391,-0.0309756294642416,0.0495346025622829,0,0,-0.0557157888614129,0.0335654890630604,0,0,0,0,0,0,0,0,0.0330328389996351
DXY.Curncy,0,0,0.0168721747311405,-0.0068409690035623,-0.0170769993446265,0.00622783280591004,0.000717821396768164,-0.0276486667767826,0,-0.00731021942663897,0,0.0329865012918123,-0.0137799896881419,-0.00306097772885549,0.00980912185814981,0,0,0,0,0.00846857060577686
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105281172742473,0,0,0,0,0,0,-0.0641286702042624
VIX.Index,0,-0.120207174035062,0,0,0,0.0389652117708439,0,0,0,0.129237066089411,0,0,0,0.128731615820126,-0.060153550595401,0,0,0,-4.94956249167012,0
