,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.40388371300231,0.119485458348249,0,0,-0.0524855876747794,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0741744026206443,-0.0422751411746438,0.167937757625827,0.0354478851137272,-0.117435148564363,0.00231887154718264,0,0,0,0,0,0
LTC,0,-0.0331630574487502,0,0,-0.0847544875216799,0.23397090969952,0.180652304463241,0.0128804509295565,0.107226954370228,0.310155373023429,0,-0.00643216010541584,0,0,0.00971189619600663,0,0,-0.173613535048944
XEM,0,-0.076590965668761,-0.0979117988968743,-0.039683024098666,0,0,0,0.0669932713429364,0.153601573643093,0,0.0694167677469681,0,0.183798112027182,0,0,0,0,-0.250662095840458
DASH,0,-0.108172273560739,0,0,0.0256001155140616,0,0,0.0629417221099709,0,0,0.245646870677143,0,0,0,0,0,0,0
ETC,0,-0.0753777865982079,0.345817214149278,0.125148929299354,0,0,0,0.0307944827957881,0,0,0.100312943754688,0,0,0,0,0,0,0
XLM,0,0.410365421971441,0,0,0,0,0.181592411945292,0,0,0,0,0.0646507998885035,0,0,0,0,0,0
XMR,0,-0.0558591412307605,0.245076514949166,0,0,0,0,0.0589748483613021,0,0,0,0,0.0242247869373092,0,0,0,0,0
DOGE,0,0.0649902796801333,0,0.213346517643056,0,0,0,0.185399804846367,0,0,0.061971163214483,0,0.13288316748188,0,0,0,0,0
ZEC,0,0.0016975065922932,0,-0.0577877784251444,0.114151845808612,0.227717177871927,0,0,0,0.186306745762966,0,0.0228701215885787,0,0,0,0,0,0
DGB,0,0,0,0,0.0327930028452406,0,0,0,0,0,0,0,0.146008119175499,0,0,0,0,0
NEO,-0.281440443598947,-0.0112644185258137,0,0,-4.33680868994202e-19,0.0704816470018998,0,0.010067589340343,0,0.0262501074854183,0.39440274130027,0.0306192499262521,0,0,0,0,0,0
BV010082.Index,0.00428285669598535,-0.00394046521888462,0,-0.00881874286171164,0,-0.00626422041154685,-0.0409607193737987,0.00798210625399457,0,0,0,0.00739282655007967,0,0,0,0,0,-0.105810601406665
CVIX.Index,0,0.00611924156795731,-0.108297738176592,0,0,0,0,0,0,0,0,0.0199699495889989,0.0277162860616616,0,0,0,0,0
DXY.Curncy,0,0,0,0,-0.00359231543785702,-0.00551742201045413,0.00731622459837675,0.00128633904858411,0,0,-0.00714559183890369,-0.0027702129057878,-0.00580860323380225,0.0392607966833207,0.00852558839163428,0,0,0.0188671187629218
SPX.Index,0,0.000726203981162168,0,0,0,0,0,0.000498811170570717,0.00258693923690258,0,0,0.00243154128045196,-0.00190680343318785,0,0,0,0,-0.0234976882346743
VIX.Index,0,0,-0.128647557833758,-0.0459371231589487,0,0.113123071106482,0.128042960830684,-0.0211601576425706,0,0.168675946963775,0,0.0221365211384743,0,0,0,0,0,0
