,BTC,ETH,XRP,XMR,LTC,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.12968090880651,0.0641987414426308,0.234059702492139,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0295818187438207,0,0.148025940500537,0.0672427973097818,0,0,0,0,0.148688747244658,0.0991595016581718,0,0,0,0,0
XRP,0,0,0,-0.00866635425146334,0,0.136167726026904,0.0295829969999802,0.0470779358380953,0.0480297350881269,0.0103359017693305,0,0.0133769550061913,0,0,0,0,0,0.0268929311782502
XMR,0.410784683006614,0,0,0,0.223990925693416,0.172145043760581,0,0,0,0,0.0828757682388224,0,-0.0886600760256113,0,0,0,0,0
LTC,0.396660582987481,0,0,0.105452384169566,0,0,0.0645834325529632,0,0,0.0371737490456235,0,0,0,0,0,0,0,0
DASH,0.120610460688019,0.330077778243822,0,0.115035834493869,0,0,0.0203124158400728,0.115240967785148,0,0,0.146348854112779,0,0,0,0,0,0,0
ETC,0,0.278042955371353,0,0.0147774677111149,0.0202062043274031,0.132787968952539,0,0,0,0.0187107158762071,0.242653703537277,0,0,0,0,0,0,0
XEM,0,0,0,-0.138470943099328,0.0645190437242739,0.316894673663801,0,0,0,0.167965387836449,0.126373848508205,0,-0.048548970969504,0,0,0,0,0
DOGE,0.164511443231896,0,0,-0.0840351635510859,0.0989638132077411,0.128262720442613,0.012062363761822,0,0,0.0136685302999425,0.021352976071052,0.0242550813896063,0,0,0,0,0,-0.0448475007349979
ZEC,0,0.0906697375249045,0,0,0.455035711842506,0.0357736288567757,0,0,0,0,0,0,0.15793781630942,0,0,0,0,0
XLM,0,0.154676691077179,0,0,0.0345719516237412,0.00568065165686676,0.134748163727732,-4.33680868994202e-19,0,0.0800908206984747,0,0.101249335441967,-0.0081657865173697,0,0,0,0,0
NEO,0,0,0.578136966372387,0.0886521370897557,-0.236340194728998,0,-0.0655480559526458,0.122485404051431,0,-0.129717470543605,0.252163797217289,0,0.122177528750447,-0.714925498097833,0,0,0,-0.0518304248439106
DGB,0.205366562830237,0.0978577183714083,0,0,0,0.0406815677631266,0,0,0,0,0.0394840131130394,0.201772726371639,0,0.0851085686092117,0,0,0,0
BV010082.Index,0,0,0,0.0480383879349979,0,0.0679077903986711,-0.0628224129704278,0,0.0444491979441318,-0.0214182289103303,0,0,0,0,0,0,0,0
CVIX.Index,0,0.0628347417337142,0,0.047886886399962,0.0254675322945694,0.0359877650557258,0,-0.0309559560687707,0,-0.0599001366003236,0.00546337001568647,0,0,0,0,0,0,0.11417128465503
DXY.Curncy,0,0,-0.0786549308962539,-0.00588750530425164,0.0125470981104531,0.0259504841329001,0,0,0,0,0,0.00239123656615886,-0.00685805299464037,0.0723913579499157,0.0491917304699392,0,0,-0.0062570341324462
SPX.Index,0,0,0,0,0,0.0117758690843393,-0.0126103310202458,0,0,0,0,0.0064870776111121,0,0,0,0,0,-0.0484673359292022
VIX.Index,0,0.000290449712290742,0.263594243897416,0.0413507036500933,0.110098474881308,0,0.107051586416548,-0.118107918061418,-0.05807475729817,0,0,-0.0162552140391536,0.0229232481016235,0,0.0323424331137103,0,-1.89444204593708,0
