,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.117930704557286,0,0,0.126533914939556,0.0233026845704168,0,0.0872017146222353,0,0,0.0698702855915658,0,0,0,0,0,0
ETH,0,0,0,0.020413898641598,0.159394939650722,0,0,0.118946106954464,0.0427113449167917,0.0292796200990397,0,0.0450203355814874,0,0,0.0153527673576493,0,0,0,0,0
XRP,0,0.0812611353419599,0,0.0254081998414965,0,0,0,0,0.0351840372025253,0,0,0,0,0.00679476521110064,0.212429677505047,0,0,0,0,0
BCH,0,0,0,0,0.089342691119589,0,0.180535158690287,0,-0.0779793484214463,0.117421048787411,0.307028269146392,0,0.0674600766277881,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0205452285857573,0,0,0.68718448579866,0,0,0,0.106908898400169,0,0,0,0,0
DASH,0,0,0,0.0360802937106923,0,0,0.0285705059118956,0.0715414461503077,0.0461163777710555,0,0,0.0397177422914129,0,0.0775114117133361,0.16728475000245,0,0,0,0,0
XEM,0,0,0,0.0042313036810217,0,0,0,0.0612427660967568,0.0844598233985048,0,0.0167301627416273,0.0899897396781182,0,0.0397266941461493,0.0657773295839884,0,0,0,0,0
MIOTA,0,0.186216071063062,0,0,0,0,0.0055145907083555,0,0.0166072465390097,0,0,0.17725111195241,0.390472931791451,0.0797995542500917,0,0,0,0,0,0
NEO,0,0,0,0,0.123839299882336,0,0.332727491132825,0.113143858162358,0,0,0,0,0,0,0,0,0,0,0,-0.0905412035050887
XMR,0,0,0,0.0484572067287124,0,0,0,0.0520569359931583,0.0657771666836752,0,0,0.188128804396687,0,0,0.294614178747259,0,0,0,0,0
ETC,0,0,0,0,0.460159177038631,0,0,0.0565893774375259,0,0,0,0.0745330866130199,0,0.0247404017886427,0,0,0,0,0,0
ZEC,0,0.162151540785325,0,0.0267711181548493,0,0.26620772899208,0,0,0,0,0,0,0.149101856021198,0,0.189793073378923,0,0,0,0,0
EOS,0,0,0,0,0.114643757011391,0,0,0.0930132173882102,0.0808940269907151,0,0,0.128617024320639,0,0.0495814593239167,0.153439701868688,0,0,0,0,0
BAT,0,0,0,0,0,0,0.0218550716274026,0.26136958536626,0.0868253519248188,0,0.146947428138248,0,0.0247895829160642,0,0.00609114343273147,0,0,0,0,0
XLM,0,0.0555171937579705,0.0895641050855931,0,0,0,0.0179316941525917,0,0,0.248347271086354,0.335042711513556,0.0716962559049329,0.0219451909972779,0.0515028684952915,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.0185729630861711,0,0.00535565289993322,-0.0045122589177766,0.0305801638237867,0.0278274626599719,0,-0.0336878948486181,0,0,0,0,-0.0458391069161731
CVIX.Index,0,0,0,0,0,0,0.00516266019286322,0.0195432424721939,-4.33680868994202e-19,0,0,-0.0759903844338839,-0.0252984404748064,0.0311865697699591,0,0,0,0,0,0.0455750355515368
DXY.Curncy,0,-0.0144702166548085,0,5.42101086242752e-20,0,-0.0244804912292879,0.00505012228546299,-1.35525271560688e-20,0.0032849001922542,0,0,0.00752396029578136,0.00953754270406962,-0.0053302105134871,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00238064399783899,0,0,0.000906114580016519,-0.00186173484478872,0,0,0,0,0,0,0,0,0,-0.0382375897886014
VIX.Index,0,0,0,0,0,-0.281960580954098,0.0340784327137296,0.161292949793614,0,0,0,0,-0.0923862123688082,0.0172196829337103,0.0517587937991382,0,0,0,0,0
