,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0357554435484693,0,0,0,0.00729603415063118,0.09969133550031,0.0372815331689469,0.0217390187460699,0,0,0.179660824372465,0.0710413889167945,0,0,0,0,0
ETH,0,0,0,0.110233971346111,0.0306134076738285,0,0,0,0.152838783030238,0.0965494530176323,0,0,0,0.0889103959132114,0,0,0,0,0,0
XRP,0,0.12537523716127,0,0,0.0625965372042882,0,0.0463712381945822,0.088488092536664,0.0428791492987542,0,0,0,0.0429949280065455,0.340826805827775,0,0,0,0,0,0
BCH,0,0,0.0717227859557288,0,0.0137867123735533,0,0.151870467415826,0,0.186536676496446,0,0.138340440249297,0,0,0.112729274935254,0,0,0,0,0,0
EOS,0,0,0,0.319007826515041,0,0,0.138114410593496,0,0,0.146255059003041,0.0708556788018534,0,0,0,0.168396089705857,0,0,0,0,0
LTC,0,0,0,0.235443205738324,0.0113374663836879,0,0,0.0496528410856018,0.0971273402504499,0,0.0555563452748637,0,0,0.0596569513116196,0,0,0,0,0,0
ADA,0,0,0,0.0687602651304688,0.110046109518318,0,0,0.265352297272787,0.16874228798005,0.0487956670762109,0.020968601969928,0,0,0.0125487308727442,0,0,0,0,0,0
XLM,0,0,0.0905420513443742,0.0961753887812167,0.165417514702182,0,0.114030605742191,0,0.0844586324739358,0.0222441189247852,0,0,0,0.109357367261322,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0950503390549918,0.441498009571933,0,0,0.0357243064564627,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.154861409434868,0.114154726050062,0,0,0.43164426778999,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.203046955650395,0.0712938331686178,0,0,0.243336506512901,0.108720876033453,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0995613397773424,0,0,0,0.021446304054837,0.0619186956311647,0,0.123661098890566,0,0,0.27345733923357,0,0,0,0,0,0
XMR,0,0,0,0.155559261375228,0.00835165285978196,0,0.0487720271409522,0.0791468449267326,0,0,0,0,0,0.314933661590871,0,0,0,0,0,0
XEM,0,0,0.101043193151241,0.0849241276349258,0,0,0.0294330415484935,0.206549151977005,0.0521216658712122,0.17853836049845,0.0276545595736978,0,0,0,0,0,0,0,0,0
BNB,0,0.24820871754544,0,0.0590090392357837,0.081585998496197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0130411666601706,0,0,-2.16840434497101e-19,0,2.71050543121376e-20,0,0,0,0,0,-0.0139306526815459,0,0,0,0,-0.130558516630532
CVIX.Index,0.220815023688088,0,0,-0.0032583050242078,-0.0099769471770198,0,-0.168097945751613,-0.0244231498382942,0.0643890155463687,0,0.0549584790262558,-0.0163339358188768,0,0,0.00138167115768901,0,0,0,0,0.0531959705385509
DXY.Curncy,0,0.00147648107196793,0,0,0,0,0.000163076156793012,0,0,0.00380853645493268,0,0,0,0,0,0,0,0,0,0.016679514182614
SPX.Index,-0.0049650510001995,0,0,0,0,0,-0.00558262430966112,0,-0.00505356990626985,0,0,0,0,0,0,0,0,0,0,-0.0955319661158745
VIX.Index,0,0,0,-0.18949594215459,-0.121418157274208,0,0,-0.137114114599578,0.161036027638565,0,0.185920564753084,0,0,0,-0.0333382127637361,-0.622773943716145,0,0,0,0
