,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,NEO,MIOTA,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.00412661229824783,0,0.12293339271576,0.0601360904530741,0.00544566341316784,0.197396648775633,0.0722289196608467,0,0.0195480477931676,0,0,0,0,0,0
ETH,0,0,0,0.0242425220575997,0,0.163471721613719,0,0,0,0,0,0.131592026115715,0.164619845409375,0.0382029934004631,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0561019122202241,0,0.25540773497344,0,0.0524744331470045,0.0653572009722975,0.0581775981000172,0,0.00565523613993844,0.187176672515282,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0.279789715111476,8.67361737988404e-19,0.368954207261694,0,0,0,0,0,0,0
EOS,0,0,0.122537596524671,0.189738607855989,0,0.0352639664587824,0,0,0,0.201529721517023,0,0,0,0.0348899812924486,0.0251598839125679,0,0,0,0,0
ADA,0,0.243935926246901,0.104495631297939,0,0.00394252167992822,0,0,0.266697008596976,0,0.129766502352232,0,0,0,0.077367255935952,0,0,0,0,0,0
LTC,0,0,0.124808783518804,0.114737135995529,0.00371269808092236,0.0763736463950148,0,0.0626637855988984,0,0.110480203576081,0,0,0.139313084174322,0,0,0,0,0,0,0
XLM,0,0,0.18905632376861,0,0,0.172086392943175,0,0,0.00811094726917007,0.146905585529978,0.143153966987054,1.73472347597681e-18,0.00177598731567788,0.138747242589121,0.123464895760196,0,0,0,0,0
TRX,0,0,0,0.441455622911484,0,0.0174475545576803,0,0,0,0,0.104387583105475,0,0.226486186657631,0.046277008723306,0,0,0,0,0,0
NEO,0,0,0,0,0.0488611417163238,0.113855118723869,0,0.204878846039951,0,0,0.196489615326415,0.106228048392497,0,0,0.0540930232420497,0,0,0,0,0
MIOTA,0,0,0,0.341153711923913,0,0.0673307592997522,0,0,0.0406837637015508,0.0734959658787937,0,0.109026264732935,0,0,0.0845147246261828,0,0,0,0,0
XMR,0,0.144150225804477,0.0929761901665328,0.102813533482586,0,0,0.0556035372324252,0.0452458037149815,0.0269067092813149,0,0.211791269943008,0,0.136631361166995,0,0,0,0,0,0,0
DASH,0,0.0924859115318233,0,0.114316242695657,0,0,0,0.235999187423578,0.107943107370224,0,0.212487644756593,0,0,0.00101772708910966,0,0,0,0,0,0
XEM,0,0.189401305601004,0,6.93889390390723e-18,0,0.105061521947642,0,0.323150155407989,0.107540540454836,0.05192405832646,0.0815887775118176,0,0,0,0.026601157809395,0,0,0,0,0
ETC,0,0,0.0729769618843308,0,0.169350386664238,0.0762584787554669,0,0,0.0406762786603002,0.0140585605512665,0.33364165906466,0,0,0.0418863875093253,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,-0.0104652875234304,0,0,0,0,0,0,0,0,0,0,-0.0240377069106491
CVIX.Index,0,0,0,0,-0.00576571697523168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017954315105296
DXY.Curncy,0,0.00631229550118819,0,0,0,0,0,-0.0125759066998004,-0.00163347576734647,0,0,0,0,0,0.0173198501388803,0,0,0,0,-0.0075605739003694
SPX.Index,0,0,0,0,0,-7.1244077813846e-05,0,0,0,0,-0.00654655237631857,0,0,0,0,0,0,0,0,-0.110866381268185
VIX.Index,0,0,0,0,-0.0291638994876143,-1.73472347597681e-18,0,0,0.0513680778802755,0,0,0,0,0,0,0,0,0,-3.28637721680999,0
