,BTC,ETH,XRP,BCH,XEM,LTC,DASH,ETC,MIOTA,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0964159535553427,0.1361779851281,0,0,0,0.0304850538423726,0.106104494183722,0.0253864309853928,0,0,0.00367269906364851,0,0,0,0,0
ETH,0,0,0,0,0.0262927131428551,0,0.0921416757488377,0.00215022988049182,0.0546400089734922,0.0294448630675399,0.120121423501722,0.0328336745857038,0.02576920986268,0.0727161366584986,0,0,0,0,0,0
XRP,0,0,0,0,0.0242619639662498,0,0.0378198603116535,0,0.0604761466296712,0,0,0.0414383271573652,0,0.0383511957318214,0.306178859952413,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0170179211534916,0.0798538311006837,0,0,0,0,0,0.0554759377482622,0.0280749222583037,0.153674531349237,0.117534173077982,0,0.0774335909222213,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.164557752450717,0.00503344816594989,0.0784010289820852,0.0832211659211705,0.0874129547794094,0,0,0.0505136482926861,0,0,0,0,0
DASH,0,0.066733051544226,0,0,0.049984562675324,0,0,0.0367758390334219,0,0.0698554465476889,0.152996145887532,0.046469442121288,0,0.112733595256162,0,0,0,0,0,0
ETC,0,0.105258563987525,0,0,0,0.12631474978207,0,0,0,0,0.169970891108878,0,0,0,0,0,0,0,0,0
MIOTA,0,0.28831603122412,0,0,0.161972362378759,0,0,0.0887922566308856,0,0.0608161373640926,0,-0.0148579765120699,0,0.279742725406356,0.0129590329370513,0,0,0,0,0
NEO,0,0,0,0,0.0696308953503729,0,0.0795007974300205,0,0,0,0.0321704081179573,0.0306360464297957,0.354434881992784,0.111558653993958,0,0,0,0,0,0
XMR,0,0,0,0,0.0322918829394906,0,0.202041557887059,0,0.0223228599285544,0,0,0.0517073401412394,0,0.24469209734607,0.166412723779202,0,0,0,0,0
EOS,0,0.13175172486645,0,0,0,0,0,0,0.190074190713313,0.0367025055110671,0,0,0.16127599963754,0.0812862776275325,0.131460756501456,0,0,0,0,0
ZEC,0,0.184841845440621,0,0,0,0,0,0,0.0815246228395404,0.0278297529120669,0.185715128306048,0,0,0.0974759667917114,0,0,0,0,0,0
XLM,0,0,0,0,0.065194838253837,0,0,0,0.022876271197863,0.0589519800691831,0.497377850355285,0.0731967750662588,0,0,0.0333467669413067,0,0,0,0,0
DOGE,0,0,0.103364339853645,0,0.19458847170748,0.028893234176436,0,0,0.08011093783959,0.0022441488376354,0.196266599538122,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0.0178095116654336,0,0.00849235580145683,0,0.00447247559240644,0,-0.0459206988815742,0,-0.0073691057093155,0,0.00118395817416021,0.0566514820512314,-0.00999606771949645,0.00438697829574406,0,-0.0296138825037052,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0245436003632156,0.0114064701473779,0,0,-0.00831434798683087,0,0,-0.00529968124614732,0,0,0,0.00160166163976231,0.00786333609314898,-0.0128240019703462,-0.00700249905530255,0,0,0,0,-0.013055152588226
SPX.Index,0,0,0,0.000854410185531112,0,0,0,-0.00241082186992563,-0.00112608908232438,0,0,0,0,-0.000175059690722503,0,0,0,0,0,-0.0522868338055829
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310468356477206,0,0,0,0,0,0
