,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.0740173820459707,0,0,0,0,0.0486039720667807,0,0.0549895325275194,0,0,0,0,0
ETH,0,0,0,0.0863417158210005,0,0.00796150188470836,0,0.0511296397056863,0,0.0778125779909731,0.0142880963701225,0.146786874458391,0.0413064760584125,0,0.110439983247268,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,-0.129655899941797,0,0,0,0,0,0,0,0,0
XRP,0,0.134216878978074,0,0,0,0,0,0.0617115208120423,0,0,0,0,0.0396223988638727,0.0789730191709,0.0626792343435267,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0760097535438085,0,0.200046884518548,0,0,0.088047292044128,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.109040864534231,0.0327614425546545,0,0,0.046996799809813,0,0.122557149235139,0.113245881604814,0.153649325197726,0,0,0,0,0
DASH,0,0,0,0,0,0.0574941914155689,0,0.0495839706962601,0,0,0.0186147870764043,0.140105680177753,0.0552226421302877,0.0580386502130329,0.0958163182929178,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0604366188441696,0,0,0,0,0.198623157420478,0.343713130101281,0.00268108574457711,0,0,0,0,0,0,0
XMR,0,0,0.0215812244173165,0.156115761564567,0,0,0.102849529432692,0.0597609257954753,0,0,0.013937841531744,0.0666060826034249,0.0471015502641782,0.217396994156529,0,0,0,0,0,0
ETC,0,0.243787633654762,0,0,0,0,0,0,0.0682408367403362,0,0,0,0.0153360102168018,0,0.0440600743356484,0,0,0,0,0
NEO,0,0,0,0,0,0.247013508048185,0.00943619772798535,0.192975945736775,0,0,0,0,0.0522444667452197,0,0,0,0,0,0,0
ZEC,0,0.143493318432468,0.0119425020299004,0,0,0,0.261927963992499,0.0787994934284257,0.0530947561105366,0,0,0,0.0466973016781675,0.156113431604243,0,0,0,0,0,0
EOS,0,0.199046599540494,0,0,0,0,0,0.0727237567386421,0,0.0909953266234734,0.106039455998868,0.126942107715212,0,0.2114076621031,0.0417686323731586,0,0,0,0,0
XLM,0,0,0,0.222795817509068,0,0,0,0,0.341640963536094,0,0,0,0.0785080041299806,0,0.0937990506971264,0,0,0,0,0
BAT,0,0.18294936272417,0,0,0,0.0704399910458376,0.0876733585799498,0.0913084949876592,0,0,0,0.0253614563605495,0,0.189511292063811,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0267222831872724,0,0,0,0.0181387636780682,-0.0140341877066704,-0.0102115019268416,0.0266917380762841,0.00371771254234096,-0.0393466173722109,0.0278575502277303,0,0,0,0,-0.0198209427121814
CVIX.Index,-0.0645514667742927,0,0,0.0154667787700416,-0.0446290372825273,0,0,0.0341927562593458,-0.0218533853756932,0.0801897350221546,0,-0.0358202346311113,0.0108612904355326,-0.0248603776542792,0,0,0,0,0,0.0405711956942112
DXY.Curncy,0,0,0,0.00682529781367763,0.0240748752602789,0,0,0.00995145143977864,0,-0.00735522219725013,-0.000454756729562921,-0.00427084409078585,0.00158891859205174,-0.00938311683652456,-0.00311804845258251,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,-0.00387292655446042,0,0,0,0,0,0,0,0,0,0,-0.0382491757846816
VIX.Index,0,0.068254793860142,-2.16840434497101e-19,0,-0.0290543502554408,0.0830749734207637,-0.218595930899859,0.11056577924841,0,0,0,0,0.0396344194011588,-0.167499759803801,0,0,0,0,0,0
