,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.234404238964305,0.0342924835935449,0.0555394531729169,0.0557074046840278,0,0.0783685786828696,0.0227108239733765,0,0,0,0.0708002908158892,0,0,0,0,0,0
ETH,0,0,0,0.0395263104612925,0,0,0.12561511700061,0,0,0,0,0.0694918525308873,0.164498226383469,0.0630860163196527,0.101979114048677,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.106830908812367,0,0.0525981815723843,0,0,0.165360364006888,0.121961962277655,0.149000417814138,0,0,0,0,0
BCH,0,0,0,0,0.138585690173852,0,0.0626115323001909,0,0,0.0805332371569211,0,0.400109352414547,0,0,0.0185192655298261,0,0,0,0,0
LTC,0.0785347955752114,0,0.0350398088208141,0.194926560427387,0,0,0,0,0.0110753624883849,0.150979344496693,0,0,0,0.00702023671963013,0.121449239443911,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.131838025647752,0.0332193467541332,0.0477262680941727,0,0,0.101319574028352,0.124673726232166,0,0,0,0,0,0
NEO,0,0.0852372243920012,0,0.114397429299232,0,0.0257637039704794,0,0.0962383464180193,0.0383780998222517,0,0,0,0.167867941179295,0,0.192780734247909,0,0,0,0,0
XLM,0,0,0.00649629348259904,0,0,0.581811712716308,0,0,0,0,0,0,-4.33680868994202e-19,0,0.108539116746392,0,0,0,0,0
XMR,0,0,-4.33680868994202e-19,0,0,0,0.117185209636703,0.0642740135842025,0,0.136835579970571,0.0118642073493229,0.0134775140497334,0.0886949687791305,0.0233963815860169,0.131559273397817,0,0,0,0,0
EOS,0,0,0,0.07042726310637,0,0.191133646271306,0.0171162795766186,0,0,0,0,0,0.09644869647543,0.065195466737479,0.239806657324727,0,0,0,0,0
MIOTA,0,0,0.103493455076601,0.161800439314297,0,0,-2.16840434497101e-19,0,0.0576784783513557,0.0654418670413927,0,0,0.0859473385606717,0.0371339433145407,0.212735599101409,0,0,0,0,0
DASH,0,0,0.0542059755789217,0.0486046103350993,0,0,0,0,0.200863411294832,0.121309105860669,0,0,0,0.0929008785512338,0.0751242770821667,0,0,0,0,0
XEM,0,0,0,0,0,0.0965832346678844,0.0385616866009305,0.174122749910835,0.1950915853628,0.0146866200927423,0.0383471534285127,0,0,0.00831075559712499,0,0,0,0,0,0
TRX,0,0,0.582508129366578,0.1228875341839,0,0,0,0,0,0,0,0,0.221942301329817,0,0,0,0,0,0,0
ETC,0,0,0.0781224631148596,0,0,0,0.105185240773377,0,0.159546891161449,0.201890848995334,0,0.0724391471117329,0,0.0881767344059824,0,0,0,0,0,0
BV010082.Index,0,0,-0.000492429866362084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429693134468867
CVIX.Index,0,0,0,-0.034767879457067,0,0.0607567169143494,0,0,-0.009735835473444,0,0,0,0,-0.0257146575167964,0,0,0,0,0,0.0461446448920784
DXY.Curncy,-0.00563299866058349,0,0,0,-0.00706662987863358,0,0,0,0,-0.00750863739029951,0,0,0,0,0.00554482005452677,0,0,0,0,0.0107198524470121
SPX.Index,0,0,0,0,0,0,0.0050787226581603,0,0,0,0,0,0,0,0,0,0,0,0,-0.0552282982948302
VIX.Index,0,0,-0.0283974473886985,0.00193796964397016,0.0872084976681056,-0.0823898809146549,-3.46944695195361e-18,0,0.143641347873693,-0.0767899739837677,0,0,0,-0.0113439038578493,0,-2.54220181545711,5.55111512312578e-17,0,-2.51566915521344,0
