,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,TAGZ5,XTZ,LEO,XMR,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.128465691152879,0,0,0.107483175427226,0.138276409369994,0,0,0.0972090229601453,0,0,0,0.0253101290231287,0,0,0,0,0
ETH,0,0,0,0.30148810140781,0.0355907533832295,0,0,0,0.00604070123900041,0,0.224623142108821,0,0.0212354648902858,0,0.149865996732907,0,0,0,0,0
XRP,0,0.123302727940852,0,0.096256635797954,0,0,0.0813535157600971,0,0,0,0.0407324671731585,0,0,0,0.345943708403466,0,0,0,0,0
BCH,0,0.101896795171108,0,0,0.102813695339532,0,0.377845207577741,0.04640779906578,0,0.00597208715599717,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.640286115687572,0,0,0.265771061756771,0.0153945515423536,-0.00272017232635996,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.171772324229937,0,0.180869478167663,0.00711743688303199,0,0.0275004976399481,0,0,0,0.0878197989788588,0,0,0,0.158292497606233,0,0,0,0,0
EOS,0,0.0539105785257836,0,0.315636236873015,0.140751814317118,0,0,0.00218380144998587,0.00224610195617333,0,-1.73472347597681e-18,0,0,0,0.211414618248043,0,0,0,0,0
BNB,0,0.103180091248001,0,0.267473747195285,0,0,0.039578934397931,0,-0.00196449519046811,0,0.222970317326394,0,0.0142909872320985,0,0,0,0,0,0,0
INNBCL,0,8.27086977599808,0,0,-0.506350905634704,0,0,0,0,0,-3.70069740204992,0,-4.5780240624845,0,0,-2.04750470156896,0,0,0,0
TAGZ5,0,0.134289027850075,0,0.228977973125554,0,0,0,0,-0.00364727609612656,0,-8.67361737988404e-19,0,0,0.157797786058363,0,0,0,0,0,0.0108282870035418
XTZ,0,0.0146885312129595,0,0,0.00630026081532754,0,0,0.601758836172269,-0.00673498755447171,0,0,0,0,0,0.0450804507389796,0,0,0,0,0
LEO,0,0,0,0,0.0325841997147557,-0.0422003995108497,0,0.0532858296374018,-0.00194538533037945,-0.060978802502799,0,0,0,0,0,-0.0337362214599502,0,0,0,-0.0128237921118547
XMR,0,0.289749115809141,0,0,0.0425613054476767,0,0.186137826187889,0,-0.00205546995341693,0,0.199586775207329,0,0,0,0,0,0,0,0,0
XLM,0,0.107022429347629,0,0.157265645957669,0,0,0.0518282274725492,0,-0.000166772307930072,0,0.175212811332072,0,0.124044368979145,0,0,0,0,0,0,0
ADA,0,0.212686500418507,0,0.101201470976673,0,0.24082116140393,0.0608702283338918,0.0998740548411707,-0.00436650344316206,0,0.117037598971254,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.142452859760861,0.00462896086243112,0.104731146918229,0,0,0,0,0,0,-0.103389722077064,0,0,-0.105496290808995
CVIX.Index,0,0,0,0,0.155600885759219,0,0,0,0.000988557128847139,-0.136868485918649,0,0,0,0,0,0,0,0,0,0.209396950144059
DXY.Curncy,0,0,0,0,0,0,0,0,0.000792398005041696,0,0,0,0,0,0,0.0119223950742324,0,0,0,-0.0208342993187802
SPX.Index,0,0,0,0,0,0,0,0,0.000448719470421545,0,0,0,0,0,0,0,-0.0293917203181796,0,0,-0.252326162815222
VIX.Index,0,0,0,-0.350028805659019,0,0,0,0,0.0195931396223893,0.284048850120189,0.32345996497138,0,0,-0.361477326036736,0,-0.19720370818909,0,0,-2.07765614716701,0
