,BTC,ETH,XRP,LTC,DASH,XEM,XMR,ETC,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0936685868777645,0.0618674731390401,0.138741528843686,0.0849129856250641,-0.075527099664525,0,0.061808694005903,0.0910143725172648,0,0,0,0,0,0
ETH,0,0,-0.0267883575162105,0,0.152955006456221,0,0.367705662518591,0,0,0,0.115759946688055,0,0,0,0,0,0,0
XRP,0,0.0487714294613825,0,0,0,0,0.0109945604664294,0,0.0330443802535893,0,0.564934324169985,-0.154505441059763,0,0,0,0,0,0
LTC,0,0.0101902053810251,0,0,0,-0.061895961760589,0.0715182467046585,0.0439740433314078,0.0310454765151962,0.116458649949775,0.108842196529853,-0.0322970004316769,0,0,0,0,0,0
DASH,0,0,-0.137810196231983,0,0,0.059347656320658,0,0,0.0626207507767642,0,0,0,0,0,0,0,0,0
XEM,0,-0.0299583187649772,0,-1.0842021724855e-19,0,0,0.14940568890337,0,0.138641083827369,-0.14825878337039,0,0.250137609440496,0,0,0,0,0,-0.0117187852652022
XMR,0,0.324275264023828,0,0,0,0.0704712540609599,0,0,0.0424424415199388,-0.0686025459894639,0,0,0,0,0,0,0,0
ETC,0,0.338422716531154,0,0,0.106846784798043,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.00577185724310371,0,0,0.243436023798956,0,0,0,0,0.183182436667773,0,0,0,0,0,0,0,0
DOGE,0.144615520605765,0.0484900570738947,0.118985787053619,0.128015401249511,0,0,0,0,0.182155065312088,0,0.259088927599769,0.136743258054756,0,0,0,0,0,0.0894990018432666
XLM,0,0.0218446564674867,0.408664936568087,0.162042190628944,0,0.0528347589058772,0,0,-0.0957296634574817,0.171763695167283,0,0.188340908330643,0,0,0,0,0,-0.114073858311913
DGB,0.298570871145938,0.00208944370387422,-0.142274102650195,-0.0701560449661467,0.0371437097619417,0.120178971197778,0,0,0,0,0.326933721854529,0,0.0433341383247218,0,0,0,0,-0.0288651812401733
NEO,0,0,-0.0352103912127648,0,0,0,0,0,0,0.15789651217855,0.00608416893708074,0,0,0,0,0,0,0
BV010082.Index,0.0585803025735355,0,0.00324573515763557,-0.00486500507356955,1.0842021724855e-19,0,0,-0.0612314490115452,0,0,0,0.0243328538323893,-0.0153264871254198,0,0,0,0,-0.0815546618419699
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0326453439082252,-0.000568155009174684,0.000339635723971044,0,-0.00223236999259377,0,0,0,-0.00641769210481209,0,0,0,-0.0125807763631366,0.074728651975763,0.0153472864031585,0,0,0.00152618271194554
SPX.Index,0,0,0.00117623498014111,0.00337022587978302,0,0,0.00711768366355546,0,0,0,0,0,-0.00487346934705445,0,0,0,0,-0.0227154900451261
VIX.Index,0,0,0,0,-0.0264177742332768,-0.0250683702401325,-0.161073294058197,0,0,-4.33680868994202e-19,0,0,0,0,0.248357436183001,0,0,0
