,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0922198747271799,0,0.0855287361936079,0,0,0,0.0536870674508538,0,0.0946556657622433,0,0,0,0.100190146312162,0.0272441735986147,0,0,0,0,0
ETH,0,0,0,0.0184562058891743,0,0.107969216089844,0,0,0,0.155885300849978,0.0736856738043149,0.0652480490837249,0,0.136653422509334,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0613204110401842,0.0996058314643233,0,0.118778556046653,0.0834437526279409,0,0.0486520638203398,0.264797489905398,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.155424474265383,0.0278622034904583,0,0.250877487292951,0.135923054467601,0,0,0.0226530899057652,0,0,0,0,0,0
EOS,0,0,0,0.163156650635721,0,0,0,0,0,0,0.244940835051237,0,0.192825593312148,0,0,0,0,0,0,0
LTC,0,0.162209336991941,0,0.105051484191007,0,0,0.0893084608024297,0.00955872429809517,0,0.0419651974235461,0.116269987039901,0,0,0.13600326626466,0,0,0,0,0,0
ADA,0,0,0,0,0.0573838277414955,0,0,0.421757128898401,0,0.150360348844534,0.0290123360029705,0,0,0.0104345731830511,0.00665830264961423,0,0,0,0,0
XLM,0,0,0,0.0188067726604109,0.0106232824797244,0,0.111931290773571,0,0,0.112579283590713,0,0,0,0.345137648282335,0,0,0,0,0,0
TRX,0,0,0,0.17921514806082,0.0798239919780985,0,0,0.42020050367672,0,0,0,0,0.0219159327596756,0,0,0,0,0,0,0
MIOTA,0,0,0,0.279753667093943,0,0,0.104539416800762,0,2.16840434497101e-19,0,0.0771766292175267,0.0257879864057057,0,0.297252233049984,0,0,0,0,0,0
NEO,0,0.00829213559252682,0,0,0.0500216050253045,1.73472347597681e-18,0,0.172918533653303,0,0.170025528857761,0,0.045244545859363,0.0426417672752887,0.0763678802107692,0.117103731215655,0,0,0,0,0
DASH,0,0.0834847834591105,0,0.109686549096921,0,0,0,0.232563523747908,0.0645715440349178,0.132758243130369,0.0309592196386766,0,0,0,0,0,0,0,0,0
XMR,0,0,0.198540155576321,0.121583089246821,0.00459818624365035,0,0.0550263394070254,0.0787769695275138,0,0,0,0,0,0.211832043573297,0.0304427927417275,0,0,0,0,0
XEM,0,0.114714741850021,0.00152715135107948,0.0232974088815239,0,0,0.0483136926464746,0.247724486751543,0.0589089111271294,0.0772658351344521,0.0565551099987725,0,0,0,0.19277134004087,0,0,0,0,0
ETC,0,0,0,0,0.0857423159170936,0.066204630789018,0.0432358025226002,0.0215095327428925,0.0160554236676957,0.0969497843277815,0.0493316175352366,0,0,0.243114382889322,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238290035459676
CVIX.Index,0,0,0,0,-0.00363474334750087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271510186925438
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.00920611398404996,0,0,0,0,0,0,0,0,0,0,0,0,-0.112504373574688
VIX.Index,0,0,0,0,-0.0771308285757906,0,-0.0941428185408593,-0.17823698598944,0.0282616192888787,0,0.233838375068253,0.114906540898869,0,0,0,0,0,0,-4.07083241667368,0
