,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,XEM,NEO,XMR,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0240047494873815,0.0347698576126717,0.0834687463275953,0.0557958289757602,0.0477535994909056,0.00984472563950291,0.0125088096338971,0,-0.0543510206995952,0.0415093261183898,0,0.0751640253445785,0,0,0,0,0
ETH,0,0,0,0.101645525154125,0,0,0.0342324297545752,0.0424754787291733,0,0,0.0648288137211954,0.166468517119568,0.0147520778621716,0,0.161425041658636,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,-0.147322343715876,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.236100009554412,0,0,0,0,0.0185198248528101,0,0,0,0,0,0.0327429299743392,0.0647310946971174,0.0604677386533898,0,0,0,0,0
LTC,0,0.127067428352912,0,0,0,0,0.0185882749323337,0,0,0,0.182965028631704,0,0.0831125771831009,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0738771824025978,0.078989359082651,0,0,0,0,0.0655267337235793,0.0621866498077899,0.118889137028055,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.256960062952011,0,0,0,0.400189423308472,0.00418239005962255,0,0.309661500220446,0,0,0,0,0
XEM,0,0,0,0,0,0.147978932035574,0.0307861998479663,0,0.128548344121684,0,0,0,0.115925091050623,0.121638226284856,0.0491949080404492,0,0,0,0,0.0431677344023477
NEO,0,0.0264540158837292,0,0,0,0,0.206761452743794,0.262394093841743,0,0,0,0,0.0508651987931297,0,0,0,0,0,0,-0.0791476291188475
XMR,0,0,0,0,0,0.0729680742562741,0.0306172877369699,0,0.0101192492297041,0,0,0.125234128499592,0.0409007965081472,0.274539946333938,0,0,0,0,0,0
ETC,0,0.0799962298581578,0,0,0,0,-8.67361737988404e-19,0,0,0.0990978580257854,0,0,0.0266958238848235,0.00359916012843014,0.0735215617626818,0,0,0,0,0
ZEC,0,0.125226663617076,0,0,0,0,0.158033629826227,0,0,0.0662839433404178,0,0,0.0712398648333442,0.0804333926359147,1.73472347597681e-18,0,0,0,0,0
EOS,0,0.0955460225342678,0,0,0,0,0.156385096204681,0,0.105805441144116,0,0,0.106453601852312,0,0.182539832100568,0,0,0,0,0,0
XLM,0,0.119244344759633,0,0,0,0,0,0.0216676982403105,0,0.349729787764361,0,0,0.0814400161753385,0,0.0715185024342468,0,0,0,0,0
BAT,0,0.234986818130569,0,0,0,0,0,0.0793900415722503,0.159730808568491,0,0,0.165423833753769,-0.0355126904255512,0.144098533210834,0,0,0,0,0,0
BV010082.Index,0,0,-0.0068838981891112,0,0.0276038331898356,0,0,0,-0.0272267462004449,0.0043628737972955,0,0.0284575923727867,0.00172770950896173,-0.0147272389402274,0.0193626861542543,0,0,0,0,-0.0200748012765368
CVIX.Index,0,0,0.00810561862771299,0,-0.0135869203787384,0,0.0287575832470472,0,0,-0.0125925720558666,0,-0.0291701644475371,0.010791323179424,-0.0238958050007909,0.0111080674280698,0,0,0,0,0.0445328497239169
DXY.Curncy,0.00875722714891747,0,0,0,0.0177990281783898,0,0,0,0,0,0,0,0,-0.00224185223874438,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-1.0842021724855e-19,0,0,0.00112196656523652,-0.00486267307092323,0,0,0,-0.000462073471298348,0,0,0,0,0,-0.0425295637351249
VIX.Index,0,0.19867188093416,-0.050259675946808,-0.0759794962928221,0,-0.243285604493456,0,0.140365430124024,-0.133484953564232,0,0.0570173568724886,0,0.0266377819436832,-0.12819338669615,0.079801742306585,0,0.243418490207073,0,0,0
