,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0138924510013097,0.0857396155466395,0,0,0.00928673777420078,0,0,0,0.0433415807660028,0.0780857257367245,0,0,0,0,0,0,0,0
XRP,0,0,0.135194693699529,0.0157530758939417,0,0.237858530301196,-0.00233299226786394,0,0.0956482020645331,0,0,0,0,0,0.102274913347377,0,0,0,0,0
ETH,0,0,0,0.194190130650514,0,0.189980908272488,0,0,0.0561328569790996,0,0.030992771404677,0,0.0979192754972084,0,0,0,0,0,0,0
BCH,0,0,0.12402384482092,0,0.0148547606574914,0,0.0321804840065413,0.280319703671292,0.5243090007084,0,0.0263271567553749,0,0,0,0,0,0,0,0,0
EOS,0,0,0.167560682745318,0.0819642072359481,0,0.0406880405444029,0,0,0.154162613178303,0,0.0229083447369288,0.0956744414599968,0,0,0,0,0,0,0,0
XLM,0,0.0732621012334507,0,0.0115678438977268,0,0,-0.00141757701959158,0,0.516150583791546,0,0.132606592482858,0,0,0,0,0,0,0,0,-0.0023806175116571
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.108275449798278,0.132868495757967,0,0.0791610070377822,0,0,0,0,0.073757933578822,0.229100966118267,0,0,0,0,0,0,0,0
ADA,0,0,0,0.16409026297359,0,0.243283770473435,0,0,0,0,0,0.26297689716892,0.0150577769780655,0,0,0,0,0,0,0
XMR,0,0,0,0.0797875943707481,0,0,0,0,0.0574719837001694,0,0,0.255151618099905,0,0,0,0,0,0,0,0
TRX,0,0,0.00574520168275442,0.0911389881006594,0,0.065708881892732,0,0,0.306427956683064,0,0,0.0830402236449347,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.168571913231156,0,0,0.033986401530321,0,0.297134433012142,0.0838736165819754,0.102528573642467,0,0,0,0,0,0,0,0,0
DASH,0,0,0.159184440073689,0,0,0,0.0192708364380331,0,0.247880011135681,0,0.0369428161938926,0,0,0,0.0557810385072845,0,0,0,0,0
BNB,0.141728748025419,0,0.349380505627641,0.075104665361756,0,0,0.0107284313891578,0,0,0,0.090881402050727,0.0439462081632474,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0201803089872271,0,0,0.179137275271473,0,0.169835960126041,0.221074614210903,0.107624259623842,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0.00447746565351663,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225187525681621
CVIX.Index,0,0.041166638319624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507780315015916
DXY.Curncy,0,0,0,0,0,0,0.00395693054290066,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,-0.0173741629815715,0,0.0157194037819307,0,0,-0.0018496453540573,0,0,0,0,0,0,0,0,0,0,0,0,-0.101587992416451
VIX.Index,0,-0.108964752199523,0,0.118660769944091,0,-0.204294682206527,0.0180045973198055,0,0,0,0,0,0,0,0.166905880037982,0,0.772375799322249,0,-5.7974125796598,0
