,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0288651861206931,0,0.0193000598461345,0,0.129243814913875,0,0,0,0.0365421436080615,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.076595655658324,0.0353696737615961,0,0,0.113788531000319,0.0883011524316858,0.116351190622421,0.128049240418753,0.261359256734938,-6.93889390390723e-18,0,0,0,0,0,0,0,0
XRP,0,0.0460871132665937,0,0,0,0.1953002282585,0,0.296039015860265,0,0,0,0.310002051715582,0,0,0,0,0,0,0,-0.0186269842843322
BCH,0,0.242999573387571,0.0916222224406551,0,0,0,0,0.0388897686639621,0,0.225957884496403,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.138893073882467,0,0,0,0,0.470305992021419,0,0.116003025256255,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0687902212255392,0.123715235697534,0,0,0,0.167164385993299,0,0.0259320973979408,0,0,0,0,0,0,0,0,0,0
LTC,0,0.188360904117309,0.0372483151542534,0.105112581556398,0,0,0,0.0105756724881437,0,0.0723872058046107,0,0.190823161779902,0,0,0,0,0,0,0,0
ADA,0,0.109578384182515,0.0306544102959124,0.0437897216091737,0.308006439973724,0,0,0,0,0.175590118282723,0,0,0,0.164536584529634,0,0,0,0,0,0
XMR,0,0.126038211709496,0.081156959369609,0.0774183149882107,0,0,0,0,0,0,0,0.117348165099302,0,0,0,0,0,0,0,0
TRX,0,0.168285774940556,0.0555833468541737,0.0374570747787332,0,0,0,0.348948974348707,0,0,0,0,0,0,0,0,0,0,0,-0.00780385023440888
DASH,0,0.306520162593004,-3.46944695195361e-18,0,0,0,0,0.126775770252698,0,0,0,0.13818402013677,0,0,0,0,0,0,0,0
MIOTA,0,0.0492356199300629,0.116096882828603,0,0,0,0,0.172483776439868,0,0.168669925118831,0,0,0,0.0176324880402831,0,0,0,0,0,0
BNB,0,0.233408378426572,0,0.0355889837616302,0,0.0267792893886607,0,0,0,0.0833516991320777,0,0.000514218782959941,0,0,0,0,0,0,0,0
NEO,0,0.0887784985549591,0,0.0523950231713699,0,0,0,0.229040808909431,0,0.0203333634340036,0,0.280409811019897,0,0,0,0,0,0,0,-0.023746433199532
ETC,0,0,0.025787452885113,0.0358400963240999,0,0,0,0.246238043538686,0,0,0,0.0434156376357671,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270004233211024
CVIX.Index,0,-0.0960468194244768,0.023368719898813,0.0245690236303198,0,-0.0203841981586165,-0.197235366632108,0,0,0,0.047999980820917,0.208690828178874,0.0368288010955259,0,0,0,0,0,0,0.0465184941564589
DXY.Curncy,0,-0.0039333648997931,-0.00437199969264199,0,-0.018710103561714,0,0,0,-0.0141200220077415,0,0,0.0265559042524598,0,0,0,0,0,0,0,-0.00492493696684169
SPX.Index,0,0,-0.0110000891915127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0930924334858364
VIX.Index,0,0,-0.145585211780027,0.186075357839162,-0.146035996821813,0,0,0,0,0,0,0,0,-0.0329418237196438,0,0,0.393277245329822,0,-6.15599484243094,0
