,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00529900379082422,0.0766697621381113,0,0,0,0,0,0.0402122084178076,0,0.0899211314423187,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0251788366670486,0.0581947978795998,0,0,0,0,0,0,0.395164499640875,0,0,0,0,0,0,0,0
ETH,0,0.0018183602881592,0,0.156660894339593,0,0,0,0.252169733729001,0,0,0,0.12297251143103,0,0,0,0,0,0,0,0
BCH,0,0,0.433512017589705,0,0,0,0,0.0607998207872516,0,0.160469068139268,0,0.188820254357462,0,0,0,0,0,0,0,0
XLM,0,0.13058415098362,0,0,0,0,0,0.499028859882103,0,0.128074517203791,0,0,0,0,0,0,0,0,0,-0.0122046772562973
EOS,0,0,0.133374704144359,0.0754962511705284,0,0,0,0.255325939598885,0,0.0482370460998925,0,0.0511400038520435,0,0,0,0,0,0,0,0
LTC,0,0,0.191628090821432,0.114771130542482,0,0,0,0.0885852925534777,0.038410696411328,0.0653955709941283,0,0.140339215115038,0,0,0,0,0,0,0,0
ADA,0,-8.67361737988404e-19,0.0739259470384754,0.0784177944369228,0.228123583024682,0,0,0,0,0.134147023988404,0,0.330972314138541,0,0,0,0,0,0,0,0
XMR,0,0,0.1104826749006,0.0539131438795142,0,0,0,0,0,0,0,0.218813835558914,0,0,0.138310609959908,0,0,0,0,0
TRX,0,0,0.0757875828816142,0.0782351391908495,0.0534661268249918,0,0,0.240650427125227,0,0,0,0.139801663712461,0,0,0,0,0,0,0,0
DASH,0,0,0.481453696411573,2.16840434497101e-19,0,0,0,0.139313255903996,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0413905790759547,0.038041252069225,0.185735072317219,0,0,0,0.228049501454599,0.0778310054761935,0.142427762812325,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0.250563224975765,0.0721768095881659,0,0,0,0,0,0,0,0.032705845403056,0,0,0.201940452139217,0,0,0,0,0
XEM,0,0,0,0.00772997689936628,0,0,0,0.190274730390184,0,0.185617710306672,0,0.267227661758309,0,0,0,0,0,0,0,-0.00179128793420028
ETC,0,0,0,0.167282822649141,0,0,0,0,0,0.0209808366850198,0,0.233232528852199,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225187525681622
CVIX.Index,0,0.053383382663312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529131644999819
DXY.Curncy,0,-0.0128745970104103,0,0,0,0,0,0,0,0,0,0.00747527266795144,0.013396149466026,0.00495459025823214,0,0,0,0,0,0
SPX.Index,0,-0.0148775864136069,0,0.0122675207978873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111654127418751
VIX.Index,0,-0.104777843313861,0,0.158154447880213,-0.179139306475967,0,0,0,0,0,0,0,0,0.146235604409122,0,0,0.700626636785583,0,-5.24581094645936,0
