,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,NEO,DOGE,DGB,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0892712068696619,0,0.0324921183892544,0,0.00485873785696779,0.113873142218081,0,0,0.0268795660414505,0,0.0248018544405638,0,0,0,0,0,0
ETH,0,0,-0.00485406030022795,0,0.144178162836135,0,0.0270638802318825,0,0.0717584226335137,0,-0.0356499847537494,0.00630741448193715,0.010154073302041,0,0,0,0,0,0,0
XRP,0,-0.0562969591023967,0,0,-0.183870643428968,0,0.29472777003213,0.0569895121889428,0,0,0.350952149906339,0.0623316939916207,-0.00348361380897627,0,0,0,0,0,0,-0.0576908020683942
LTC,0,-0.0332038793200514,0,0,0,0.0526257153780666,0,0,0.132608618380332,0,0,0.160310436179925,0.0239590419796145,0,0,0,0,0,0,0
ETC,0,0.271427235299559,-0.0870588427316685,0.0546877699995784,0,0.146226532747969,0.152462717164297,0,0,0,0,0.0560805832612567,0,-0.0168239874122769,0,0,0,0,0,0
XEM,0,0,0,0.0540404660769842,0,0,0,0,0.0640204884340467,0,0,0.0303191750959865,0.197757544979386,0,0,0,0,0,0,0
DASH,0,0,0,0.0366726435686952,0.0984495883986991,0,0,0,0.226526086010499,0.19724132522241,0.0391525521373677,0.025659027707718,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0721158333724202,0,0.0584744587121344,0.233345358483744,0,0,0,0.0585094369897744,0,0,0,0,0,0,0,0,0
ZEC,0,0,0.0402229113988981,0,0,0,0.0479398654956195,0,0,0,0,0,0.181397056865288,-0.00671933756526615,0,0,0,0,0,0
XLM,0,0,0.561256184629466,0,0,0,0,0,0.221653115785371,0,0,0.046080834913759,0.0695494435059853,0.0306143359839199,0,0,0,0,0,0
NEO,0,0.316067320207412,0,0.463067670203773,0.171567887416797,-0.0202924675114199,0,0,0,0.258267653157071,0,0,0,0.0919091146936759,0,0,0,0,0,0
DOGE,0,0.0254925294007066,0,0.148932514609047,0,0.26278126004008,0.0719527971772292,0,0,0.0638237195313575,0.0884734290122541,0.0650106040992595,0,0.00812906636196491,0,0,0,0,0,0
DGB,0,0,0.139391532909964,0,-0.115785058333532,-0.163425648459008,0,0,0.179556584570348,-0.206282779132557,0.21459974113561,0.0599048655751344,0.347837668889437,0,0.182457090910042,0,0,0,0,-0.0363894145279937
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.0168913931778084,0,0.0019732061425461,0.00222514843504012,0.00504956395500929,0,0,0,0,0,0,0,-0.0760008052218359
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00310621352397515,0,0,0.00541094887658386,-0.0146952716035769,0,0,0,0,0.0027019214154764,0.00144108220143844,0,-0.00540170066301186,0.00171001471708895,0,-0.00653178648156486,0,0,0.00879049433575571
SPX.Index,0,0,0,-0.00261464846856941,0,-0.000775963549011335,0,0,0,0,0,0,0,0.00158450857779619,0,0,0,0,0,-0.0312083660353448
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
