,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.102520674224396,0.0139319196586814,0,0,0,0.129284371973384,0,0.105157137717687,0,0.117418169446163,0,0,0,0,0
ETH,0,0,0,0,0,0.170227571336922,0.0919408820960786,0,0.0110308954734366,0.0665883371914631,0.111417524515635,0,0,0.0357849224491567,0.103337764717387,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.200563872815536,0.14626864994005,0,0.0767112465718592,0,0,0.15348617480457,0.0552463800701345,0,0,0,0,0.0858411181723087
BCH,0,0,0,0,0,0.0143515004573207,0.0261281873488364,0,0,0,0,0.269070251407473,0.293322336613408,0,0.0847909474529608,0,0,0,0,0
ADA,0,0,0.0666815386982313,0,0,0,0,0.127860953734037,0.0444803797749224,0.103782353970303,0.12517435298307,0,0,0.0578792689361822,0,0,0,0,0,0
LTC,0.225253538661168,0,0,0,0,0,0,0,0,0.0111060928538734,0,0,0,0.0120992292933704,0.236203452663814,0,0,0,0,0
NEO,0,0.293962252326813,0.0247790708777322,0.162309775263554,0.0404172695227456,0,0,0.189862718841034,0,0,0,0,0.086475118115262,0,0.0340931895929002,0,0,0,0,0
XLM,0,0,0.116693861820131,0,0.310730145642058,0,0.111025304168948,0,0,0.100790394634057,0.0699248880920082,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0521293381556064,0,0.0625510817954809,0,0.0743120268529952,0,0,0.131128306467009,0,0,0.114500368775061,0.244708285477895,0,0,0,0,0
MIOTA,0,0,0,8.67361737988404e-19,0,0.31324765248429,0,0.0486602329676957,0,0,0.189331588827267,0,0,0,0.174189727445758,0,0,0,0,0
XEM,0,0,0.0623856116026768,0.0397725890689257,0.0478380266535562,0,0.132542106037518,0.189557516598552,0.0313558883906493,0.0215317954357613,0,0,0,0.0234913727832022,0.120454197228961,0,0,0,0,0
DASH,0,0,0.0363607626512336,0.153730079370433,0,0,0,0,0,0.0288482033464204,0,0,0.0988014961847423,0,0.154314082558065,0,0,0,0,0
XMR,0,0,0,0.1640641054733,0,0,0.202220712488873,0,0,0,0.00437984334652349,0.271977894042796,0,0.0269364528909329,0.109015569079161,0,0,0,0,0
TRX,0,0,0.146157473730183,0.223113852724132,0,0.310715357306484,0,0,0.116845567504683,0,0,0.134589480887964,0,0,0,0,0,0,0,0
BTG,0,0,0.00603022608633529,0.174307190837985,0.0161199446746775,0,0,0,0.140814706970921,0.0482230221021223,0.021834421382324,0.0271029848465866,0.22872649121504,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,-0.000488101668744438,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322994576323228
CVIX.Index,0,0,0.0162499594129355,-0.037367168136096,0.0097730519384392,0,0,0,0,0,0.0226836672374833,0,0,-0.0242484604637146,0,0,0,0,0,0.0446199690876104
DXY.Curncy,0,0,0,0,-0.00754009322911909,0.00469273894088837,0,0,0,0,0,0,0,0,-0.00321066454296109,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054465119700447
VIX.Index,0,0,0,0.0661677004991346,-0.124264250076197,-0.0288383954773068,0.0175316779610709,0,0,0,0,0,0,-0.0309417420540908,0.0750534237736961,0,0,0,0,0
