,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.125202764175683,0.0983759413027704,0,0,-1.35525271560688e-20,0.116159745820679,0,3.46944695195361e-18,0,0,0,0.0580943973289403,0,0,0,0,0
ETH,0,0,0,0,0,0.223637449343386,0.0671096552227405,0.0541070231408271,0.115285068011716,0.0173155035333927,0,0,0,0,0.0752754410249215,0,0,0,0,0
XRP,0,0,0,0,0.232319018063077,0,0,0.0529703458705605,0,0.018374579004273,0,0,0,0.207017569655757,0,0,0,0,0,0
LTC,0,0,0,0,0.0336297399589131,0.186802106382397,0,0,0.0794845710634028,0.0590418292912183,0.0727999180970086,0,0.0261586690264808,0,0,0,0,0,0,0
XEM,0,0,0.0459485789359451,0,0,0,0,0,0,0.119291813115378,0.0220215391863059,0,0,0.203049028832802,0,0,0,0,0,0
ETC,0,0.349487163292033,0,0.123473209235068,0,0,0,0,0.0450819968549769,0.00750218668400197,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0493578932897406,0,0,0.182888492052717,0.0621440603365994,0.083974455262802,0,0,0,0.0894766928557182,0,0,0,0,0
MIOTA,0,0.219322186026742,0,0,0.150305344654631,0,0,0,0,0,0.0663346617193958,0,0.0632588786987375,0,0.085082654677112,0,0,0,0,0
XMR,0,0,0,0,0.166527008150135,0,0.149407547923301,0,0,0.00901081648718112,0.0019681416784134,0,0,0.0996382529618133,0.0654555427307718,0,0,0,0,0
EOS,0,0.185572885271242,0,0,0,0,0,0.194990865387412,0,0,0.0354809473237626,0.159395691198446,0,0.0998981078287686,0.0261064575821009,0,0,0,0,0
NEO,0,0,0,0.061239815421624,0,0,0.115409068447836,0,0,0.0241894143252516,0,0.544715220614163,0,0.0199872639807509,0.0564183097934753,0,0,0,0,0
ZEC,0,0.140463786418647,0,0,0,0,0,0.0916240554889811,0.091696487114813,0,0.0288018380310426,0,0,0.253511666841201,0,0,0,0,0,0
DOGE,0,0,0.0466901648552953,0.0680319384562842,0.275827666071022,0,0,0.016804358065666,0.114278630176014,0,0,0,0,0,0.0963512566998349,0,0,0,0,0
XLM,0,0,0.112713252186051,0,0.144192000520395,0,0,0.0126294278517664,0.388047925810937,0.0577448727018276,0.0420717185634535,0,0,0,0.079469137459203,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0.024230208674847,0,0.0882061345335989,0.0253581040032848,0,0.264237638675292,0.403643552096712,0,0,0,0,0,0
BV010082.Index,0,0.0228246208895905,0,0,-0.0018637134391028,-0.0319041030462679,0,0,0,0,-0.00568409186434835,0.0245576002720404,0.00796286610073995,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0159637449405996,0,0,0,-0.00823155460561162,-0.00439131148546372,0.00563620950452795,0,0.0100898124330113,0.0019645811892572,0.00229530136532172,0.00652690753033222,0,-0.00927315912690522,-0.00794628194466375,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00415802213895898,0,0,0,0,-0.000904722054505036,0,0,-8.84401746054496e-05,0.00117148868413657,0,0,0,0,-0.051056214598816
VIX.Index,0.0599081660919196,0.115597647443447,0,0,0,0,0,-0.0584492444549382,0,0.0122830985958865,-0.0255525007121547,0,0,-0.015207270960897,0,0,0,0,0,0
