,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,ETC,XMR,NEO,ZEC,EOS,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0333555568130319,0.122829121323115,0.0838277543236297,0.0866531158318362,0.0192062298428007,0,0,0.0536196218250858,0,0.0279356893612215,0,0.0458235451122017,0,0,0,0,0
ETH,0,0,0,0.0847699051204433,0,0.0104408252926812,0,0.090370362006728,0,0,0.0294363344744182,0.152620349066905,0.0239284938638358,0,0.164175212343002,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,-0.129497983771157,0,0,0,0,0,0,0,0,0
XRP,0,0.242833774391638,0,0,0,0.0598470403998709,0,0.100912063187423,0,0,0,0,0.03133650988986,0.0790004241386874,0,0,0,0,0,0
LTC,0.0332195097050683,0,0,0,0,0,0,0.129279524236104,0.149068556088456,0,0,0,0.0950799129297607,0,0.0608298919974961,0,0,0,0,0
XEM,0,0,0.0248760913947413,0,0.0584711933662528,0,0.16120617663573,0,0,0,0.106780524790919,0,0.103410995397382,0.212159479897201,1.73472347597681e-18,0,0,0,0,0.12783410486544
DASH,0,0,0,0,0,0.105867005989095,0,0.0510081812862423,0,0,0,0.171923607836904,0.0535261304898346,0.0484906687358792,0.116709403216113,0,0,0,0,0
MIOTA,0,0.0650729207384671,0,0,0,0.0526168082004508,0,0,0,0,0.219248445694759,0.476739574456193,0,0,0,0,0,0,0,0
ETC,0,0.23260526768163,0.00027225964022149,0,0,0,0,0,0,0.0719585144866895,0,0,0.0145839054798495,0,0.0108314972489919,0,0,0,0,0
XMR,0,0,0.0176031711612868,0.173536740815659,0,0.0113403729501456,0.0457837252644165,0.0960860970141234,0,0,0.00351952128433045,0.0669117664038558,0.0484283105817989,0.188019556881178,0,0,0,0,0,0
NEO,0,0,0,0,0,0.144354031341186,0,0.165312061914875,0,0,0,0,0.0645944899554376,0,0.104624381684261,0,0,0,0,0
ZEC,0,0,0.0230545195410831,0,0,0,0.153913594583182,0.0998599570901593,0,0.0790764270700478,0,0,0.072687540553064,0.128811888788855,0.213588954631295,0,0,0,0,0
EOS,0,0.117777401138559,0,0,0,0,0,0.147694821368449,0,0,0.107404753342686,0.106374164929799,0,0.192720406800985,0,0,0,0,0,0
XLM,0,0,0,0.222322527866328,0,0.0694440449766769,0,0,0,0.333852345161499,0,0,0.0682307358292164,0,0.046479809995906,0,0,0,0,0
DOGE,0,0.220102804801778,0,0,0,0,0.0582557694234347,0.0957213537927893,0,0,0.0285649335771485,0,0,0.198302453948778,0,0,0,0,0,0
BV010082.Index,0,0.00416227930463335,-0.00863634768835644,0,0.032844439392051,0.0181161627816786,0,0,-0.0119301968515755,0.0146303287623624,-0.0192939036197157,0.0248655799672072,0.000564679299837357,-0.0292717663238457,0,0,0,0,0,-0.0252492646696938
CVIX.Index,-0.0760457034200709,0,0,0.030300385598506,-0.0285971875013766,0,0,0.0377778159419358,0.0817109813919275,-0.0126185486736624,0,-0.0391069977663963,0.0117596450015139,-0.0457610253613847,0,0,0,0,0,0.0382394322009141
DXY.Curncy,0,-0.00540132517848718,-0.00171485540810756,0.00774645643457981,0.0145395357634852,-0.00300080688775089,0,0.00764386650867566,0,0.00771106159307942,0,-0.00581643682155229,0.0029266701755478,-0.0169750782273541,-0.00112202564610619,0,-0.0481472379851919,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,-0.00387205143234018,0,0,0,0,0,0,0,0,0,-0.0382492237793201
VIX.Index,0,0.210416079566896,-0.00749569663691418,-0.0807196809078651,-0.0801845618680481,0.0477495138564983,-0.215071735424647,0.102098494771842,0,0,-0.0493891757285246,0,0.0361531556456014,-0.137131172415501,0,0,0.536047549788513,0,0,0
