,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0350105291120356,0,0,0,0.00747817617125577,0.106556406728224,0.0398670090474132,0.0253176106994334,0,0,0.162633776973871,0.0674434029733324,0,0,0,0,0
ETH,0,0,0,0.0981873136690284,0.0231337971240477,0,0,0,0.187047234649834,0.135297224467195,0,0,0,0.0676649561681599,0,0,0,0,0,0
XRP,0,0.0510016890134333,0,0.0166246798421468,0.0562491395064589,0,0.0349369297074458,0.0853414216806628,0.0561474878851137,0,0.00416402256128031,0,0,0.374457550568196,0,0,0,0,0,0
BCH,0,0,0.0333645126400952,0,0.0438971552546336,0,0.164264487802307,0,0.225872810418102,0,0,0,0,0.147933842207887,0,0,0,0,0,0
EOS,0,0,0,0.330322051600107,0,0,0.152958916219255,0,0,0.138023754145881,0,0,0,0,0.198956957882343,0,0,0,0,0
LTC,0,0,0.0297507986349928,0.198989878816621,0,0,0.0248484425938089,0,0.108692705850229,0,0.0850438564351901,0,0,0.118433887496972,0,0,0,0,0,0
ADA,0,0,0,0.0783782591121168,0.0862490067191998,0,0,0.159502881047241,0.160210113715897,0.128285993768188,0.036303502989112,0,0,0.00460628715840101,0,0,0,0,0,0
XLM,0,0,0,0.0737780340888906,0.153261495667385,0,0.118072169935742,0,0.06402208852646,0.0176841430571971,0,0,0,0.121579951223536,0,0,0,0,0,0
MIOTA,0,0,0.0924426572696654,6.93889390390723e-18,0,0,0.133321521916857,0.437220358388844,0,0,0.043216086767238,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0645541638112005,0.211563237088124,0,0,0.408992735810149,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.142023613357859,0.0580957968592812,0,0,0.179701223623987,0.101783074867389,0,0,0,0,0.177271694225594,0,0,0,0,0,0
DASH,0,0,0,0.142689107498213,0,0,0,0.0703706176882657,0.0662998376737257,0,0.108938332704365,0,0,0.197708025051432,0,0,0,0,0,0
XMR,0,0,0.240706650741474,0.135156276067788,-8.67361737988404e-19,0,0.0700998316409358,0.00777629829078572,1.73472347597681e-18,0.010001177522997,0,0,0,0.256786739814583,0,0,0,0,0,0
XEM,0,0,0.097786545039307,0.0878115027289622,0,0,0.0358933086777549,0.214808075856231,0.0430261004528038,0.191155564148309,0.0221777577670495,0,0,0,0,0,0,0,0,0
BNB,0,0.366655251812616,0,0,0.072598141187941,0,0,0,0,0,0.0179490341202676,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.0342923868503171,0.0336748313331835,0.0227956745578392,0,0,0,0,-0.017064375552826,0,0,0,0,-0.177286349331217
CVIX.Index,0.201063212571192,0,0,0,-0.0150799217827406,0,-0.164898166201897,-0.0165148988283102,0.0663653835321199,0,0.0572472042198665,-0.0230340714412253,0,0,0.00469132097296574,0,0,0,0,0.0521970416723435
DXY.Curncy,0,0,0,0.00211895907009758,0.0110815218369698,0,0.00314523981170463,0.000706430544663916,-0.000413427155878407,3.3881317890172e-21,-0.0072345615870257,0,6.7762635780344e-21,0,0,0,0.0326889337656654,0,0,0.0182870976084592
SPX.Index,-0.00467433084680956,0,0,0,0,0,-0.00555408972067823,0,-0.00525195246338065,0,0,0,0,0,0,0,0,0,0,-0.0954786582641098
VIX.Index,0,0,0,-0.163231095673605,-0.152025981628933,0,0,-0.127138916818339,0.166469940168793,0,0.125627556095865,0,0,0,0,-0.559105400220214,0,0,0,0
