,BTC,ETH,XRP,BCH,LTC,EOS,ADA,NEO,XLM,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0778934033790347,0,0.0777785290888091,0,0,0,0.0762247841711879,0.138466991079936,0.100307438960195,0.131809453844543,0.0104392317741261,0.00855230172851977,0,0,0,0,0
ETH,0,0,0,0.179516211905989,0,0.0791892571504639,0,0,0,0,0,0.024773205787213,0.106932489158882,0,0.0620440609466787,0,0,0,0,0
XRP,0,0,0,0,0,0.117877362856897,0,0.0124175034971752,0,0,0,0,0.201473254291707,0.0361293168575209,0.0622393850610029,0,0,0,0,0
BCH,0,0,0,0,0.190203482645986,0.00332743195293772,0,0.0224142343640399,0,0.112025990756255,0.365870435934128,-3.46944695195361e-18,0.043231745281701,0,0.0360387713817065,0,0,0,0,0
LTC,0,0,0,0.0730263436947152,0,0.065584897407402,0.00327308953754926,0,0,0,0,0.189697660035761,0.00889020610270429,0.0388398122841194,0.217863482126767,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0574017604750589,0.155138209983995,0.0159846153372541,0,0,0.0386929809069672,0.0733399214100678,0.0833039420578688,0.287847605006941,0,0,0,0,0
ADA,0,0,0,0,0,0.196869901602887,0,0.0492015473899297,0.0834153302797433,0,0,0.0343301431313153,0.0366518826157513,0.124502542268201,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0660937050188194,0,0,0.0782172411608971,0.0737883757528318,0,0.147229330614637,0.0417412447994258,0,0.152015859916168,0,0,0,0,0
XLM,0,0,0.150552153275396,0,0,0,0.405109412981221,0,0,0,0,0,0.165685511962649,-4.33680868994202e-19,0.0321002217454255,0,0,0,0,0
MIOTA,0,0,0,0.107907387768266,0,0,0,0.0815226890368064,0,0,0.214117276420585,0.227832269543302,0.0214277569926602,0.0863890526727842,0.064882145367539,0,0,0,0,0
DASH,0,0,0,0.0525514542229509,0,0,0.099722353960356,0.0134923600105049,0,0,0,0.117464385172213,0.16348416781421,0.0345256908390989,0.093963216360145,0,0,0,0,0
XMR,0,0,0,0,0.102422871824626,0,0,0.121732081828408,0,0.0808641048436199,0.504587300352104,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.0643567709059894,0,0.011528844043349,0,0.335362368717894,0.0802900730526517,0.0852913519636096,0,0.180182551420911,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.241214633642565,0.0919985840892389,0.126137712589385,0,0,0,0.271935907500689,0,0.0274535843074046,0,0,0,0,0
ETC,0,0,0,0.10142147855639,0,0.200490786350499,0,0.233238333926171,0.0106989011998326,-6.93889390390723e-18,0,0,0.172755915472348,0.0518715174894862,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033435018663754
CVIX.Index,0,0,0,0,0.0192541963185975,0,0.0250177207958004,0,0,0,0,-0.0278439665268632,0,0,0,0,0,0,0,0.0273279612822549
DXY.Curncy,0,0,0.0109840537143257,0,-0.0111016933016323,0.00867991661096687,0,0,-0.0162098766983917,0,0,0,-0.00495696604055506,-0.00734672776288124,0.00594093648010697,0,0,0,0,0.0104906019704528
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.012338939246483,0,0,0,0,0,0,-0.0627464889999789
VIX.Index,0,0,0,-0.3063291286225,0,-0.0248684343807105,0,0.147522649485687,0,0,0,0,0.481884733766876,0.0646354728961743,-0.257973268463698,0,0,0,-3.31942123487159,0
