,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0790456858572752,0,0,0,0,0.276003316938923,0,0,0.0407092510149645,0,0,0.0795631341374806,0,0,0,0,0
ETH,0,0,0,0,0.157595703658298,0,0,0.00117871983559019,0,0.0794322033991841,0,0.207760787108148,0,0.110934768517594,0,0,0,0,0,0
XRP,0,0,0,0,0.202989174870114,0,0,0,0.0491712207297758,0.274779542662124,1.73472347597681e-18,0.0534883089086864,0,0.0216470305803576,0,0,0,0,0,0
BCH,0,0,0,0,0.0422909638901222,0,0.042582584208687,0.0875311881699055,0.198354306099258,0.0415647071034028,0.175299431922042,0.0443446184153003,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0849883836941653,0,0,0,0.140451629246198,0.0367127796592283,0.128593607042975,0.114993435388768,0,0,0.106010732898861,0.0839939574363404,0,0,0,0,0
XLM,0,0,0,0,0.0652047408088447,0,0,0.20300768992993,0.161014414367746,0.115459700805058,-6.93889390390723e-18,0,0,0.0899265957610216,0.0877535524320481,0,0,0,0,0
LTC,0,0,0,0.482145434638692,0,0,0,0,0,0.0785063716432922,0,0.0743260565888993,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.222491167755645,0,0,0,0,0.35447101899372,0.0188540817134507,0,0.118702029489341,0,0,0,0,0,0
XMR,0,0,0,0.419775771395908,0,0.0407697362190203,0,0,0,0.0444288560005363,0,0.00560813008246209,0,0.119297908753087,0,0,0,0,0,0
MIOTA,0,0,0.12246815693944,0,0.091084094943906,0,0,0,0,0,0.151306854173443,0.0377605942287733,0,0.565155989391112,0,0,0,0,0,0
TRX,0,0,0,0.115186542076869,0.258952495728246,0,0,0.0936942122420881,0,0.156112078664967,0,0,0,0.0706469357006243,0,0,0,0,0,0
ETC,0,0.229840483544324,0,0,0.114305405867941,0,0.029294058286854,0,0,0.275823909301923,0,0,0,0,0.0516604715656135,0,0,0,0,0
DASH,0,0,0,0,0.0718361530697071,0,0,0,0,0.111486261147506,0.0084124953710625,0.0440386619970037,0,0.140997320401593,0,0,0,0,0,0
NEO,0,0,0,0,0.13013150179347,0,0,0,0,0.276990270619037,0.301100844602935,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.318780081684187,0.20727759135145,0,0.0329167596378491,0,0.0289923382277301,0,0,0,0.132898744200527,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493191219946922
CVIX.Index,0,0,0,0,0.0430267819222281,0.0117992996231618,0,0.0665969956263739,0,0,0.0447583035948827,0.0374485373933064,-0.175582395472899,0,0,-0.130917484602965,0,0,0,0.0590651142389659
DXY.Curncy,0,-0.00390296920166532,0,0,0,0.0125854868870869,0,-0.0012324465381353,0.00349328296797941,-0.0111720039400791,0,0.0118651648173435,0,0,0,0,0.0898989241914752,0,0,-0.00410905226906523
SPX.Index,0,0,0,0,0,0,0,0,0,-0.00366450883482167,0,0,0,0,0,0,0,0,0,-0.0573427682861975
VIX.Index,0.302870714256272,0,-0.013594820781463,0,0,-0.0577099743720106,0,0,0,0,0,0,-0.357244139084419,0,0,0,0.0732370933003886,0,-1.03707112972995,0
