,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0663090672246073,0,0,0.0904932934009922,0,0,0.152507683853272,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.208710369362322,0,0.078460603867043,0,0,0,0.120179439286009,0,0.0306893991834111,0.103002792141464,0,0,0,0,0,0
XRP,0,0,0,0.0416182181507985,0,0,0.104068157108621,0.0528512127496462,0,0,0.0477162243775974,0,0,0.224887610669634,0,0,0,0,0,0.0194371613951045
BCH,0,0,0,0,0.215196323443423,0,0.0563183315218462,0.0540009820047123,0,0.169072128570767,0,0,0,0.16609118223548,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0597100792292134,0,0.708591230684592,0.0566057187254221,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.107875635107774,0,0,0.192456268536359,0.0373540189659543,0,0,0.0706634924675283,0,0.0576280082699975,0.103666110520035,0,0,0,0,0,0
XEM,0,0,0,0,0.0585007789041553,0.0252618126142111,0,0.0300124754634251,0,0,0.0764137865853356,0,0.0344465220001459,0.142139997420333,0.0336350638945585,0,0,0,0,0
NEO,0,0,0,0,0.11095510163,0.0374606738825898,0.285275458034489,0,0,0,0.0906267584073284,0,0,0.144009986113186,0.141901211224918,0,0,0,0,-0.0640241995223143
XMR,0,0,0.111599947772567,0.0061903919552294,0.0816690373378202,0,0,0,0,6.93889390390723e-18,0.0479386337514048,0,0.129123407811912,0.0782368797742578,0,0,0,0,0,0
ETC,0,0,0,0,0.467758316860529,0,0,0,0,0,0.0661024383869897,0,0.0477385999472395,0.0550974520079785,0.0697349587544673,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0469625926342507,0,0.0855648428238542,0,0,0,0.341000030048087,0,0.250493902481952,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,1.73472347597681e-18,0,0.24387738960405,0.0302748460154823,0,0.0456259172316397,0.0384096488266852,0.0254310168711532,0,0,0.161143650977664,0.170397226422585,0,0,0,0,0
XLM,0,0,0.125053007975918,0.0514748970466918,0,0,0.0451558141779765,0.0386072308857639,0.174714475199095,0.319056242621577,0.00253379231065331,0,0.15902849598675,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0988908624266969,0,0.118068513177045,0.0800710570890463,0,0.125066684599146,0.117780658889874,0,0,0,0,0,0
BV010082.Index,0,0,-0.00603548244397653,-0.0233636920981014,0,0,0,0.00741164643434717,0,-0.00207407636040836,-0.0150598232462271,0,0,0,0.0225942602166412,0,0,0,0,-0.0434375692969108
CVIX.Index,0,0,0.0492971854347351,0,0,0,0,0,-0.0147483311615469,0,0.0325408499742934,0.0441232332782811,-0.0316696621149483,-0.00435099764244004,-0.0329608756490003,0,0,0,0,0.0358181079532732
DXY.Curncy,-0.0113194328026547,-0.00114842372675267,0,-0.00256263016508113,0,-0.0207078205745013,0,0.000851684320346568,0,0,0,-0.00277161884283661,0.00140100821113645,0,0.0138053365381282,0.0313423369916179,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00226209048047648,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387529227857477
VIX.Index,0,0.249818913825948,0,0,0,-0.261210512310126,0,-0.0231717243666973,0,-0.0678452112786085,0.105598570728835,0.0911304597608824,0,0,-0.0485354348400712,0,0,0,0,0
