,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DOGE,DGB,XLM,ZEC,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0178492390712301,0,0.00899002697977359,0,0.0355482712028684,0,0,0,0,0,0.0825023119986086,0,0,0,0,0
ETH,0,0,-0.0233531565262047,0,0.0951050463642469,0,0.165250752516619,0,0.0283065183445788,0,-0.0312772233875343,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.0890664277247229,0,0,0.0552468901884655,-0.0903663721648315,0,0.468647248788285,0,0,0.0553469821854264,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.103681746648425,0.192966260517968,-0.0310265077158875,0,0,0,0.0524817489463979,0,0,0,0,0
ETC,0,0.34236805637181,-0.151080578769777,0.0832015758143436,0,0,0,0,0,-0.018884977050934,0,0,0,0.198032294239787,0,0,0,0,0.0290747911228836
LTC,0,0,0,0,0,0,0,0,0.116635964954245,0,0.00109837403093435,0,0,0.153814831128642,0,0,0,0,0
DASH,0,0.0631250119737505,0.0184503944825455,0,0.0697270100701911,0.0273417186457635,0,0.257386316862893,0,-0.0164058221646917,0.0418411403721647,0.185793222371134,0,0,0,0,0,0,0
XMR,0.105217061840496,0.089979939661436,0,0.0975175608896849,-0.106185916327011,0,0.316034519718377,0,0.00312311244226972,-0.00380304122979928,0.0518996054214511,0,0,0,0,0,0,0,0
DOGE,0,0,0,0.194342690816529,0,0.241461304468206,0,0,0,0,0.110428054192828,0.143389063855876,0,0.07840155481083,0,0,0,0,0
DGB,0,0,-1.73472347597681e-18,-0.163615729392476,-0.108907456989904,0,-0.150743091165516,0,0.268639077694938,0,0.394007281568817,0,0,0,0,0,0,0,-0.0169101957878879
XLM,0,0,0.613470361402113,0.0112179902793623,0,0,0.00917552975292331,0.21666592647716,0.121276509710969,0.0317788728128984,0,0,0,0.0813116924838397,0,0,0,0,0
ZEC,0,0.203501740270211,0.0601903972166545,0.035178810800711,0,-0.0809091250867906,0,0.0599956591167724,0.174259186241384,-4.33680868994202e-19,0,0,0,0.0515687949396263,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.177699661886833,0.234236543557898,0,0.247610705695497,0,0.0725727958612398,0.0348605635681184,0.273857804603659,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0.00285182829313795,0.00675260150140272,0,0,0.0192056068576386,0,0,0,0,-0.0752708074505753
CVIX.Index,0,0,0,0.0209283023080049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00530837450199219,0,-0.0106509239125755,0.00400009602484185,0,0,-0.00139025602378888,0,-0.00735318633746078,0.00148493067798746,0,0,0.00138434833907895,0,0,0,0,0
SPX.Index,0,0,0,-0.00268202879141965,0,-0.000779650552016798,0,0,0,0.00401056752069306,0.000628971535708979,0,0,0,0,0,0,0,-0.0257783041325775
VIX.Index,0,0,0.0651724055800557,0,0,-0.0467862012436647,0,0,0.0982515746275518,-0.0707541440345252,0,0,0,0,0,0,0,0,0
