,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.203267540377469,0,0,0.003812757803744,0,0.0738961678842109,0,0.148696727564458,0.0501953714291168,0.115735859419352,0.0112397933354535,0,0,0,0,0,0
ETH,0,0,0.0604740143458866,0.0696015653286246,0.0857115535813612,0,-8.67361737988404e-19,0,0,0.271917611812413,0.0650348646401407,0,0.0168316952983925,0,0,0,0,0,0,0
XRP,0,0,0,0.0134257544867434,0.0924603250250717,0.0672082661024204,0.065175343555896,0.15548300671755,0,0.172184802381299,0.0194675154573491,0.0274475141031467,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0448171153796421,0.0717102458298948,0,0.0277067321423637,0.315110780919265,0,0,0,0.128043982884991,0,0,0,0,0,0,0
LTC,0,0,0,0.286440215284548,0,0,0.0752046685859567,0.102917073620251,0.0519536833647644,0.0577523689749899,0,0.0248075215067672,0,0,0.057465292825805,0,0,0,0,0
EOS,0,0,0,0,0.048756681577513,0,0,0,0,0.265499218081655,0,0.0439402851775815,0,0,0.107523891718254,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.187057886510906,0,0.303074475223817,0.100472702964569,0.169239708612881,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.116649066496176,0,0,0.163977062954864,0.205098095498275,0.173817468842124,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.136981573795681,6.93889390390723e-18,0,0.227996164622439,0.127895505042114,0.0960598259230483,0.0895333532608988,0.0772533662093148,0,0,0,0,0,0
NEO,0,0,0,0,0.0771371028717013,0,1.73472347597681e-18,0.1319946259612,0.206584472723838,0,0.140050334341675,0,0,0,0.133084085395005,0,0,0,0,0
XMR,0,0,0,0,0.329456037910182,0,0,0.0826682740059618,0.0833423830702501,0.0541712584300012,0,0,0.326939695550306,0.00261128309106794,0,0,0,0,0,0
XEM,0,0.153260868490582,0,0,0,0,0.125313195722794,0.306947769122524,0,0.197503674430411,0,0,0,0.11322754296247,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.201747425643473,0,0.0949659412392295,0.113716883049995,0.0482037110303581,0,0.132123992083968,0,0,0,0,0,0
TRX,0,0,0,0.269772798710606,0,0,0,0,0.264217879086761,0,0,0.0648202814848623,0.194155130868051,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.16051373738255,0.10391003916996,0,0.160846057010928,0.140687184995275,0,0.054209799664249,0,0.0870179809744421,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105558984182049,0,0,0,0,0,-0.024166546001232
CVIX.Index,0,0,0,0,0,-0.0448561878141703,0.0279003533989342,0,0,0,-0.0490844584782585,-0.0058648776546885,0.0674005130253132,0,0,0,0,0,0,0.0191380987770425
DXY.Curncy,0,0,0,-0.0219186074367843,-0.0115378028240196,0,0.00744605478312938,-0.020449387832081,0.00491326767219995,0,-0.00591106571873305,0,0.0307376796572967,-0.00854863045064902,0.0131768320903929,0,0,0,0,0.00702881508960474
SPX.Index,0,0,0,0,0,0,0,0,-0.00709598602831232,0,0,0,0,-0.00886170003911848,0,0,0,0,0,-0.0797603533697349
VIX.Index,0,-0.117760533994327,0,0,-0.0115748741768519,0,0,0,-0.213634409915111,0.221157438118652,0.11495953319551,0.092308085694229,-6.93889390390723e-18,0.0763330247953251,0,0,0,0,-3.86033954727898,0
