,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,BAT,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.090584973307611,0,0,0.027462596215874,0.153048129193118,0.0017310129333833,0,0,0,0.0411420674244885,0,0,0,0,0,0
ETH,0,0,0,0.0105467659204537,0.166225487172915,0,0.0820506418800946,0.028310955303039,0.111884752018731,0.029828263131432,0,0,0.0231712409683142,0,0,0,0,0,0,0
XRP,0,0.0810121355243499,0,0,0.300356299354909,0,0.0226587335282453,0.00990429170643269,0,0.0374261979492515,0,0,0,0.0528789299804662,0,0,0,0,0,0
BCH,0,0,0,0,0.26137502879868,0,0.167361011563361,-0.0148669929631997,0,0,0.179178548691907,0,0.121767946934833,0,0,0,0,0,0,0
LTC,0,0.20359815664845,0,0.00474610848755427,0,0,0,0,0,0.00909278671161906,0.693840598767657,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0472618214499754,0,0,0.162724019911027,0.00879538971482126,0.112813236892882,0,0,0,0.125678447845154,0.101512121643518,0,0,0,0,0,0
XEM,0,0.071137040095691,0,0,0,0.0579326132353891,0,0.0490141323724434,0.114845495995827,0,0.0485826886151621,0,0.0252460256430326,0.0395203221005849,0.0053615606712661,0,0,0,0,0
NEO,0,0,0,0,0.148615420564668,0,0.333280996712611,0,0.141477420983983,0.0157669517988049,0,0,0,0,0.0241833583255559,0,0,0,0,-0.111646720014216
MIOTA,0,0,0,0,0,0,0.134260092195523,0.164665606685295,0,0,0,0,0.134090140096392,0,0.346217681832651,0,0,0,0,0
XMR,0,0,0.111883932543342,0.0101200556550931,0,0,0,0,0.0843411423547793,0,0.0596519280286314,0,0.185803246584246,0,0,0,0,0,0,0
ETC,0,0,0,0.00213274774429209,0.475400129716246,0,0,0,0.0749896411452447,0,0,0,0.0673315323732275,0.0214508031183414,0.0600793695935112,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.289169600037722,0,0,0,0.0861737011039289,0.128529334713454,0,0,0,0.206702043251276,0,0,0,0,0
BAT,0,0,0,0,0,0.0386518371573071,0,0.148284857908668,0.0459296150053759,0,0.258808758375807,0,0,0,0.194431408058734,0,0,0,0,0
EOS,0,0.161573585840903,0.0933591129065538,0,0.187203858488577,0,0,0.09588125500315,0.0842759434446491,0,0,0,0.175743175820883,0.0389074417501805,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,-0.0144463290033489,0,-0.00850965820007133,0,0,0,0.0398505955576218,0,0,0,0,-0.0421156741783141
CVIX.Index,0,0,0,0,0,0,0,0,0.00117901424100454,0,0,0,-0.0666662617556714,0.0445768666291269,-0.0182302190961079,0,0,0,0,0.0532128408324597
DXY.Curncy,0,0,0,-0.00101833182669719,0,-0.0202723941260969,0,0.00303527967331723,0,0,0,0,0.00148077464119038,-0.00645711544995445,0.0119997267543037,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00477457650114751,0,0.000865853549336609,0,0,0.000553756982465201,0,0,0,0,0,0,0,0,-0.0380033901980069
VIX.Index,0,0.069116853066561,0,0,0,-0.261769109266992,0.00447794518523047,0,0.164109424411665,0,0,0,0,0.0489532251711808,-0.0891743856607274,0,0,0,0,0
