,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,XMR,DASH,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.237072694097882,0,0.0803252462302579,0,0,0.0565674394923278,0,0.050382850780901,0,0.0486518945425401,0,0.0392828937471569,0,0,0,0,0
ETH,0,0,0,0.0520959878356229,0,0.122817993432182,0,0,0,0,0,0,0.163882646193072,0.115239542656118,0.0715024352520286,0,0,0,0,0
XRP,0,0,0,0,0,0,0.133406759045312,0.0746621643937537,0,0,0,0,0.147287653980004,0.181097245304499,0.106373623182918,0,0,0,0,0
BCH,0,0,0.00514284892916186,0,0.117574273158928,0.0172701028062866,0,0,0,0,0.10886757421408,0.337556838436294,0,0.0967428870464914,0,0,0,0,0,0
LTC,0.0461389048922709,0,0,0.20456478143485,0,0,0,0,0.176825289552122,0,0,0,0,0.134932439914132,0.00889438767995481,0,0,0,0,0
NEO,0,0.0751953203852564,0,0.10350713443643,0,0,0.104442970111754,0.106802382886388,0,0,0,0,0.166494092762754,0.164250111686263,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.13779002672349,0.0411378962424002,0,0,0,0.11408023153494,0,0.126567479726956,0,0,0,0,0
XLM,0,0,0.181157814090083,0,0,0.0206226873787553,0.327939693465275,0,0.0759715686447152,0,0.15074381524207,0,0.0109729874212731,0,0,0,0,0,0,0
EOS,0,0,0,0.102284077409817,0,0,0.0308037946749177,0,0,0,0.126511006420409,0,0.115404499691077,0.164986473255751,0.0867510880624882,0,0,0,0,0
MIOTA,0,0,0.0203834153754145,0.128842910054171,0,0,0,0,0.0675399985686078,0,0,0.17536619863364,0.14646396007296,0.189560298202608,0.0272518302020745,0,0,0,0,0
XMR,0,0,0.00431943000982797,0.02669834420971,0,0.0834352277842625,0,0,0.108660447783105,0.042192333783995,0,0.0968969614786068,0.074407302264651,0.153489699331229,0,0,0,0,0,0
DASH,0,0,0.0664961656092362,0.0697634534648717,0,0,0,0,0.0914083040482628,0,0.230886725680719,0,0,0.0578032830673753,0.0970292641677306,0,0,0,0,0
XEM,0,0,0.0621179307160226,0,0,0.0191152994263418,0,0.176846061522455,0,0,0.289514055948169,0,0,0,0.0126452473086442,0,0,0,0,0
ETC,0,0,0.0850009364050331,0.120524818198479,0,0.0521780036252923,0,0,0.16608070439861,0,0.228273538522375,0,0,0,0.0705977232076416,0,0,0,0,0
TRX,0.0621317252086462,0,0.40368371361409,0,0,0,0,0,0.151414700112177,0,0,0.245949495989524,0.147321840233593,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199346638389839
CVIX.Index,0,0,0,-0.0386009728109475,0.0472952485605906,0,0.0238459591404089,0,0,0,-0.0136093668078892,0,0.0308843624331615,-0.0407857224761413,-0.0169894269440332,0,0,0,0,0.047211185484532
DXY.Curncy,0,0,0,0,0,0,-0.00922477839635237,0,-0.00563232438586099,0,0,0,0,0.00294130580786301,0,0,0,0,0,0.00990164370464819
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544272081146242
VIX.Index,0,0,-0.075068574092365,0,0,0.00939960933180784,0,0,-0.0761105364260422,0,0.171331760732513,0,0,0.0457440967034181,-0.00832018084113082,-1.67559498155279,0.700788397991817,0,-0.530145703854562,0
