,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.112737163664654,0,0.0574138500684749,0.0121761709146918,0.114750429337123,0,0,0,0.0832990135443692,0,0,0,0,0,0,0
ETH,0,0,0.0286635236360319,0.00359325664080639,0.107930122843571,0,0.029418437805403,0,0.17011846492775,0,0,0.0580011008295917,0.106478076194293,0,0.0750972294532396,0,0,0,0,0
BCH,0,0,0,0,0.0541315835813278,0.142779535224327,0,0,0,0,0.343121025009075,0,0,0,0,0,0,0,0,0
XRP,0,0.0400008110424129,0.00637088659280614,0,0,0,0,0,0.0587442021632781,0,0,0,0.0828303405257324,0,0.109431944753214,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.648369566197151,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0222771421139177,0,0,0,0.0491979011801384,0,0.0454730872530988,0,0,0.159873951713984,0.131202009246836,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0291897366179712,0,0,0.124401472023224,0.0166886160899397,0,0.0577574154443586,0.123598088392886,0.0286372483629398,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0.0255133589634512,0,0,0.0257221157704386,0,0.116137051262347,0.308206456821891,0,0,0,0,0
MIOTA,0,0.223281017066807,0,0,0,0,0.101125567339025,0,0,0.0888195971095963,0,0.119538338298579,0.0409549746209043,0.26421531787399,0,0,0,0,0,0
NEO,0,0,0,0,0.0316725710130929,0,0.227482488797945,0,0.0226000688661652,0,0,0,0,0.472262044208082,0.0257835861199025,0,0,0,0,0
ETC,0,0,0.00450127443668943,0,0.434520829331722,0,0,-8.67361737988404e-19,0.0656669510743852,0,0,0,0.0500536405623317,0,0.0101489374356462,0,0,0,0,0
ZEC,0,0.0859242911661173,0.0243023462279954,0,0,0.0498699602338819,0.0374182711220671,0.0355545496622095,0.087066992917252,0,0.038548216067257,0,0,0.111092823841452,0.181371697365479,0,0,0,0,0
BAT,0,0.0101563209603898,0,0,0,0.0677114822500297,0,0,0.146975140775537,0,0.177093333390494,0,0,0.188008318252296,0.0812881438952825,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.0410456499075792,0.0431920420572374,0.0374898127551207,0.06934575240875,0.124306994504329,0,0.221852653324019,0,0,0,0,0
XLM,0,0,-4.33680868994202e-19,0.0510579420317881,0,0,0,0.312843690159464,0,0,0.238837524534474,0,0.0795264577828929,0.0464672468122068,0,0,0,0,0,0
BV010082.Index,0,0.00342541071924238,0,0,0,0,0,0.013134143558286,0,0,0,0.00923308660128014,0.00889854332699889,0,-0.0237112555806882,0,0,0,0,-0.0512637641718146
CVIX.Index,0,0,0,0,0,0,0,0,0.0180926269357803,0,0,-0.0599892694934047,0.00917682412784076,0,0,0,0,0,0,0.0343705375525152
DXY.Curncy,0,0,0,0.00663288700877491,0.00405155509695871,-0.0170230760853819,0,0,0.00798525367185307,0,0,0,-0.00241324334783242,0,-0.0115944976438613,0.0547745546060852,-0.0212127949307599,0,0,0
SPX.Index,0,0,0,0,0,0,0,-0.00400781211221835,0,0.000863179328074973,0,0,0,0,0,0,0,0,0,-0.038166507266902
VIX.Index,0,0.0947977891034208,-0.00716572484385194,0,0,-0.234473376626213,0.0794392359978161,0,0.0965896572638501,-0.0284014304131514,0,0,0.0395098016384398,-0.118608716755728,0,0,0.369455491440519,0,0,0
