,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DGB,ZEC,DOGE,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0305353623993087,0,0.0458353093080891,0,0.121104436317581,0,0.0186399544107961,0,0,0,0.0468887124422718,0,0,0,0,0
ETH,0,0,-0.0450685416385788,0,0.0720689938238852,0,0.0887722314701231,0.0743009597414447,-0.0435921007375101,8.67361737988404e-19,0,0.0794031999298091,0,0.0367723234352535,0,0,0,0,0.0908498436118714
XRP,0,-0.0510065687284264,0,0,-0.156891995154966,0,0.322152554508907,0.00661726405802909,0.357043234902502,0,0,-0.0117125712225933,0.120795002655356,0.0536898724599034,0,0,0,0,0
XEM,0.23689066196648,0,0.0766794330284518,0,0,0,0,0.0978007057053478,0,-0.0451780817687838,0,0.295964820389032,0,0.0318976066241911,0,0,0,0,0
ETC,0,0.161996510033651,-0.157650082313975,0.0633540187330115,0,0,0,0,0,0,0,0,0,0.250658430914849,0,0,0,0,0.0369083388710113
LTC,0,0,0,0,0,0,0,0,0,0,0,0.115736295832645,0,0.154952287934335,0,0,0,0,0
DASH,0,0.102434320714496,0.00921354919042728,0,0,0.0249253752068022,0,0.209131368313962,0.0530796904622542,-0.0237388958475809,0.137519600961363,0,0,0,0,0,0,0,0
XMR,0,0.059905608744592,0,0.0759459711463427,-0.0406895125522749,0.0621471564499387,0.239114881494532,0,0.0568579455079497,-0.00556261984115345,0,0,0,0,0,0,0,0,0
XLM,0,0,0.636667278638664,0,0.0166720978644231,0,0,0.228544977906512,0,0.00303832423543619,0,0,0,0,0,0,0,0,0
DGB,0,0,0,-0.14789801349532,0,0,-0.0681668180474544,0.259657583143171,0.377248990782761,0,0,0.152413410890506,0,0,0,0,0,0,-0.0216464213399595
ZEC,0,0.153312729139908,0.00786343524435459,0,0,0,0,0.161001845541174,0.0235106385566013,-2.16840434497101e-19,0,0.0861469587335663,0,0.0566067577274666,0,0,0,0,-0.00112687428251794
DOGE,0,0,0,0.246623791389615,0,0.281949254712113,0,0,0.0906327658065775,0.0124275147933512,0,0,0,0.0863424164865078,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.102559445304723,0,0.175589216161289,0.226739202050814,0,0.045181167953946,0.149956555647046,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.00356958751761863,0,0,0,0,0,0,0,0,0.0229987726974673,0,0,0,0,-0.0579861420531665
CVIX.Index,0,0,0,0.0211536750516804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0124294837949301,0,-0.0103609735714944,0.000167074901928064,0,0,0,0.00254393416793076,-0.00656927031123623,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,-0.00306385200539417,0,0,0,0,0,0.00370223262474872,0,0,0,0,0,0,0,0,-0.0269956451075073
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
