,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.121708707197425,0,0.00554182345343767,0,0,0.102783076439681,0.0423412185005443,0.0418262192593421,0.0168480855695714,0.199947404965477,0,0.100594295351903,0,0,0,0,0
ETH,0,0,0,0.021560886779705,0.091039494605763,0,0.0277854026041054,0,0.286374426588797,0,0.0133008548993524,0.0176294121292037,0.0863427253814485,0.00315998107263098,0.0757678438742262,0,0,0,0,0
XRP,0,0,0,0,0.0400675527418992,0,0,0,0.282703793265293,0,0.0577804332836103,0.0681499763762022,0,0.0520784521104608,0.00453424810843948,0,0,0,0,0
BCH,0,0,0,0,0.105838088804897,0,0,0,0.229091292123625,1.38777878078145e-17,0,0.0278703641975661,0.0939301175051881,0,0.118631465097877,0,0,0,0,0
LTC,0,0,0,0.285002062197358,0,0,0,0.129500235656038,0.134035843823277,0,0,0,0,0.0500891487848235,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.313605694819478,0.0201110103409677,0.0521173840541012,0,0.0556078494073412,0.0759352207136807,0.148824991956003,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.311482761734085,0.101512046945961,0,0.0383505413698895,0,0,0.198069645058591,0,0,0,0,0,0
XLM,0,0,0.350085980886532,0,0,0,0,0,0.140078324555932,0,0.0417156533998483,0.0633949574015196,0,0.146621085811931,0.035446395555007,0,0,0,0,0
NEO,0,0,0,0,0.0738146451184893,0,0,0.0592590722119212,0,0,0.151678482230359,0,0,0,0.108083076972069,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.217012904569054,0,0.15135594089878,0.0728687387103742,0.097250060216544,0.0441021090608645,0.0750512804180365,0,0,0,0,0
XMR,0,0,0,0,0.186354090697126,0,0,0,0.24137641779357,0.0137098716483337,0,0.163417003613179,0.101896696584058,0,0,0,0,0,0,0
TRX,0,0,0,0.273494246188117,0,0.207447762208459,0,0,0,0.305298932105591,0,0,0.0325474605007349,0.0790541909681729,0,0,0,0,0,0.0894913971043874
DASH,0,0,0,0,0,0,0.0820345696990771,0,0.207587483252062,0,0.0769687144084411,0.141481869718722,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.125198684624735,0.182763546350377,0.332528715494012,0,0,0.144829743456743,0,0,0,0,0,0,0,0
BNB,0,0.0614476483405665,0,0.0295373245315746,0,0,0,0,0.475072861214246,0,0.0497759114356025,0.102327653482818,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,-0.012974135426006,0.0125225672894889,0,0,0,0,0,0,-0.0416590396789092
CVIX.Index,0,0,0,0,0,0,0.0164765035138251,0,0,0,-0.0370597011216592,0,0.0656418795748685,0,-0.050732554490435,0,0,0,0,0.0318868117042752
DXY.Curncy,0,0,0,-0.00180603156488817,-0.0203574344374172,0.0184711134095001,0,-0.029368845658248,0,0.0168903925945773,-0.00425604318192856,-0.0175805380231289,0.0305528592657949,0,-0.00582728756079971,0,0,0,0,0.00898649639195367
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,-0.0130035100292869,0,0,0,0,0,0,0,-0.0691113346573354
VIX.Index,0,0,0,-0.378684962869668,0.0650886980225586,0,0,0,0,0,0.187716982886024,0,0,0.132604283795736,0,0,0,0,-5.14290054286711,0
