,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.287041473082883,0,0.171853833129218,0,0,0,0,0,0,0,0.0621411787762114,0,0,0,0,0
ETH,0,0,0,0.00234964091577183,0,0.0639010265491996,0.0185648067431369,0,0,0.00912199404523065,0,0,0.161572584553294,0.174617561841285,0.056641355997626,0,0,0,0,0
XRP,0,0,0,0,0,0.193783806848534,0,0.104043436892232,0,0,0,0,0.153003714732703,0.122135323264283,0.114133046098717,0,0,0,0,0
BCH,0,0,0,0,0.187534431579095,0,0,0,0,0,0.291584067551956,0.247843439035476,0,0.109125267762893,0,0,0,0,0,0
LTC,0.0310661589800107,0,0,0,0,0,0,0,0.0816779813212314,0,0,0,0,0.230813000829407,0.0204712839843007,0,0,0,0,0
ADA,0,0,0.0667993150765194,0,0,0,0,0.104076186462464,0.0829781154537591,0.0846253515106049,0,0,0.133851503823511,0,0.0789871238237008,0,0,0,0,0
NEO,0,0,0,0.0887073351393727,0,0,0,0.0799887775575562,0,0,0,0.195511897703131,0.172189188721849,0.203349958275855,-4.33680868994202e-19,0,0,0,0,0
XLM,0,0,0.160265785261068,0,0,0.324866317216517,0.0175842115664657,0,0,0,0,0.0217769981588448,0.0127622786979288,0.161353025046158,0,0,0,0,0,0
EOS,0,0,0,0.102338048753465,0.0275920846966137,0.0570664422359473,0,0,0,0,0,0,0.109638089659067,0.28755911878265,0.0952891431297192,0,0,0,0,0
MIOTA,0,0,0.0714358319780354,0.0233455866987288,0.263068360636582,0,0,0,0.199564942441934,0,0,0.00753423946604886,0.101228367141293,0.145931860377,0.0172014305896763,0,0,0,0,0
DASH,0,0,0.0330016226252193,0.0900350612305053,0,0,0,0,0.0889147439331147,0,0,0.118563641379893,0,0.121585043734343,0.104736317297083,0,0,0,0,0
XMR,0,0,0,0.203976405824323,0,0,0.140500513785609,0,0,0,0.179736652164246,0,0,0.100384892423527,0.0425404525158917,0,0,0,0,0
XEM,0,0,0.0195125355544291,0.0246996366716655,0,0,0.0404751443534938,0.147725816232499,0.0591998155788838,0.145466253396979,0,0.0674029606249287,0,0.0574593686214954,0,0,0,0,0,0
ETC,0,0,0.0911207879851803,0.211509185129898,0,0,0.0719357251693938,0,0.0347744687386944,0.0300530272845235,0,0.17005645193994,0,0,0.035025981222636,0,0,0,0,0
TRX,0.117998403334335,0,0.213892915416329,0.380142462892375,0,0,0,0.0419869847418849,0.0884271437859919,0.0178124769281141,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0,0,0.0208124275894788,-0.0145651079662937,0,0.00286356749642456,0,0.0161272898510533,0,0,0,0,0,0,-0.0248972487550736,0,0,0,0,0.0352688280060271
DXY.Curncy,0,0,0,0,0,-0.00841459752479081,0,0,0,0,-0.00728652442289121,0,0,0.00383425067890332,-0.00100444414654493,0,0,0,0,0.0105714476629694
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651254327953
VIX.Index,0,0,-0.0326747195791095,0,0,0,0,0,0,0,0,0,-0.0363063063595355,0.0472578124715654,-0.00433973323785602,-0.851028321115582,0,0,0,0
