,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.266805692256575,0,0,0,0,0.16134418844255,0,0,-4.33680868994202e-19,0,0,0.0800924608773104,0,0,0,0,0
ETH,0,0,0,0,0.237407946533919,0,0,0.0115791595888729,0,0,0.0612429495264713,0.20092710774947,0,0.0903249204198813,0,0,0,0,0,0
XRP,0,0,0,0,0.00960825784309051,0,0,0,0.0725584501533472,0.0726523166893127,0.204989172018753,0.0751596532985306,0,0.0904832577312427,0,0,0,0,0,0
BCH,0,0,0,0,0.112667132796305,0,0,0.126669473407126,0.235239229239714,0.00341037047319775,0.0529888618873455,0.037123548709871,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0604584227930898,0,0,0,0.173338046423718,0.0519076677896661,0.133861116285612,0.220336415163685,0,0,0.0214513370964408,0,0,0,0,0,0
XLM,0,0,0,0,0.0835331205082959,0,0,0.18148174378682,0.200030243791667,0,0.11492401304331,0,0,0.0350644764966318,0.139856261899517,0,0,0,0,0
LTC,0,0,0,0.473327405117858,0,0,0,0,0.00198004069269358,0,0.0678698622517789,0.103968089651752,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0479087048083168,0.104963895292445,0.242187179645765,0,0,0.0434841786069923,0.326419298745833,0,0.0656578772338025,0,0,0,0,0,0,0,0
XMR,0,0,0,0.438330220391009,0.0134500391751436,0.0577347418885375,0,0,0,0,0.0383910908072957,0,0,0.110163269872186,0,0,0,0,0,0
TRX,0,0,0,0.0693284174246936,0.169037606186425,0,0,0.134317695781508,0.0605280205619487,0,0.144214838856364,0,0,0.0928360492392424,0,0,0,0,0,0
MIOTA,0,0,0,0,0.216206641682605,0,0,0,0,0.17354638963993,0,0,0,0.470230987882431,0,0,0,0,0,0
ETC,0,0,0,0,0.0696702767490151,0,0,0,0,0.110243797551323,0.451850009596949,0,0,0,0.0467685161514642,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0324752746838784,0,0.0235846839575786,0.129127028360834,0.0742960880634675,0,0.0763780242982718,0,0,0,0,0,0
NEO,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.257441796826123,0.268913091928209,0,0,0,0.30240231518623,0,0,0,0,0
XEM,0,0,0,0,0,0.240561364488491,0,0,0,0,0.00129868420103775,0.128448154040069,0,0.260160929757416,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260929929669698
CVIX.Index,-0.00114440412020253,0,0,0,0.0566894915150007,0,0,0,0,0.0506034463297195,0,0.0308270527587928,-0.171034210172488,0.0205642846428047,0,-0.360468983671161,0,0,0,0.0443896703352314
DXY.Curncy,0,-0.00819721075230457,-0.0101569745770544,0,0,0.00506134722461623,0,0,-1.0842021724855e-19,0,0,0.00883714968537239,0,0,0,0,0.0624040142098119,0,0,-0.00802071000547564
SPX.Index,0,0,0,0,0,0,0,0,0,0,-0.00486953897231118,0,0,0,0,0,0,0,0,-0.0582114698019104
VIX.Index,0.0885306759097332,0,0,0,0,-0.107179072100956,0,-0.331480081633865,0,0.034393246169166,0,-0.155125454819166,0,0.0720792595597368,0.291436284866952,0,0.219669279917,0,-3.26941050822397,0
