,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0946070873011908,0,0,0,0.176947898442449,0,0,0,0.00647320044542583,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0837816664472491,0.0128891969960777,0.0208205482404991,0,0.140775542346147,0.131857325756655,0.122331530900645,0.125599942824103,0.0252656472920786,0,0,0,0.0304973709990549,0,0,0,0,0
XRP,0,0.183454893339333,0,0.00425121814984905,0,0,0,0,0,0,0.390872573603592,0,0,0,0.0883961807842273,0,0,0,0,-0.00592750480691973
BCH,0,0.308340924407983,0.0798276644389222,0,0.0327199051986671,0,0,0,0,0.213294013690358,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.165196987945045,0,0,0,0,0.421044479994315,0,0.122096402734525,0,0,0,0,0,0,0,0,0,0
EOS,0,0.0138372405240588,0.044933218493069,0.0844028845512232,0,0,0,0.223230313433661,0,0.134987849574601,0,0,0,0,0.0147216211051593,0,0,0,0,0
LTC,0,0.196699126324659,0.0332870883751502,0.106941236398253,0,0,0,0,0,0.117095967530654,0.170564250964933,0,0,0,0,0,0,0,0,0
ADA,0,0.080535184154324,0.0320840953927458,0.0502955218237613,0.455031865849338,0,0,0,0,0.151390166666005,0.0528202576137378,0,0,0,0,0,0,0,0,0
XMR,0,0.166752953972037,0.0843078673991052,0.0719697656347975,0,0,0,0,0,0,0.0761797672762078,0,0,0,0,0,0,0,0,0
TRX,0,0.198694068121891,0.0545505661873474,0.0478112665729713,0,0,0,0.321962060417318,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.113610086341434,0,0,0,0,0.0847056750296526,0.129024410210615,0.174151019378906,0,0,0,0.0414505160976916,0.0917625459190203,0,0,0,0,0
DASH,0,0.247128768138821,0.0476371569530631,0,0,0,0,0.0810090635909387,0,0.0658402334159635,0,0,0,0,0,0,0,0,0,0
BNB,0,0.230000752642541,0,0.042033245166492,0,0,0,0,0,0.0929728826271018,0,0,0,0,0,0,0,0,0,0
NEO,0,0.055070536291247,0,0.0342812477985011,0,0.0329561156618279,0,0.320827046468525,0,0.0116390248042995,0.150793162623107,0,0,0,0,0,0,0,0,-0.0245861812931259
XEM,0,0,0,0.138110116065786,0.150896207121854,0.161281673582633,0,0,0,0.200781962115825,0.0483628489311583,0,0,0.00790371653330469,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023467093594643
CVIX.Index,0,-0.0971613677657162,0.0159648105807216,0.00974387430589591,0.0484787682791902,0,-0.126508877918588,0,0,0,0.165051086323392,0,0,0,0.00439599668394312,0,0,0,0,0.0554237987787786
DXY.Curncy,0,-0.0389736521958442,-0.00807409490067709,-0.0010867187202855,0,0.0332959403242338,-0.0461582181905297,0.00112549016157543,0,-0.00144014355838171,0.035872387574864,0,0.0196022548844124,0,-5.42101086242752e-20,0,0.0216525219727561,0,0,-0.00123019496401884
SPX.Index,0,0,-0.0110001659688037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093092582841129
VIX.Index,0,0,-0.124744392308386,0.165489295574165,0,0,0,0,0,0,0,0,0,-0.255396432248724,0.12281650462425,0,0.1750172953956,0,-3.55105002176525,0
