,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.158869153145382,0,0.150921491064406,0,0.14426936898987,0.00755870450123849,0,0,0.0446250379292168,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0.00144629727285063,0,0,0.273720069488308,0.0851513080087906,0,0.113791090515719,0,0.213440625159159,0.00417101609848143,0,0,0.0183921573498061,0,0,0,0,0,0
XRP,0,0,0.282471728104283,0,0,0.0934739786648855,0,0,0,0.0607996270755804,0,0,0,0.137270370610983,0,0,0,0,0,0
BCH,0,-0.00368533724204073,0.186334969946643,0,0,0.361786277739219,0,0,0,0.0768172399550046,0.0133106315923926,0,0,0.0638033289404104,0,0,0,0,0,0
BSV,0,-0.00373550828689963,0.280062767693278,0,0.435806777313351,0,0,0.0919430601658833,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,-0.0014246962697059,0,0,0,0.186231450908534,0,0,0,0.168278110762955,0,0,0,0.240037140974638,0,0,0,0,0,0
BNB,0,-0.00436259845574204,0.358318549475526,0,0.14659278740406,0.0287386450420185,0,0,0,0.193461495449683,0,0,0,0.0513794903906597,0,0,0,0,0,0
EOS,0,-0.00268948647830541,0.108964907213419,0,0.166781710981766,0.152260585221661,0,0.029009644250833,0,0.0829832341900783,0,0,0,0.180085002978696,0,0,0,0,0,0
XTZ,0,0,0.304116939626415,0,0,0,0,0.184383277492161,0,0,0,0,0.339998137619569,0,0,0,0,0,0,0
TAGZ5,0,0.00283931194779979,0.193553076690386,0,0.0442187183286464,0.116285866013247,0,0,0,0.0511752092825571,0,0,0,0,0,0,0,0,0,0
XLM,0,0.000384455043303169,0.0248419432901263,0,0.0425057534621375,0.111251975638131,0,0.176106853696505,0,0.116653433045078,0.00479083975802305,0,0,0.109146779061192,0,0,0,0,0,0
LINK,0,-0.00381299117622199,0,0,0,0.06792082482879,0,0,0,0.712800687715903,0,0,0,0,0,0,0,0,0,0
ADA,0,-0.0022629852472275,0.25651895806755,0,0,0.0544803960177924,0,0.0811197380949161,0,0.309784150005033,0,0,0,0,0.0234902412902134,0,0,0,0,0
XMR,0,-0.00320762925193647,0.130735927960501,0,0,0.188076987550911,0,0,0,0.0681995410751194,0,0,0,0.180329870642675,0,0,0,0,0,0
BV010082.Index,0,0.00456481884755513,0,0,0,0,0,-0.222132358181767,0,0,0.0554815469869506,0.155254523824734,0,0,0,0,-0.121962489502552,0,0,-0.0983839912916111
CVIX.Index,0,-0.00705162772361825,0,-0.348094967732006,0,0,0.490464267832146,-0.144971010089779,0,0,-0.044472167467656,0,-0.0109844035727103,0,0,0,0,0,-0.632849401937093,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127944426506094
SPX.Index,0,0.0021939617078462,0,0,0,0,0,0,0,0,-0.0100137031706903,0,0,0,0,0,-0.018849212086806,0,0,-0.25510832529555
VIX.Index,0,0.0257815593912129,0,0,0,-0.154589799516779,0,0,0,0,-0.0312027155976927,0.0738485824400966,0,0,0,0,0,0,-2.19788407468356,0
