,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.131189186542757,0,0.11230833756266,0,0,0,0.0786220071109853,0.0244544460024658,0.161650906850072,0.0231656385531179,0.0546814580968027,0,0,0,0,0,0
ETH,0,0,0,0.0987619912388598,0,0.00998463381667774,0.0918743090729204,0,0,0,0,0,0.106855364518969,0,0.11601174610356,0,0,0,0,0
XRP,0,0,0,0,0,0.111210830798888,0.0633385867807873,0,0.0320508263169764,0,0,0,0.218522297639938,0.0653510274031616,0.0606236171633678,0,0,0,0,0
BCH,0,0,0,0,0.0774977794879904,0.0174903976308162,0,0,0.0855918357253641,0,0.43039336848619,0,0.0193414628967236,0,0.0613181595938036,0,0,0,0,0
LTC,0,0,0,0.0785065187536347,0,0.0612266190184999,0.0140494070202582,0,1.73472347597681e-18,0,0,0.187361406496381,0,0.036841170345287,0.218708997325406,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0797470910388307,0,0.0208801633951544,0.0281390480992436,0,0.103137630029403,0.0073927804290057,0.112492853949245,0.288622877021402,0,0,0,0,0
ADA,0,0,0,0,0,0.132387459930437,0,0.0831183709749531,0.0459033309260275,0,0,0.0699723611564681,0.0421565722848791,0.149647539264358,0,0,0,0,0,0
XLM,0,0,0.099995827080329,0,0,0,0.415999889183925,0,0,0,0,0,0.126620506219663,0,0.132046329484567,0,0,0,0,0
NEO,0,0,0,0,0,0.0696822472539245,0,0.0789627688773733,0,0.0899146770945067,0,0.111151205585915,0.0367844853339527,0,0.200348656268642,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.0817928215806667,0,0,0.259414852530086,0.185797136319788,0.0419097871725074,0.183623325694709,0,0,0,0,0
DASH,0,0,0,0.0262063329132608,0,0,0.171454216057921,0,0.00609099098936874,0,0,0.0863398636708293,0.164905568713543,0,0.0370365784212241,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0.13243090231967,0.101822950208663,0.486138815890007,0,0.00959287985531359,0,0,0,0,0,0,0
TRX,0,0,0,0.0935525441965588,0,0.199342725370604,0,0,0.0339109134323544,0.377316210025072,0,0,0,0.129563373522772,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.241214633642565,0.126137712589385,0.0919985840892388,0,0,0,0.271935907500689,0,0.0274535843074045,0,0,0,0,0
ETC,0,0,0,0,0,0.213589923815312,0,0.023641190723205,0.241719967721941,0,0,0,0.139483621965736,0.0745149187075285,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.010564700542396,0,0,0,0,0,0,-0.0144622174195662
CVIX.Index,0,0,0.0217288225278634,0,0.00745251972155402,-0.0334916885898946,0.0469095592284436,0.00709821142228822,0,0.0273614508023803,0,-0.0625389729496417,0,0,0,0,0,0,0,0.0321577996372797
DXY.Curncy,0,0,0.0129643510660745,0,-0.00733045644624829,0,0,-0.00695474983055296,0,0,0,-0.00374544461447593,-0.0139281515520443,-0.00228616613627045,0.00809279381222941,0,0,0,0,0.0121466577332747
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126520661190694,0,0,0,0,0,0,-0.0630401612504525
VIX.Index,0,0,0,-0.19522096061513,0,0,0,0.122850193328114,0,0,0,0,0.223751605647792,0.0245959707074719,-0.0540362952065478,0,0,0,-1.80605426292125,0
